time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2018-10-12 22:00:00,22.0,-0.1,23.0,,,280.0,24.1,,,,
2018-10-12 23:00:00,22.0,-0.1,23.0,,,300.0,16.6,,,,
2018-10-13 00:00:00,22.0,-0.1,23.0,,,300.0,14.8,,,,
2018-10-13 01:00:00,20.0,-0.1,26.0,,,300.0,9.4,,,,
2018-10-13 02:00:00,18.0,0.2,30.0,,,,0.0,,,,
2018-10-13 03:00:00,16.0,0.1,34.0,,,40.0,0.0,,,,
2018-10-13 04:00:00,15.0,0.0,36.0,,,60.0,0.0,,,,
2018-10-13 05:00:00,17.0,-1.2,29.0,,,120.0,16.6,,,,
2018-10-13 06:00:00,17.0,-2.1,27.0,,,100.0,5.4,,,,
2018-10-13 07:00:00,15.0,-2.9,29.0,,,30.0,7.6,,,,
2018-10-13 08:00:00,15.0,-7.2,21.0,,,80.0,9.4,,,,
2018-10-13 09:00:00,17.0,-9.0,16.0,,,100.0,11.2,,,,
2018-10-13 10:00:00,17.0,-6.8,19.0,,,100.0,13.0,,,,
2018-10-13 11:00:00,17.0,-6.8,19.0,,,110.0,7.6,,,,
2018-10-13 12:00:00,16.0,-5.1,23.0,,,90.0,5.4,,,,
2018-10-13 13:00:00,13.0,-2.1,35.0,,,90.0,0.0,,,,
2018-10-13 14:00:00,14.0,-3.8,29.0,,,90.0,0.0,,,,
2018-10-13 15:00:00,15.0,-2.9,29.0,,,80.0,0.0,,,,
2018-10-13 16:00:00,19.0,0.1,28.0,,,80.0,0.0,,,,
2018-10-13 17:00:00,21.0,0.2,25.0,,,,0.0,,,,
2018-10-13 18:00:00,21.0,-4.2,18.0,,,280.0,5.4,,,,
2018-10-13 19:00:00,22.0,-2.7,19.0,,,300.0,9.4,,,,
2018-10-13 20:00:00,23.0,-4.2,16.0,,,280.0,13.0,,,,
2018-10-13 21:00:00,23.0,-1.9,19.0,,,280.0,11.2,,,,
2018-10-13 22:00:00,23.0,-1.9,19.0,,,280.0,13.0,,,,
2018-10-13 23:00:00,23.0,-1.2,20.0,,,270.0,9.4,,,,
2018-10-14 00:00:00,22.0,-0.1,23.0,,,260.0,9.4,,,,
2018-10-14 01:00:00,21.0,0.2,25.0,,,330.0,7.6,,,,
2018-10-14 02:00:00,19.0,1.0,30.0,,,360.0,7.6,,,,
2018-10-14 03:00:00,20.0,-5.8,17.0,,,60.0,14.8,,,,
2018-10-14 04:00:00,20.0,-8.3,14.0,,,60.0,16.6,,,,
2018-10-14 05:00:00,18.0,-9.1,15.0,,,60.0,9.4,,,,
2018-10-14 06:00:00,18.0,-9.1,15.0,,,50.0,11.2,,,,
2018-10-14 07:00:00,18.0,-8.2,16.0,,,60.0,13.0,,,,
2018-10-14 08:00:00,18.0,-9.9,14.0,,,60.0,14.8,,,,
2018-10-14 09:00:00,17.0,-11.7,13.0,,,70.0,14.8,,,,
2018-10-14 10:00:00,17.0,-11.7,13.0,,,70.0,7.6,,,,
2018-10-14 11:00:00,17.0,-10.7,14.0,,,80.0,16.6,,,,
2018-10-14 12:00:00,16.0,-10.7,15.0,,,80.0,18.4,,,,
2018-10-14 13:00:00,16.0,-10.7,15.0,,,80.0,13.0,,,,
2018-10-14 14:00:00,15.0,-9.9,17.0,,,90.0,14.8,,,,
2018-10-14 15:00:00,15.0,-9.9,17.0,,,70.0,13.0,,,,
2018-10-14 16:00:00,17.0,-9.0,16.0,,,80.0,11.2,,,,
2018-10-14 17:00:00,18.0,-9.1,15.0,,,80.0,20.5,,,,
2018-10-14 18:00:00,20.0,-9.3,13.0,,,70.0,16.6,,,,
2018-10-14 19:00:00,21.0,-11.8,10.0,,,90.0,24.1,,,,
2018-10-14 20:00:00,22.0,-12.4,9.0,,,50.0,13.0,,,,
2018-10-14 21:00:00,23.0,-13.1,8.0,,,100.0,11.2,,,,
2018-10-14 22:00:00,22.0,-15.4,7.0,,,80.0,16.6,,,,
2018-10-14 23:00:00,22.0,-15.4,7.0,,,100.0,20.5,,,,
2018-10-15 00:00:00,20.0,-13.9,9.0,,,80.0,18.4,,,,
2018-10-15 01:00:00,18.0,-16.8,8.0,,,70.0,11.2,,,,
2018-10-15 02:00:00,15.0,-15.3,11.0,,,50.0,11.2,,,,
2018-10-15 03:00:00,14.0,-14.0,13.0,,,100.0,13.0,,,,
2018-10-15 04:00:00,13.0,-13.9,14.0,,,100.0,16.6,,,,
2018-10-15 05:00:00,13.0,-14.8,13.0,,,100.0,14.8,,,,
2018-10-15 06:00:00,13.0,-15.8,12.0,,,60.0,22.3,,,,
2018-10-15 07:00:00,13.0,-14.8,13.0,,,100.0,11.2,,,,
2018-10-15 08:00:00,12.0,-14.7,14.0,,,100.0,13.0,,,,
2018-10-15 09:00:00,13.0,-14.8,13.0,,,70.0,20.5,,,,
2018-10-15 10:00:00,13.0,-18.0,10.0,,,60.0,24.1,,,,
2018-10-15 11:00:00,13.0,-18.0,10.0,,,230.0,5.4,,,,
2018-10-15 12:00:00,14.0,-18.5,9.0,,,70.0,22.3,,,,
2018-10-15 13:00:00,14.0,-19.8,8.0,,,100.0,20.5,,,,
2018-10-15 14:00:00,14.0,-21.4,7.0,,,120.0,18.4,,,,
