time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-25 17:00:00,23.0,-1.9,19.0,,,,0.0,,,,
2019-10-25 18:00:00,25.0,-0.2,19.0,,,,0.0,,,,
2019-10-25 19:00:00,26.0,-1.8,16.0,,,260.0,5.4,,,,
2019-10-25 20:00:00,26.0,-2.6,15.0,,,270.0,7.6,,,,
2019-10-25 21:00:00,27.0,-2.8,14.0,,,240.0,9.4,,,,
2019-10-25 22:00:00,27.0,-1.8,15.0,,,230.0,5.4,,,,
2019-10-25 23:00:00,26.0,-1.8,16.0,,,290.0,5.4,,,,
2019-10-26 00:00:00,25.0,-1.8,17.0,,,310.0,7.6,,,,
2019-10-26 01:00:00,23.0,-1.9,19.0,,,330.0,5.4,,,,
2019-10-26 02:00:00,23.0,-1.9,19.0,,,,0.0,,,,
2019-10-26 03:00:00,21.0,-2.2,21.0,,,90.0,7.6,,,,
2019-10-26 04:00:00,19.0,0.1,28.0,,,70.0,13.0,,,,
2019-10-26 05:00:00,19.0,-0.9,26.0,,,70.0,7.6,,,,
2019-10-26 06:00:00,19.0,-2.0,24.0,,,70.0,18.4,,,,
2019-10-26 07:00:00,18.0,-2.9,24.0,,,70.0,11.2,,,,
2019-10-26 08:00:00,18.0,-2.9,24.0,,,70.0,13.0,,,,
2019-10-26 09:00:00,18.0,-4.1,22.0,,,80.0,11.2,,,,
2019-10-26 10:00:00,18.0,-4.1,22.0,,,90.0,11.2,,,,
2019-10-26 11:00:00,18.0,-5.3,20.0,,,70.0,9.4,,,,
2019-10-26 12:00:00,17.0,-4.9,22.0,,,90.0,13.0,,,,
2019-10-26 13:00:00,18.0,-6.0,19.0,,,80.0,9.4,,,,
2019-10-26 14:00:00,17.0,-6.8,19.0,,,60.0,7.6,,,,
2019-10-26 15:00:00,17.0,-6.8,19.0,,,100.0,11.2,,,,
2019-10-26 16:00:00,18.0,-4.1,22.0,,,90.0,7.6,,,,
2019-10-26 17:00:00,22.0,-2.7,19.0,,,150.0,5.4,,,,
2019-10-26 18:00:00,23.0,-1.9,19.0,,,280.0,5.4,,,,
2019-10-26 19:00:00,23.0,-1.9,19.0,,,270.0,5.4,,,,
2019-10-26 20:00:00,23.0,-1.9,19.0,,,260.0,7.6,,,,
2019-10-26 21:00:00,24.0,-4.2,15.0,,,260.0,9.4,,,,
2019-10-26 22:00:00,24.0,-4.2,15.0,,,270.0,9.4,,,,
2019-10-26 23:00:00,25.0,-1.0,18.0,,,,0.0,,,,
2019-10-27 00:00:00,22.0,-0.1,23.0,,,290.0,7.6,,,,
2019-10-27 01:00:00,20.0,-0.1,26.0,,,310.0,5.4,,,,
2019-10-27 02:00:00,17.0,0.2,32.0,,,,0.0,,,,
2019-10-27 03:00:00,19.0,0.1,28.0,,,,0.0,,,,
2019-10-27 04:00:00,,,,,,,,,,,
2019-10-27 05:00:00,,,,,,,,,,,
2019-10-27 06:00:00,,,,,,,,,,,
2019-10-27 07:00:00,,,,,,,,,,,
2019-10-27 08:00:00,,,,,,,,,,,
2019-10-27 09:00:00,,,,,,,,,,,
2019-10-27 10:00:00,,,,,,,,,,,
2019-10-27 11:00:00,,,,,,,,,,,
2019-10-27 12:00:00,,,,,,,,,,,
2019-10-27 13:00:00,,,,,,,,,,,
2019-10-27 14:00:00,,,,,,,,,,,
2019-10-27 15:00:00,7.0,-12.8,23.0,,,60.0,35.3,,,,
2019-10-27 16:00:00,8.0,-14.3,19.0,,,70.0,31.7,,,,
2019-10-27 17:00:00,9.0,-14.1,18.0,,,70.0,24.1,,,,
2019-10-27 18:00:00,10.0,-14.0,17.0,,,70.0,31.7,,,,
2019-10-27 19:00:00,11.0,-11.8,19.0,,,80.0,22.3,,,,
2019-10-27 20:00:00,12.0,-13.1,16.0,,,70.0,38.9,,,,
2019-10-27 21:00:00,13.0,-13.9,14.0,,,60.0,22.3,,,,
2019-10-27 22:00:00,13.0,-12.3,16.0,,,80.0,20.5,,,,
2019-10-27 23:00:00,14.0,-14.0,13.0,,,,11.2,,,,
2019-10-28 00:00:00,,,,,,,,,,,
2019-10-28 01:00:00,,,,,,,,,,,
2019-10-28 02:00:00,,,,,,,,,,,
2019-10-28 03:00:00,,,,,,,,,,,
2019-10-28 04:00:00,,,,,,,,,,,
2019-10-28 05:00:00,,,,,,,,,,,
2019-10-28 06:00:00,,,,,,,,,,,
2019-10-28 07:00:00,,,,,,,,,,,
2019-10-28 08:00:00,,,,,,,,,,,
2019-10-28 09:00:00,,,,,,,,,,,
2019-10-28 10:00:00,,,,,,,,,,,
2019-10-28 11:00:00,,,,,,,,,,,
2019-10-28 12:00:00,,,,,,,,,,,
2019-10-28 13:00:00,,,,,,,,,,,
2019-10-28 14:00:00,,,,,,,,,,,
2019-10-28 15:00:00,,,,,,,,,,,
2019-10-28 16:00:00,,,,,,,,,,,
2019-10-28 17:00:00,12.0,-13.9,15.0,,,140.0,7.6,,,,
2019-10-28 18:00:00,13.0,-10.1,19.0,,,,5.4,,,,
2019-10-28 19:00:00,15.0,-13.2,13.0,,,,5.4,,,,
2019-10-28 20:00:00,15.0,-14.2,12.0,,,140.0,13.0,,,,
2019-10-28 21:00:00,,,,,,,,,,,
