time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 16:00:00,20.0,4.9,37.0,,,,0.0,,,,
2019-10-07 17:00:00,24.0,2.2,24.0,,,,0.0,,,,
2019-10-07 18:00:00,27.0,-2.8,14.0,,,,0.0,,,,
2019-10-07 19:00:00,26.0,-0.2,18.0,,,330.0,0.0,,,,
2019-10-07 20:00:00,28.0,-1.0,15.0,,,340.0,0.0,,,,
2019-10-07 21:00:00,30.0,-2.5,12.0,,,330.0,7.6,,,,
2019-10-07 22:00:00,31.0,-2.9,11.0,,,310.0,9.4,,,,
2019-10-07 23:00:00,30.0,-1.4,13.0,,,340.0,9.4,,,,
2019-10-08 00:00:00,30.0,-2.5,12.0,,,310.0,7.6,,,,
2019-10-08 01:00:00,28.0,-3.0,13.0,,,210.0,5.4,,,,
2019-10-08 02:00:00,23.0,-1.2,20.0,,,320.0,0.0,,,,
2019-10-08 03:00:00,18.0,1.9,34.0,,,360.0,0.0,,,,
2019-10-08 04:00:00,16.0,0.9,36.0,,,,0.0,,,,
2019-10-08 05:00:00,14.0,0.9,41.0,,,120.0,0.0,,,,
2019-10-08 06:00:00,13.0,1.9,47.0,,,120.0,0.0,,,,
2019-10-08 07:00:00,12.0,1.0,47.0,,,120.0,0.0,,,,
2019-10-08 08:00:00,13.0,1.0,44.0,,,,0.0,,,,
2019-10-08 09:00:00,12.0,1.0,47.0,,,,0.0,,,,
2019-10-08 10:00:00,12.0,1.0,47.0,,,,0.0,,,,
2019-10-08 11:00:00,12.0,1.0,47.0,,,,0.0,,,,
2019-10-08 12:00:00,11.0,1.0,50.0,,,,0.0,,,,
2019-10-08 13:00:00,11.0,1.0,50.0,,,200.0,0.0,,,,
2019-10-08 14:00:00,10.0,1.1,54.0,,,,0.0,,,,
2019-10-08 15:00:00,11.0,1.0,50.0,,,140.0,0.0,,,,
2019-10-08 16:00:00,18.0,3.8,39.0,,,150.0,0.0,,,,
2019-10-08 17:00:00,24.0,0.3,21.0,,,210.0,0.0,,,,
2019-10-08 18:00:00,27.0,-1.8,15.0,,,,0.0,,,,
2019-10-08 19:00:00,28.0,-2.0,14.0,,,,5.4,,,,
2019-10-08 20:00:00,29.0,-3.3,12.0,,,340.0,13.0,,,,
