time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 18:00:00,30.6,-7.4,8.0,0.0,,60.0,14.8,,1016.7,,
2019-10-24 19:00:00,32.8,-5.8,8.0,0.0,,20.0,11.2,,1016.7,,
2019-10-24 20:00:00,33.3,-5.4,8.0,0.0,,,7.6,,1016.3,,
2019-10-24 21:00:00,33.9,-3.4,9.0,0.0,,,9.4,,1015.7,,
2019-10-24 22:00:00,33.9,-3.4,9.0,0.0,,130.0,11.2,,1015.3,,
2019-10-24 23:00:00,33.9,-3.4,9.0,0.0,,110.0,9.4,,1015.4,,
2019-10-25 00:00:00,32.8,-1.5,11.0,0.0,,190.0,9.4,,1015.4,,
2019-10-25 01:00:00,29.4,-0.9,14.0,0.0,,150.0,5.4,,1015.4,,
2019-10-25 02:00:00,25.6,-0.5,18.0,0.0,,,0.0,,1015.8,,
2019-10-25 03:00:00,21.1,0.8,26.0,,,260.0,5.4,,1016.5,,
2019-10-25 04:00:00,17.2,3.5,40.0,,,,0.0,,1017.0,,
2019-10-25 05:00:00,17.2,3.5,40.0,0.0,,360.0,5.4,,1017.5,,
2019-10-25 06:00:00,15.0,4.4,49.0,,,270.0,5.4,,1018.0,,
2019-10-25 07:00:00,14.4,3.8,49.0,0.0,,340.0,5.4,,1018.4,,
2019-10-25 08:00:00,12.2,4.4,59.0,,,,0.0,,1018.3,,
2019-10-25 09:00:00,11.7,4.0,59.0,0.0,,310.0,7.6,,1018.2,,
2019-10-25 10:00:00,11.7,3.2,56.0,0.0,,310.0,5.4,,1018.3,,
2019-10-25 11:00:00,10.6,4.3,65.0,0.0,,350.0,5.4,,1018.2,,
2019-10-25 12:00:00,10.0,2.1,58.0,0.0,,320.0,11.2,,1018.2,,
2019-10-25 13:00:00,8.3,2.7,68.0,0.0,,,0.0,,1018.5,,
2019-10-25 14:00:00,8.3,3.9,74.0,0.0,,,0.0,,1018.8,,
2019-10-25 15:00:00,7.8,2.9,71.0,0.0,,,0.0,,1019.1,,
2019-10-25 16:00:00,12.2,4.4,59.0,0.0,,,0.0,,1019.5,,
2019-10-25 17:00:00,17.8,2.1,35.0,0.0,,340.0,5.4,,,,
2019-10-25 18:00:00,20.6,2.9,31.0,0.0,,,0.0,,1019.4,,
2019-10-25 19:00:00,,,,,,,,,,,
2019-10-25 20:00:00,27.2,0.8,18.0,0.0,,,5.4,,1017.9,,
2019-10-25 21:00:00,29.4,0.1,15.0,0.0,,190.0,7.6,,1017.0,,
2019-10-25 22:00:00,31.7,0.9,14.0,0.0,,190.0,9.4,,1016.1,,
2019-10-25 23:00:00,32.8,-0.3,12.0,0.0,,200.0,13.0,,1015.4,,
2019-10-26 00:00:00,32.8,0.8,13.0,0.0,,170.0,7.6,,1014.9,,
