time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 02:00:00,26.1,1.4,20.0,0.0,,,0.0,,1014.3,,
2019-10-07 03:00:00,20.0,0.9,28.0,0.0,,270.0,7.6,,1014.7,,
2019-10-07 04:00:00,18.9,2.3,33.0,0.0,,10.0,9.4,,1015.4,,
2019-10-07 05:00:00,17.2,2.4,37.0,0.0,,,0.0,,1015.7,,
2019-10-07 06:00:00,15.6,2.0,40.0,0.0,,,0.0,,1015.9,,
2019-10-07 07:00:00,14.4,2.9,46.0,0.0,,,0.0,,1016.1,,
2019-10-07 08:00:00,12.8,3.2,52.0,0.0,,,0.0,,1015.9,,
2019-10-07 09:00:00,12.8,3.2,52.0,0.0,,,0.0,,1016.0,,
2019-10-07 10:00:00,11.7,3.2,56.0,0.0,,,0.0,,1015.7,,
2019-10-07 11:00:00,10.0,3.3,63.0,0.0,,20.0,5.4,,1015.4,,
2019-10-07 12:00:00,9.4,3.4,66.0,0.0,,,0.0,,1015.4,,
2019-10-07 13:00:00,10.0,3.3,63.0,0.0,,320.0,7.6,,1015.5,,
2019-10-07 14:00:00,8.3,2.7,68.0,0.0,,,0.0,,1015.9,,
2019-10-07 15:00:00,9.4,3.4,66.0,0.0,,360.0,0.0,,1016.1,,
2019-10-07 16:00:00,16.7,4.4,44.0,0.0,,360.0,5.4,,1016.2,,
2019-10-07 17:00:00,21.7,4.3,32.0,0.0,,360.0,9.4,,1015.9,,
2019-10-07 18:00:00,25.0,3.0,24.0,0.0,,350.0,9.4,,1015.6,,
2019-10-07 19:00:00,27.8,2.8,20.0,0.0,,,0.0,,1014.9,,
2019-10-07 20:00:00,29.4,1.8,17.0,0.0,,,0.0,,1013.9,,
2019-10-07 21:00:00,30.6,1.9,16.0,0.0,,,0.0,,1012.9,,
2019-10-07 22:00:00,30.6,1.0,15.0,0.0,,,5.4,,1012.3,,
2019-10-07 23:00:00,31.7,0.9,14.0,0.0,,160.0,7.6,,1011.9,,
2019-10-08 00:00:00,31.7,-0.1,13.0,0.0,,160.0,11.2,,1011.3,,
2019-10-08 01:00:00,30.6,2.8,17.0,0.0,,150.0,13.0,,1010.9,,
2019-10-08 02:00:00,26.1,3.3,23.0,0.0,,150.0,9.4,,1011.0,,
2019-10-08 03:00:00,24.4,3.7,26.0,0.0,,360.0,0.0,,1011.3,,
2019-10-08 04:00:00,20.6,4.6,35.0,0.0,,360.0,5.4,,1011.5,,
2019-10-08 05:00:00,18.9,3.9,37.0,0.0,,350.0,5.4,,1011.9,,
2019-10-08 06:00:00,16.1,4.5,46.0,0.0,,,0.0,,1012.2,,
2019-10-08 07:00:00,15.0,4.9,51.0,0.0,,,0.0,,1012.1,,
2019-10-08 08:00:00,14.4,4.4,51.0,0.0,,,0.0,,1012.0,,
2019-10-08 09:00:00,12.8,5.0,59.0,0.0,,,0.0,,1011.9,,
