time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-09-18 07:00:00,23.0,7.9,38.0,0.0,,150.0,22.3,,1013.0,,
2021-09-18 08:00:00,22.0,8.1,41.0,0.0,,160.0,20.5,,1013.0,,
2021-09-18 09:00:00,20.0,8.0,46.0,0.0,,170.0,18.4,,1013.0,,
2021-09-18 10:00:00,18.0,9.1,56.0,0.0,,160.0,20.5,,1014.0,,
2021-09-18 11:00:00,17.0,8.9,59.0,0.0,,160.0,13.0,,1014.0,,
2021-09-18 12:00:00,16.0,9.0,63.0,0.0,,140.0,31.7,,1014.0,,
2021-09-18 13:00:00,15.0,10.0,72.0,0.0,,170.0,25.9,,1015.0,,
2021-09-18 14:00:00,14.0,10.0,77.0,0.0,,140.0,22.3,,1015.0,,
2021-09-18 15:00:00,16.0,10.1,68.0,0.0,,140.0,26.0,,1016.0,,
2021-09-18 16:00:00,18.0,10.1,60.0,0.0,,130.0,30.0,,1016.0,,
2021-09-18 17:00:00,19.4,10.4,56.0,0.0,,149.0,20.5,,1016.2,,
2021-09-18 18:00:00,22.0,10.2,47.0,0.0,,140.0,28.0,,1016.0,,
2021-09-18 19:00:00,22.0,10.2,47.0,0.0,,140.0,27.7,,1016.0,,
2021-09-18 20:00:00,23.0,12.0,50.0,0.0,,150.0,27.7,,1016.0,,
2021-09-18 21:00:00,23.0,12.9,53.0,0.0,,135.0,28.0,,1015.0,,
2021-09-18 22:00:00,24.0,12.9,50.0,0.1,,140.0,19.0,,1014.0,,
2021-09-18 23:00:00,24.0,12.9,50.0,0.1,,140.0,18.4,,1015.0,,
2021-09-19 00:00:00,21.0,17.0,78.0,0.0,,157.0,11.0,,1014.0,,
2021-09-19 01:00:00,20.0,17.0,83.0,0.0,,148.0,11.0,,1014.0,,
2021-09-19 02:00:00,20.0,17.0,83.0,0.0,,160.0,11.2,,1013.2,,
2021-09-19 03:00:00,19.0,17.0,88.0,0.0,,120.0,19.0,,1015.0,,
2021-09-19 04:00:00,19.0,17.0,88.0,0.0,,120.0,24.1,,1015.0,,
2021-09-19 05:00:00,19.0,16.0,83.0,0.1,,130.0,20.5,,1015.0,,
2021-09-19 06:00:00,19.0,15.1,78.0,0.0,,140.0,25.9,,1015.0,,
2021-09-19 07:00:00,18.0,15.1,83.0,0.0,,140.0,29.5,,1016.0,,
2021-09-19 08:00:00,18.0,15.1,83.0,0.0,,140.0,25.9,,1016.0,,
2021-09-19 09:00:00,17.0,15.0,88.0,0.0,,150.0,27.7,,1016.0,,
2021-09-19 10:00:00,17.0,14.1,83.0,0.1,,130.0,27.7,,1017.0,,
2021-09-19 11:00:00,17.0,15.0,88.0,0.2,,140.0,22.3,,1017.0,,
2021-09-19 12:00:00,17.0,15.0,88.0,0.1,,140.0,18.4,,1017.0,,
2021-09-19 13:00:00,17.0,14.1,83.0,0.1,,130.0,14.8,,1018.0,,
2021-09-19 14:00:00,17.0,15.0,88.0,0.0,,110.0,11.2,,1018.0,,
2021-09-19 15:00:00,18.0,15.1,83.0,0.0,,120.0,24.0,,1019.0,,
2021-09-19 16:00:00,19.0,14.1,73.0,0.0,,150.0,17.0,,1020.0,,
2021-09-19 17:00:00,21.0,12.9,60.0,0.0,,120.0,13.0,,1020.0,,
2021-09-19 18:00:00,22.0,11.1,50.0,0.0,,200.0,17.0,,1019.0,,
2021-09-19 19:00:00,22.0,11.1,50.0,0.0,,200.0,16.6,,1019.0,,
2021-09-19 20:00:00,24.0,9.2,39.0,0.0,,340.0,9.4,,1019.0,,
2021-09-19 21:00:00,25.0,7.2,32.0,0.0,,290.0,7.0,,1018.0,,
2021-09-19 22:00:00,27.0,6.9,28.0,0.0,,310.0,19.0,,1017.0,,
2021-09-19 23:00:00,27.0,6.9,28.0,0.0,,310.0,18.4,,1017.0,,
2021-09-20 00:00:00,26.3,4.7,25.0,0.0,,325.0,14.4,,1015.6,,
2021-09-20 01:00:00,25.7,4.2,25.0,0.0,,324.0,13.3,,1015.6,,
2021-09-20 02:00:00,23.5,3.9,28.0,0.0,,327.0,8.6,,1015.4,,
2021-09-20 03:00:00,22.0,5.0,33.0,0.0,,340.0,19.0,,1017.0,,
2021-09-20 04:00:00,22.0,5.0,33.0,0.0,,340.0,20.5,,1017.0,,
2021-09-20 05:00:00,21.0,5.0,35.0,0.0,,320.0,20.5,,1017.0,,
2021-09-20 06:00:00,20.0,4.9,37.0,0.0,,320.0,19.0,,1017.0,,
2021-09-20 07:00:00,20.0,4.9,37.0,0.0,,320.0,18.4,,1017.0,,
2021-09-20 08:00:00,19.0,4.0,37.0,0.0,,330.0,14.8,,1017.0,,
2021-09-20 09:00:00,18.0,4.2,40.0,0.0,,310.0,18.4,,1017.0,,
2021-09-20 10:00:00,18.0,3.1,37.0,0.0,,350.0,11.2,,1017.0,,
2021-09-20 11:00:00,17.0,2.9,39.0,0.0,,330.0,22.3,,1017.0,,
2021-09-20 12:00:00,15.0,3.2,45.0,0.0,,20.0,5.4,,1017.0,,
2021-09-20 13:00:00,15.0,3.2,45.0,0.0,,330.0,7.6,,1017.0,,
2021-09-20 14:00:00,13.0,3.1,51.0,0.0,,321.0,9.4,,1016.6,,
2021-09-20 15:00:00,20.0,3.2,33.0,0.0,,330.0,13.0,,1017.0,,
2021-09-20 16:00:00,20.0,3.2,33.0,0.0,,330.0,13.0,,1017.0,,
