time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 21:00:00,32.0,3.9,17.0,,,20.0,20.5,,,,
2019-10-24 22:00:00,33.0,2.9,15.0,,,10.0,22.3,,,,
2019-10-24 23:00:00,32.0,3.0,16.0,,,20.0,25.9,,,,
2019-10-25 00:00:00,31.0,3.1,17.0,,,20.0,25.9,,,,
2019-10-25 01:00:00,29.0,3.0,19.0,,,30.0,22.3,,,,
2019-10-25 02:00:00,26.0,2.0,21.0,,,30.0,18.4,,,,
2019-10-25 03:00:00,22.0,3.1,29.0,,,,0.0,,,,
2019-10-25 04:00:00,20.0,2.8,32.0,,,360.0,0.0,,,,
2019-10-25 05:00:00,19.0,1.9,32.0,,,330.0,0.0,,,,
2019-10-25 06:00:00,16.0,3.1,42.0,,,350.0,0.0,,,,
2019-10-25 07:00:00,15.0,1.8,41.0,,,360.0,0.0,,,,
2019-10-25 08:00:00,15.0,1.1,39.0,,,350.0,0.0,,,,
2019-10-25 09:00:00,14.0,1.9,44.0,,,310.0,0.0,,,,
2019-10-25 10:00:00,13.0,0.0,41.0,,,360.0,0.0,,,,
2019-10-25 11:00:00,12.0,1.0,47.0,,,340.0,0.0,,,,
2019-10-25 12:00:00,11.0,0.1,47.0,,,150.0,0.0,,,,
2019-10-25 13:00:00,11.0,1.0,50.0,,,120.0,0.0,,,,
2019-10-25 14:00:00,9.0,2.1,62.0,,,120.0,0.0,,,,
2019-10-25 15:00:00,9.0,0.9,57.0,,,120.0,0.0,,,,
2019-10-25 16:00:00,15.0,1.1,39.0,,,160.0,0.0,,,,
2019-10-25 17:00:00,18.0,3.1,37.0,,,160.0,0.0,,,,
2019-10-25 18:00:00,23.0,1.9,25.0,,,160.0,0.0,,,,
2019-10-25 19:00:00,26.0,2.0,21.0,,,,0.0,,,,
2019-10-25 20:00:00,29.0,0.6,16.0,,,350.0,0.0,,,,
2019-10-25 21:00:00,32.0,1.2,14.0,,,300.0,9.4,,,,
2019-10-25 22:00:00,34.0,-1.9,10.0,,,320.0,11.2,,,,
2019-10-25 23:00:00,34.0,-1.9,10.0,,,310.0,11.2,,,,
2019-10-26 00:00:00,26.0,3.9,24.0,,,360.0,13.0,,,,
2019-10-26 01:00:00,30.0,-0.4,14.0,,,310.0,14.8,,,,
2019-10-26 02:00:00,27.0,0.7,18.0,,,300.0,20.5,,,,
2019-10-26 03:00:00,23.0,0.1,22.0,,,330.0,11.2,,,,
2019-10-26 04:00:00,22.0,-2.0,20.0,,,320.0,0.0,,,,
2019-10-26 05:00:00,16.0,0.1,34.0,,,320.0,0.0,,,,
2019-10-26 06:00:00,15.0,0.0,36.0,,,300.0,0.0,,,,
2019-10-26 07:00:00,13.0,1.0,44.0,,,,0.0,,,,
2019-10-26 08:00:00,12.0,1.0,47.0,,,,0.0,,,,
2019-10-26 09:00:00,14.0,-2.0,33.0,,,70.0,7.6,,,,
2019-10-26 10:00:00,13.0,-2.1,35.0,,,70.0,9.4,,,,
2019-10-26 11:00:00,11.0,-2.1,40.0,,,,0.0,,,,
2019-10-26 12:00:00,11.0,-1.1,43.0,,,330.0,0.0,,,,
2019-10-26 13:00:00,10.0,-1.1,46.0,,,150.0,0.0,,,,
2019-10-26 14:00:00,8.0,0.0,57.0,,,130.0,0.0,,,,
2019-10-26 15:00:00,9.0,-2.0,46.0,,,140.0,0.0,,,,
2019-10-26 16:00:00,13.0,-1.0,38.0,,,90.0,11.2,,,,
2019-10-26 17:00:00,15.0,1.1,39.0,,,,0.0,,,,
2019-10-26 18:00:00,19.0,1.0,30.0,,,180.0,0.0,,,,
2019-10-26 19:00:00,22.0,-0.1,23.0,,,290.0,0.0,,,,
2019-10-26 20:00:00,25.0,-0.2,19.0,,,300.0,0.0,,,,
2019-10-26 21:00:00,28.0,-0.2,16.0,,,310.0,0.0,,,,
2019-10-26 22:00:00,29.0,3.8,20.0,,,250.0,20.5,,,,
2019-10-26 23:00:00,27.0,2.1,20.0,,,260.0,24.1,,,,5.0
