time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-11-18 08:00:00,9.4,5.6,77.0,0.0,,,0.0,,1016.6,,
2019-11-18 09:00:00,8.9,5.6,80.0,,,,0.0,,1016.5,,
2019-11-18 10:00:00,7.8,4.9,82.0,,,,0.0,,1016.5,,
2019-11-18 11:00:00,7.2,5.0,86.0,,,,0.0,,1016.4,,
2019-11-18 12:00:00,7.2,5.0,86.0,,,,0.0,,1016.3,,
2019-11-18 13:00:00,7.2,5.0,86.0,,,340.0,5.4,,1016.4,,
2019-11-18 14:00:00,6.7,5.0,89.0,,,,0.0,,1016.5,,
2019-11-18 15:00:00,6.1,3.9,86.0,,,,0.0,,1016.6,,
2019-11-18 16:00:00,7.8,4.9,82.0,,,,0.0,,1016.8,,
2019-11-18 17:00:00,11.1,6.6,74.0,,,,0.0,,1016.6,,
2019-11-18 18:00:00,15.0,7.3,60.0,,,,0.0,,1016.0,,
2019-11-18 19:00:00,18.9,7.3,47.0,,,,0.0,,1015.0,,
2019-11-18 20:00:00,22.8,6.5,35.0,,,,0.0,,1013.7,,
2019-11-18 21:00:00,24.4,7.1,33.0,,,,0.0,,1012.2,,
2019-11-18 22:00:00,27.2,7.6,29.0,,,,0.0,,1010.9,,
2019-11-18 23:00:00,27.8,8.1,29.0,,,,0.0,,1009.9,,
2019-11-19 00:00:00,25.6,9.0,35.0,,,280.0,13.0,,1009.9,,
2019-11-19 01:00:00,23.3,8.9,40.0,,,10.0,13.0,,1010.6,,
2019-11-19 02:00:00,20.6,8.9,47.0,,,360.0,18.4,,1010.9,,
2019-11-19 03:00:00,18.9,8.8,52.0,,,10.0,14.8,,1011.4,,
2019-11-19 04:00:00,16.1,8.8,62.0,,,130.0,9.4,,1011.2,,
2019-11-19 05:00:00,15.0,8.2,64.0,,,280.0,5.4,,1011.2,,
2019-11-19 06:00:00,12.8,7.9,72.0,,,,0.0,,1011.2,,
2019-11-19 07:00:00,16.1,10.0,67.0,,,,9.4,,1011.1,,
2019-11-19 08:00:00,16.1,11.7,75.0,,,360.0,24.1,,1011.0,,
2019-11-19 09:00:00,15.6,11.8,78.0,0.0,,50.0,9.4,,1010.3,,
2019-11-19 10:00:00,15.0,11.8,81.0,0.0,,10.0,11.2,,1009.9,,
2019-11-19 11:00:00,15.0,11.2,78.0,0.0,,350.0,14.8,,1009.8,,
2019-11-19 12:00:00,13.3,9.4,77.0,0.0,,,0.0,,1008.8,,
2019-11-19 13:00:00,12.2,8.9,80.0,0.0,,30.0,7.6,,1008.8,,
2019-11-19 14:00:00,12.2,8.9,80.0,0.0,,40.0,7.6,,1008.9,,
2019-11-19 15:00:00,12.2,7.3,72.0,0.0,,20.0,16.6,,1009.5,,
2019-11-19 16:00:00,12.2,6.7,69.0,0.0,,330.0,22.3,,1010.2,,
2019-11-19 17:00:00,14.4,6.7,60.0,0.0,,50.0,7.6,,1010.0,,
2019-11-19 18:00:00,15.6,5.5,51.0,0.0,,340.0,18.4,,1009.2,,
2019-11-19 19:00:00,16.7,6.2,50.0,0.0,,310.0,18.4,,1008.5,,
2019-11-19 20:00:00,17.2,6.7,50.0,0.0,,300.0,22.3,,1007.8,,
2019-11-19 21:00:00,17.2,6.7,50.0,0.0,,320.0,18.4,,1006.6,,
2019-11-19 22:00:00,17.8,6.6,48.0,0.0,,310.0,24.1,,1005.7,,
2019-11-19 23:00:00,17.2,7.3,52.0,0.0,,340.0,11.2,,1005.5,,
2019-11-20 00:00:00,15.0,7.3,60.0,0.0,,280.0,16.6,,1004.7,,
2019-11-20 01:00:00,13.9,7.2,64.0,0.0,,310.0,27.7,,1004.7,,
2019-11-20 02:00:00,13.3,6.2,62.0,0.0,,310.0,24.1,,1004.7,,
2019-11-20 03:00:00,13.3,4.4,55.0,0.0,,330.0,20.5,,1004.4,,
2019-11-20 04:00:00,12.2,5.6,64.0,,,340.0,18.4,,1004.1,,
2019-11-20 05:00:00,12.2,4.9,61.0,,,350.0,13.0,,1004.3,,
2019-11-20 06:00:00,11.7,4.4,61.0,0.0,,350.0,13.0,,1003.9,,
2019-11-20 07:00:00,10.6,4.3,65.0,0.0,,10.0,9.4,,1003.6,,
2019-11-20 08:00:00,8.3,3.9,74.0,0.0,,120.0,7.6,,1003.7,,
2019-11-20 09:00:00,9.4,4.4,71.0,0.0,,70.0,7.6,,1003.7,,
2019-11-20 10:00:00,8.3,3.9,74.0,0.0,,,0.0,,1004.1,,
2019-11-20 11:00:00,7.8,3.8,76.0,0.0,,,0.0,,1003.7,,
2019-11-20 12:00:00,7.8,3.8,76.0,0.0,,330.0,14.8,,1003.5,,
2019-11-20 13:00:00,7.8,3.3,73.0,0.0,,290.0,7.6,,1003.9,,
2019-11-20 14:00:00,6.1,2.7,79.0,0.0,,340.0,5.4,,1004.0,,
2019-11-20 15:00:00,5.0,2.2,82.0,0.0,,,0.0,,1004.1,,
2019-11-20 16:00:00,8.3,2.7,68.0,0.0,,300.0,7.6,,1003.7,,
2019-11-20 17:00:00,8.9,3.3,68.0,0.0,,,0.0,,1003.9,,
2019-11-20 18:00:00,13.9,2.8,47.0,0.0,,10.0,7.6,,1002.6,,
2019-11-20 19:00:00,18.3,-1.0,27.0,0.0,,,0.0,,1001.7,,
2019-11-20 20:00:00,19.4,-2.9,22.0,0.0,,,9.4,,1000.8,,
2019-11-20 21:00:00,20.6,-3.2,20.0,0.0,,320.0,13.0,,999.6,,
2019-11-20 22:00:00,20.0,-1.2,24.0,0.0,,290.0,18.4,,999.4,,
2019-11-20 23:00:00,20.0,-1.8,23.0,0.0,,260.0,7.6,,999.4,,
2019-11-21 00:00:00,17.8,-0.5,29.0,0.0,,,7.6,,1000.2,,
2019-11-21 01:00:00,16.1,1.8,38.0,0.0,,,0.0,,1000.7,,
2019-11-21 02:00:00,13.3,1.6,45.0,0.0,,,0.0,,1001.5,,
2019-11-21 03:00:00,10.6,0.6,50.0,0.0,,,0.0,,1002.5,,
2019-11-21 04:00:00,9.4,0.6,54.0,0.0,,,0.0,,1003.4,,
2019-11-21 05:00:00,8.9,1.1,58.0,0.0,,,0.0,,1003.8,,
2019-11-21 06:00:00,6.7,0.6,65.0,0.0,,,0.0,,1004.4,,
2019-11-21 07:00:00,5.6,0.0,67.0,0.0,,90.0,5.4,,1004.8,,
2019-11-21 08:00:00,4.4,0.0,73.0,0.0,,,0.0,,1005.5,,
