time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 01:00:00,28.0,2.2,19.0,,,340.0,5.4,,1014.5,,
2019-10-07 02:00:00,25.0,3.0,24.0,,,270.0,7.6,,1014.5,,
2019-10-07 03:00:00,22.0,4.1,31.0,,,40.0,0.0,,1014.8,,
2019-10-07 04:00:00,20.0,4.9,37.0,,,60.0,0.0,,1015.2,,
2019-10-07 05:00:00,18.0,5.9,45.0,,,90.0,0.0,,1015.1,,
2019-10-07 06:00:00,18.0,7.1,49.0,,,60.0,0.0,,1015.1,,
2019-10-07 07:00:00,17.0,5.9,48.0,,,50.0,0.0,,1015.1,,
2019-10-07 08:00:00,16.0,7.0,55.0,,,,0.0,,1015.1,,
2019-10-07 09:00:00,16.0,8.0,59.0,,,70.0,0.0,,1015.5,,
2019-10-07 10:00:00,16.0,9.0,63.0,,,90.0,0.0,,1015.1,,
2019-10-07 11:00:00,13.0,8.1,72.0,,,,0.0,,1014.8,,
2019-10-07 12:00:00,13.0,8.1,72.0,,,360.0,0.0,,1014.8,,
2019-10-07 13:00:00,13.0,9.1,77.0,,,,0.0,,1015.1,,
2019-10-07 14:00:00,12.0,9.0,82.0,,,40.0,0.0,,1015.5,,
2019-10-07 15:00:00,14.0,9.0,72.0,,,360.0,0.0,,1015.8,,
2019-10-07 16:00:00,15.0,8.9,67.0,,,330.0,5.4,,1016.2,,
2019-10-07 17:00:00,17.0,8.9,59.0,,,310.0,0.0,,1015.8,,
2019-10-07 18:00:00,18.0,9.1,56.0,,,290.0,0.0,,1015.8,,
2019-10-07 19:00:00,22.0,8.1,41.0,,,270.0,7.6,,1015.1,,
2019-10-07 20:00:00,27.0,6.9,28.0,,,290.0,0.0,,1014.4,,
2019-10-07 21:00:00,29.0,7.0,25.0,,,240.0,0.0,,1013.4,,
2019-10-07 22:00:00,30.0,5.3,21.0,,,230.0,9.4,,1012.7,,
2019-10-07 23:00:00,31.0,4.7,19.0,,,210.0,0.0,,1012.4,,
2019-10-08 00:00:00,31.0,2.2,16.0,,,290.0,5.4,,1011.7,,
2019-10-08 01:00:00,30.0,3.9,19.0,,,290.0,5.4,,1011.4,,
2019-10-08 02:00:00,26.0,3.9,24.0,,,,0.0,,1011.1,,
