time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-08-15 20:00:00,23.3,15.6,62.0,0.0,,200.0,16.6,,1013.2,,5.0
2021-08-15 21:00:00,23.9,16.2,62.0,0.0,,200.0,24.1,,1012.3,,5.0
2021-08-15 22:00:00,24.4,16.1,60.0,0.0,,200.0,22.3,,1011.4,,5.0
2021-08-15 23:00:00,23.9,16.2,62.0,0.0,,200.0,22.3,,1010.7,,5.0
2021-08-16 00:00:00,23.3,15.6,62.0,0.0,,190.0,29.5,,1010.0,,5.0
2021-08-16 01:00:00,21.7,15.5,68.0,0.0,,200.0,27.7,,1009.4,,5.0
2021-08-16 02:00:00,20.0,15.6,76.0,0.0,,190.0,24.1,,1009.2,,5.0
2021-08-16 03:00:00,18.3,15.0,81.0,0.0,,200.0,25.9,,1009.4,,5.0
2021-08-16 04:00:00,17.2,15.0,87.0,0.0,,200.0,22.3,,1009.7,,5.0
2021-08-16 05:00:00,17.2,15.0,87.0,0.0,,200.0,25.9,,1010.0,,5.0
2021-08-16 06:00:00,17.2,15.0,87.0,0.0,,210.0,29.5,,1009.9,,5.0
2021-08-16 07:00:00,16.7,14.3,86.0,0.0,,210.0,29.5,,1009.9,,5.0
2021-08-16 08:00:00,16.1,14.5,90.0,0.0,,200.0,27.7,,1009.7,,5.0
2021-08-16 09:00:00,15.6,14.5,93.0,0.0,,200.0,22.3,,1009.5,,5.0
2021-08-16 10:00:00,15.6,14.5,93.0,0.0,,210.0,25.9,,1009.3,,5.0
2021-08-16 11:00:00,15.0,13.9,93.0,0.0,,200.0,20.5,,1009.3,,5.0
2021-08-16 12:00:00,15.6,14.0,90.0,0.0,,210.0,22.3,,1009.1,,5.0
2021-08-16 13:00:00,15.0,13.9,93.0,0.0,,250.0,11.2,,1009.0,,5.0
2021-08-16 14:00:00,14.4,13.3,93.0,0.0,,0.0,0.0,,1009.1,,5.0
2021-08-16 15:00:00,15.6,14.0,90.0,0.0,,210.0,11.2,,1009.4,,5.0
2021-08-16 16:00:00,16.7,14.0,84.0,0.0,,210.0,11.2,,1009.5,,5.0
2021-08-16 17:00:00,18.3,14.4,78.0,0.0,,210.0,16.6,,1009.3,,1.0
2021-08-16 18:00:00,20.6,14.5,68.0,0.0,,220.0,16.6,,1009.2,,1.0
2021-08-16 19:00:00,22.2,14.3,61.0,0.0,,180.0,13.0,,1008.7,,5.0
2021-08-16 20:00:00,24.4,15.1,56.0,0.0,,200.0,16.6,,1007.8,,5.0
2021-08-16 21:00:00,26.1,15.5,52.0,0.0,,200.0,22.3,,1007.2,,5.0
2021-08-16 22:00:00,27.2,14.9,47.0,0.0,,190.0,22.3,,1006.4,,5.0
2021-08-16 23:00:00,27.8,15.1,46.0,0.0,,190.0,27.7,,1005.4,,2.0
2021-08-17 00:00:00,27.8,14.4,44.0,0.0,,180.0,24.1,,1004.8,,2.0
2021-08-17 01:00:00,27.2,13.9,44.0,0.0,,190.0,31.7,,1004.3,,2.0
2021-08-17 02:00:00,25.0,13.9,50.0,0.0,,190.0,29.5,,1004.0,,2.0
2021-08-17 03:00:00,23.9,12.8,50.0,0.0,,200.0,22.3,,1004.2,,1.0
2021-08-17 04:00:00,20.6,13.3,63.0,0.0,,210.0,5.4,,1004.7,,1.0
2021-08-17 05:00:00,20.0,12.7,63.0,0.0,,230.0,24.1,,1005.3,,1.0
2021-08-17 06:00:00,18.9,12.9,68.0,0.0,,200.0,20.5,,1005.6,,1.0
2021-08-17 07:00:00,18.3,14.0,76.0,0.0,,210.0,27.7,,1006.0,,1.0
2021-08-17 08:00:00,17.2,13.9,81.0,0.0,,210.0,24.1,,1006.2,,1.0
2021-08-17 09:00:00,16.7,14.0,84.0,0.0,,210.0,25.9,,1006.2,,1.0
2021-08-17 10:00:00,16.1,13.9,87.0,0.0,,210.0,27.7,,1006.3,,1.0
2021-08-17 11:00:00,15.6,14.0,90.0,0.0,,200.0,25.9,,1006.5,,1.0
2021-08-17 12:00:00,15.6,14.0,90.0,0.0,,200.0,18.4,,1006.7,,1.0
2021-08-17 13:00:00,15.0,13.4,90.0,0.0,,200.0,22.3,,1006.9,,1.0
2021-08-17 14:00:00,15.0,13.4,90.0,0.0,,200.0,20.5,,1007.5,,1.0
2021-08-17 15:00:00,15.6,14.0,90.0,0.0,,210.0,22.3,,1007.9,,1.0
2021-08-17 16:00:00,16.7,14.0,84.0,0.0,,210.0,18.4,,1008.3,,5.0
2021-08-17 17:00:00,17.2,13.9,81.0,0.0,,210.0,18.4,,1008.2,,5.0
2021-08-17 18:00:00,18.3,14.0,76.0,0.0,,200.0,27.7,,1008.3,,5.0
2021-08-17 19:00:00,19.4,14.0,71.0,0.0,,200.0,27.7,,1007.7,,5.0
2021-08-17 20:00:00,21.7,13.9,61.0,0.0,,190.0,29.5,,1007.3,,5.0
2021-08-17 21:00:00,22.8,13.8,57.0,0.0,,200.0,31.7,,1006.6,,2.0
2021-08-17 22:00:00,22.2,13.8,59.0,0.0,,200.0,33.5,,1006.1,,2.0
2021-08-17 23:00:00,21.7,13.3,59.0,0.0,,200.0,35.3,,1005.3,,2.0
2021-08-18 00:00:00,21.7,12.8,57.0,0.0,,190.0,33.5,,1004.5,,2.0
2021-08-18 01:00:00,20.0,12.7,63.0,0.0,,190.0,38.9,,1004.2,,2.0
2021-08-18 02:00:00,18.3,12.3,68.0,0.0,,180.0,35.3,,1004.3,,1.0
2021-08-18 03:00:00,16.1,11.7,75.0,0.0,,190.0,25.9,,1004.9,,1.0
