time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 22:00:00,33.1,-7.3,7.0,,,30.0,29.5,,1017.2,,
2019-10-24 23:00:00,32.9,-7.5,7.0,,,30.0,22.3,,1017.5,,
2019-10-25 00:00:00,31.1,-5.5,9.0,,,30.0,22.3,,1017.2,,
2019-10-25 01:00:00,27.3,-2.5,14.0,,,30.0,16.6,,1017.2,,
2019-10-25 02:00:00,21.1,0.8,26.0,,,130.0,13.0,,1017.6,,
2019-10-25 03:00:00,17.5,-1.2,28.0,,,140.0,5.4,,1017.9,,
2019-10-25 04:00:00,14.0,-3.8,29.0,,,,0.0,,1018.2,,
2019-10-25 05:00:00,13.6,-3.7,30.0,,,290.0,9.4,,1018.9,,
2019-10-25 06:00:00,13.9,-1.7,34.0,,,290.0,7.6,,1019.2,,
2019-10-25 07:00:00,15.1,-1.1,33.0,,,250.0,5.4,,1019.2,,
2019-10-25 08:00:00,14.2,-0.7,36.0,,,,0.0,,1019.2,,
2019-10-25 09:00:00,10.9,-0.9,44.0,,,,0.0,,1019.6,,
2019-10-25 10:00:00,9.7,1.1,55.0,,,340.0,9.4,,1019.6,,
2019-10-25 11:00:00,8.8,-0.5,52.0,,,350.0,9.4,,1019.2,,
2019-10-25 12:00:00,8.3,-0.2,55.0,,,,0.0,,1019.6,,
2019-10-25 13:00:00,8.4,-2.0,48.0,,,,0.0,,1019.9,,
2019-10-25 14:00:00,6.2,-2.4,54.0,,,,0.0,,1020.0,,
2019-10-25 15:00:00,7.6,-0.9,55.0,,,340.0,7.6,,1020.3,,
2019-10-25 16:00:00,15.3,0.3,36.0,,,,0.0,,1021.0,,
2019-10-25 17:00:00,19.6,1.5,30.0,,,20.0,9.4,,1021.3,,
2019-10-25 18:00:00,23.3,2.7,26.0,,,20.0,9.4,,1020.6,,
2019-10-25 19:00:00,26.8,2.0,20.0,,,40.0,13.0,,1020.3,,
2019-10-25 20:00:00,29.5,1.0,16.0,,,50.0,11.2,,1019.2,,
2019-10-25 21:00:00,31.0,0.4,14.0,,,20.0,9.4,,1018.2,,
2019-10-25 22:00:00,32.9,-0.3,12.0,,,,0.0,,1017.6,,
2019-10-25 23:00:00,33.0,-1.4,11.0,,,220.0,7.6,,1016.9,,
2019-10-26 00:00:00,32.9,-0.3,12.0,,,260.0,5.4,,1016.5,,
2019-10-26 01:00:00,26.7,1.9,20.0,,,,0.0,,1015.9,,
2019-10-26 02:00:00,19.9,4.0,35.0,,,,0.0,,1015.9,,
2019-10-26 03:00:00,17.3,3.9,41.0,,,,0.0,,1015.6,,
2019-10-26 04:00:00,13.6,1.9,45.0,,,,0.0,,1015.6,,
2019-10-26 05:00:00,12.5,1.5,47.0,,,,0.0,,1015.6,,
2019-10-26 06:00:00,13.1,1.4,45.0,,,,0.0,,1015.5,,5.0
2019-10-26 07:00:00,11.7,2.7,54.0,,,,0.0,,1015.2,,
2019-10-26 08:00:00,10.2,2.3,58.0,,,30.0,0.0,,1015.2,,
2019-10-26 09:00:00,9.9,2.0,58.0,,,30.0,5.4,,1014.8,,
2019-10-26 10:00:00,8.7,1.8,62.0,,,320.0,0.0,,1014.2,,
2019-10-26 11:00:00,8.6,2.0,63.0,,,320.0,9.4,,1013.8,,
2019-10-26 12:00:00,8.7,0.9,58.0,,,,0.0,,1013.5,,
