time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 01:00:00,28.9,8.0,27.0,0.0,,160.0,11.2,,1012.4,,2.0
2019-10-07 02:00:00,27.8,3.5,21.0,0.0,,270.0,0.0,,1012.8,,2.0
2019-10-07 03:00:00,24.4,9.6,39.0,0.0,,170.0,7.6,,1013.2,,2.0
2019-10-07 04:00:00,23.9,9.5,40.0,0.0,,150.0,7.6,,1013.8,,2.0
2019-10-07 05:00:00,21.7,8.9,44.0,0.0,,100.0,9.4,,1014.0,,2.0
2019-10-07 06:00:00,20.0,11.2,57.0,0.0,,100.0,9.4,,1014.4,,1.0
2019-10-07 07:00:00,19.4,9.3,52.0,0.0,,10.0,0.0,,1014.4,,1.0
2019-10-07 08:00:00,17.8,6.6,48.0,0.0,,280.0,0.0,,1014.3,,2.0
2019-10-07 09:00:00,18.3,3.4,37.0,0.0,,280.0,7.6,,1014.4,,1.0
2019-10-07 10:00:00,17.2,0.8,33.0,0.0,,205.0,0.0,,1013.7,,1.0
2019-10-07 11:00:00,17.2,0.8,33.0,0.0,,212.0,0.0,,1013.1,,2.0
2019-10-07 12:00:00,15.0,2.2,42.0,0.0,,340.0,0.0,,1013.3,,2.0
2019-10-07 13:00:00,15.0,2.2,42.0,0.0,,310.0,0.0,,1013.6,,2.0
2019-10-07 14:00:00,14.4,3.2,47.0,0.0,,310.0,0.0,,1013.8,,2.0
2019-10-07 15:00:00,16.7,4.1,43.0,0.0,,200.0,0.0,,1014.2,,2.0
2019-10-07 16:00:00,20.6,3.8,33.0,0.0,,200.0,5.4,,1014.1,,2.0
2019-10-07 17:00:00,24.4,3.7,26.0,0.0,,160.0,0.0,,1014.0,,2.0
2019-10-07 18:00:00,27.8,0.5,17.0,0.0,,160.0,7.6,,1013.4,,2.0
2019-10-07 19:00:00,29.4,1.0,16.0,0.0,,160.0,5.4,,1013.0,,2.0
2019-10-07 20:00:00,31.1,4.0,18.0,0.0,,160.0,13.0,,1012.0,,2.0
2019-10-07 21:00:00,31.1,4.8,19.0,0.0,,180.0,16.6,,1011.2,,2.0
2019-10-07 22:00:00,30.6,2.8,17.0,0.0,,160.0,13.0,,1010.7,,2.0
2019-10-07 23:00:00,30.6,1.9,16.0,0.0,,170.0,14.8,,1010.4,,2.0
2019-10-08 00:00:00,29.4,4.1,20.0,0.0,,160.0,13.0,,1010.2,,1.0
2019-10-08 01:00:00,27.8,2.8,20.0,0.0,,160.0,9.4,,1010.0,,2.0
2019-10-08 02:00:00,26.1,6.2,28.0,0.0,,140.0,9.4,,1010.2,,2.0
2019-10-08 03:00:00,23.9,9.8,41.0,0.0,,220.0,0.0,,1010.6,,2.0
2019-10-08 04:00:00,22.8,11.2,48.0,0.0,,120.0,0.0,,1010.7,,2.0
2019-10-08 05:00:00,20.6,12.8,61.0,0.0,,120.0,7.6,,1010.9,,2.0
2019-10-08 06:00:00,19.4,14.4,73.0,0.0,,100.0,7.6,,1011.0,,2.0
2019-10-08 07:00:00,18.9,14.0,73.0,0.0,,100.0,9.4,,1011.1,,2.0
2019-10-08 08:00:00,17.8,12.3,70.0,0.0,,240.0,0.0,,1010.9,,2.0
2019-10-08 09:00:00,16.7,7.9,56.0,0.0,,20.0,5.4,,1010.7,,2.0
2019-10-08 10:00:00,16.1,6.8,54.0,0.0,,340.0,0.0,,1010.1,,2.0
2019-10-08 11:00:00,15.0,4.9,51.0,0.0,,340.0,5.4,,1009.7,,5.0
2019-10-08 12:00:00,15.6,2.7,42.0,0.0,,260.0,5.4,,1009.8,,2.0
2019-10-08 13:00:00,14.4,4.4,51.0,0.0,,40.0,0.0,,1010.1,,2.0
2019-10-08 14:00:00,14.4,4.9,53.0,0.0,,280.0,0.0,,1010.1,,3.0
2019-10-08 15:00:00,16.7,4.4,44.0,0.0,,200.0,0.0,,1010.8,,2.0
2019-10-08 16:00:00,19.4,5.1,39.0,0.0,,200.0,5.4,,1011.1,,2.0
2019-10-08 17:00:00,21.7,6.0,36.0,0.0,,250.0,5.4,,1011.4,,2.0
2019-10-08 18:00:00,24.4,6.2,31.0,0.0,,240.0,11.2,,1011.0,,2.0
2019-10-08 19:00:00,26.1,6.7,29.0,0.0,,240.0,9.4,,1010.5,,2.0
2019-10-08 20:00:00,27.2,8.1,30.0,0.0,,180.0,9.4,,1009.7,,2.0
2019-10-08 21:00:00,28.3,7.0,26.0,0.0,,180.0,11.2,,1009.1,,2.0
2019-10-08 22:00:00,28.3,9.1,30.0,0.0,,170.0,18.4,,1008.6,,2.0
2019-10-08 23:00:00,27.2,6.0,26.0,0.0,,180.0,16.6,,1008.2,,2.0
2019-10-09 00:00:00,26.1,6.7,29.0,0.0,,180.0,16.6,,1008.4,,1.0
2019-10-09 01:00:00,23.9,8.3,37.0,0.0,,180.0,18.4,,1008.2,,2.0
2019-10-09 02:00:00,21.1,9.3,47.0,0.0,,160.0,11.2,,1008.7,,2.0
2019-10-09 03:00:00,20.0,12.7,63.0,0.0,,120.0,13.0,,1009.2,,2.0
2019-10-09 04:00:00,18.9,14.4,75.0,0.0,,140.0,13.0,,1009.3,,2.0
2019-10-09 05:00:00,17.2,13.9,81.0,0.0,,170.0,7.6,,1009.9,,2.0
2019-10-09 06:00:00,17.2,13.9,81.0,0.0,,140.0,7.6,,1009.9,,2.0
2019-10-09 07:00:00,16.7,13.2,80.0,0.0,,90.0,5.4,,1009.9,,5.0
2019-10-09 08:00:00,16.1,13.9,87.0,0.0,,90.0,9.4,,1009.7,,5.0
2019-10-09 09:00:00,16.1,13.9,87.0,0.0,,100.0,0.0,,1009.7,,3.0
2019-10-09 10:00:00,16.1,13.2,83.0,0.0,,100.0,9.4,,1009.6,,4.0
2019-10-09 11:00:00,15.6,13.3,86.0,0.0,,100.0,9.4,,1009.8,,5.0
2019-10-09 12:00:00,15.6,13.3,86.0,0.0,,160.0,11.2,,1009.7,,5.0
2019-10-09 13:00:00,15.6,12.7,83.0,0.0,,110.0,5.4,,1009.7,,5.0
2019-10-09 14:00:00,15.0,12.1,83.0,0.0,,50.0,7.6,,1010.0,,5.0
2019-10-09 15:00:00,15.0,12.1,83.0,0.0,,170.0,0.0,,1010.5,,5.0
2019-10-09 16:00:00,16.1,12.3,78.0,0.0,,170.0,5.4,,1010.8,,5.0
2019-10-09 17:00:00,17.8,12.3,70.0,0.0,,179.0,7.6,,1010.9,,3.0
2019-10-09 18:00:00,19.4,11.7,61.0,0.0,,120.0,9.4,,1010.6,,3.0
2019-10-09 19:00:00,21.7,11.7,53.0,0.0,,120.0,14.8,,1009.7,,3.0
2019-10-09 20:00:00,23.3,11.7,48.0,0.0,,160.0,14.8,,1009.0,,2.0
2019-10-09 21:00:00,23.3,11.7,48.0,0.0,,190.0,14.8,,1007.9,,3.0
2019-10-09 22:00:00,22.8,12.1,51.0,0.0,,170.0,13.0,,1007.5,,3.0
2019-10-09 23:00:00,22.8,12.7,53.0,0.0,,180.0,16.6,,1007.5,,3.0
2019-10-10 00:00:00,21.1,12.8,59.0,0.0,,180.0,14.8,,1007.5,,2.0
2019-10-10 01:00:00,19.4,12.9,66.0,0.0,,180.0,16.6,,1007.7,,2.0
2019-10-10 02:00:00,17.8,12.9,73.0,0.0,,190.0,13.0,,1008.4,,2.0
2019-10-10 03:00:00,16.7,12.8,78.0,0.0,,180.0,9.4,,1009.0,,2.0
2019-10-10 04:00:00,16.1,12.8,81.0,0.0,,190.0,7.6,,1009.4,,2.0
2019-10-10 05:00:00,16.7,12.8,78.0,0.0,,190.0,5.4,,1009.7,,2.0
2019-10-10 06:00:00,16.7,12.8,78.0,0.0,,160.0,11.2,,1009.8,,2.0
2019-10-10 07:00:00,17.2,12.7,75.0,0.0,,130.0,11.2,,1009.6,,2.0
2019-10-10 08:00:00,17.2,12.1,72.0,0.0,,150.0,13.0,,1010.0,,3.0
2019-10-10 09:00:00,16.7,11.6,72.0,0.0,,150.0,14.8,,1009.9,,3.0
2019-10-10 10:00:00,16.7,11.6,72.0,0.0,,150.0,7.6,,1009.8,,3.0
2019-10-10 11:00:00,16.1,11.1,72.0,0.0,,150.0,9.4,,1009.4,,3.0
2019-10-10 12:00:00,16.1,11.1,72.0,0.0,,190.0,5.4,,1010.0,,3.0
2019-10-10 13:00:00,15.6,11.2,75.0,0.0,,240.0,5.4,,1010.6,,2.0
2019-10-10 14:00:00,15.0,11.2,78.0,0.0,,310.0,5.4,,1011.0,,2.0
2019-10-10 15:00:00,15.6,11.2,75.0,0.0,,254.0,0.0,,1011.7,,2.0
2019-10-10 16:00:00,16.7,11.2,70.0,0.0,,150.0,0.0,,1012.4,,2.0
2019-10-10 17:00:00,18.3,10.6,61.0,0.0,,160.0,5.4,,1012.6,,2.0
2019-10-10 18:00:00,20.0,10.7,55.0,0.0,,160.0,5.4,,1012.6,,2.0
2019-10-10 19:00:00,22.2,9.4,44.0,0.0,,120.0,7.6,,1012.2,,2.0
2019-10-10 20:00:00,24.4,8.4,36.0,0.0,,170.0,9.4,,1011.4,,2.0
2019-10-10 21:00:00,26.7,6.7,28.0,0.0,,10.0,6.0,,1010.4,,2.0
2019-10-10 22:00:00,27.2,4.9,24.0,0.0,,20.0,5.4,,1009.8,,2.0
2019-10-10 23:00:00,27.8,6.5,26.0,0.0,,40.0,24.1,,1009.5,,2.0
2019-10-11 00:00:00,27.8,7.1,27.0,0.0,,70.0,9.4,,1009.7,,2.0
2019-10-11 01:00:00,27.2,-26.3,2.0,0.0,,40.0,16.6,,1009.7,,2.0
2019-10-11 02:00:00,25.6,-27.3,2.0,0.0,,40.0,16.6,,1010.1,,2.0
2019-10-11 03:00:00,25.0,-28.4,2.0,0.0,,30.0,22.3,,1010.5,,2.0
2019-10-11 04:00:00,24.4,-14.6,8.0,0.0,,270.0,7.6,,1011.1,,2.0
2019-10-11 05:00:00,21.1,-14.5,8.0,0.0,,270.0,9.4,,1012.3,,2.0
2019-10-11 06:00:00,20.6,-14.9,8.0,0.0,,250.0,7.6,,1012.8,,2.0
2019-10-11 07:00:00,18.9,-12.3,11.0,0.0,,30.0,0.0,,1012.6,,0.0
2019-10-11 08:00:00,17.8,-11.0,13.0,0.0,,350.0,7.6,,1012.2,,0.0
2019-10-11 09:00:00,21.7,-11.9,12.0,0.0,,350.0,7.6,,1012.1,,0.0
2019-10-11 10:00:00,18.3,-11.6,12.0,0.0,,40.0,0.0,,1012.1,,0.0
2019-10-11 11:00:00,15.6,-8.0,19.0,0.0,,40.0,0.0,,1011.9,,0.0
2019-10-11 12:00:00,15.0,-10.7,16.0,0.0,,20.0,0.0,,1012.1,,0.0
