time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 21:00:00,32.0,2.1,15.0,0.0,,330.0,7.6,,1015.5,,
2019-10-24 22:00:00,33.0,2.9,15.0,0.0,,310.0,9.4,,1014.9,,
2019-10-24 23:00:00,33.0,2.0,14.0,0.0,,320.0,11.2,,1014.9,,
2019-10-25 00:00:00,32.0,2.1,15.0,0.0,,330.0,14.8,,1014.9,,
2019-10-25 01:00:00,30.0,2.3,17.0,0.0,,330.0,13.0,,1015.3,,
2019-10-25 02:00:00,27.0,2.8,21.0,0.0,,330.0,13.0,,1015.7,,
2019-10-25 03:00:00,24.0,2.2,24.0,0.0,,340.0,0.0,,1016.4,,
2019-10-25 04:00:00,21.0,3.2,31.0,0.0,,360.0,9.4,,1016.9,,
2019-10-25 05:00:00,18.0,3.1,37.0,,,330.0,5.4,,1017.7,,
2019-10-25 06:00:00,17.0,2.9,39.0,0.0,,350.0,5.4,,1018.3,,
2019-10-25 07:00:00,15.0,3.2,45.0,0.0,,360.0,7.6,,1018.4,,
2019-10-25 08:00:00,14.0,2.9,47.0,0.0,,350.0,5.4,,1018.4,,
2019-10-25 09:00:00,14.0,2.9,47.0,0.0,,310.0,5.4,,1018.3,,
2019-10-25 10:00:00,13.0,3.1,51.0,,,360.0,7.6,,1018.2,,
2019-10-25 11:00:00,12.0,3.0,54.0,,,340.0,7.6,,1017.8,,
2019-10-25 12:00:00,12.0,3.0,54.0,,,150.0,5.4,,1017.9,,
2019-10-25 13:00:00,12.0,3.0,54.0,,,,0.0,,1017.9,,
2019-10-25 14:00:00,10.0,3.1,62.0,,,,0.0,,1018.1,,
2019-10-25 15:00:00,10.0,3.1,62.0,,,,0.0,,1018.4,,
2019-10-25 16:00:00,15.0,3.2,45.0,,,90.0,0.0,,1018.9,,
2019-10-25 17:00:00,19.0,3.2,35.0,,,110.0,0.0,,1019.0,,
2019-10-25 18:00:00,23.0,0.7,23.0,0.0,,,0.0,,1018.6,,
2019-10-25 19:00:00,26.0,2.0,21.0,,,150.0,0.0,,1018.1,,
2019-10-25 20:00:00,30.0,-2.5,12.0,,,350.0,16.6,,1017.4,,
2019-10-25 21:00:00,32.0,1.2,14.0,0.0,,300.0,9.4,,1016.5,,
2019-10-25 22:00:00,32.0,-1.0,12.0,0.0,,340.0,13.0,,1015.9,,
