time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 21:00:00,30.0,5.3,21.0,0.0,,,0.0,,1016.2,,
2019-10-24 22:00:00,31.1,5.5,20.0,0.0,,330.0,7.6,,1015.6,,
2019-10-24 23:00:00,32.2,6.4,20.0,0.0,,300.0,5.4,,1015.5,,
2019-10-25 00:00:00,32.2,4.9,18.0,0.0,,290.0,7.6,,1015.4,,
2019-10-25 01:00:00,29.4,6.1,23.0,0.0,,260.0,9.4,,1015.4,,
2019-10-25 02:00:00,27.2,4.3,23.0,0.0,,270.0,9.4,,1015.7,,
2019-10-25 03:00:00,25.6,3.5,24.0,0.0,,,0.0,,1016.6,,
2019-10-25 04:00:00,23.3,6.1,33.0,0.0,,,0.0,,1017.1,,
2019-10-25 05:00:00,22.8,4.3,30.0,,,250.0,5.4,,1017.9,,
2019-10-25 06:00:00,19.4,6.8,44.0,,,110.0,5.4,,1018.4,,
2019-10-25 07:00:00,17.8,6.0,46.0,,,150.0,5.4,,1018.7,,
2019-10-25 08:00:00,16.1,5.7,50.0,,,140.0,7.6,,1018.6,,
2019-10-25 09:00:00,16.1,5.1,48.0,0.0,,150.0,5.4,,1018.7,,
2019-10-25 10:00:00,15.6,4.9,49.0,0.0,,130.0,5.4,,1018.6,,
2019-10-25 11:00:00,14.4,4.4,51.0,,,140.0,5.4,,1018.2,,
2019-10-25 12:00:00,14.4,5.5,55.0,0.0,,130.0,5.4,,1018.3,,
2019-10-25 13:00:00,14.4,4.9,53.0,0.0,,160.0,5.4,,1018.4,,
2019-10-25 14:00:00,15.0,4.4,49.0,0.0,,150.0,5.4,,1018.8,,
2019-10-25 15:00:00,13.9,4.5,53.0,0.0,,140.0,7.6,,1019.1,,
2019-10-25 16:00:00,17.2,5.5,46.0,0.0,,190.0,5.4,,1019.6,,
2019-10-25 17:00:00,20.6,4.6,35.0,0.0,,,0.0,,1019.6,,
2019-10-25 18:00:00,23.9,5.7,31.0,0.0,,,0.0,,1019.4,,
2019-10-25 19:00:00,27.2,4.9,24.0,0.0,,330.0,7.6,,1018.9,,
2019-10-25 20:00:00,28.3,5.2,23.0,0.0,,290.0,9.4,,1018.0,,
2019-10-25 21:00:00,29.4,4.1,20.0,0.0,,340.0,9.4,,1017.1,,
2019-10-25 22:00:00,31.1,4.8,19.0,0.0,,350.0,11.2,,1016.5,,
2019-10-25 23:00:00,31.1,4.8,19.0,0.0,,340.0,14.8,,1016.0,,
2019-10-26 00:00:00,29.4,5.5,22.0,0.0,,330.0,16.6,,1015.8,,
2019-10-26 01:00:00,27.2,4.3,23.0,0.0,,330.0,13.0,,1015.4,,
2019-10-26 02:00:00,22.8,5.7,33.0,,,310.0,9.4,,1015.5,,
2019-10-26 03:00:00,22.8,6.5,35.0,0.0,,320.0,7.6,,1015.6,,
2019-10-26 04:00:00,21.1,7.3,41.0,0.0,,140.0,5.4,,1015.6,,
2019-10-26 05:00:00,20.6,7.9,44.0,0.0,,,0.0,,1015.8,,
2019-10-26 06:00:00,18.3,7.7,50.0,0.0,,170.0,7.6,,1015.6,,
2019-10-26 07:00:00,16.7,6.2,50.0,0.0,,130.0,7.6,,1015.2,,
2019-10-26 08:00:00,15.6,5.5,51.0,0.0,,150.0,7.6,,1014.6,,
2019-10-26 09:00:00,15.0,4.9,51.0,0.0,,,0.0,,1014.2,,
2019-10-26 10:00:00,13.3,4.4,55.0,0.0,,140.0,9.4,,1013.6,,
2019-10-26 11:00:00,14.4,4.4,51.0,0.0,,,0.0,,1013.0,,
2019-10-26 12:00:00,14.4,4.4,51.0,0.0,,180.0,5.4,,1012.6,,
2019-10-26 13:00:00,13.3,4.4,55.0,0.0,,,0.0,,1012.1,,
2019-10-26 14:00:00,12.8,4.5,57.0,0.0,,230.0,5.4,,1012.4,,
2019-10-26 15:00:00,13.3,6.6,64.0,0.0,,,0.0,,1012.5,,
2019-10-26 16:00:00,15.6,6.1,53.0,0.0,,,0.0,,1012.8,,
2019-10-26 17:00:00,17.8,9.9,60.0,0.0,,220.0,7.6,,1012.9,,
2019-10-26 18:00:00,20.6,11.0,54.0,0.0,,,0.0,,1012.0,,
2019-10-26 19:00:00,23.3,9.3,41.0,0.0,,310.0,9.4,,1011.3,,
2019-10-26 20:00:00,25.6,6.2,29.0,0.0,,310.0,18.4,,1010.6,,
2019-10-26 21:00:00,26.1,7.2,30.0,0.0,,300.0,9.4,,1009.4,,
2019-10-26 22:00:00,27.8,4.1,22.0,0.0,,340.0,9.4,,1008.4,,
2019-10-26 23:00:00,27.2,6.0,26.0,0.0,,320.0,13.0,,1007.8,,
2019-10-27 00:00:00,25.0,9.3,37.0,0.0,,330.0,13.0,,1007.1,,
2019-10-27 01:00:00,21.7,12.8,57.0,0.0,,320.0,13.0,,1006.6,,
2019-10-27 02:00:00,18.3,14.4,78.0,0.0,,310.0,14.8,,1006.8,,
