time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 01:00:00,30.0,-0.4,14.0,0.0,,,0.0,,1014.6,,
2019-10-07 02:00:00,27.2,0.8,18.0,0.0,,,0.0,,1014.5,,
2019-10-07 03:00:00,21.1,1.9,28.0,0.0,,300.0,5.4,,1015.0,,
2019-10-07 04:00:00,17.8,3.3,38.0,0.0,,10.0,5.4,,1015.5,,
2019-10-07 05:00:00,18.3,-0.1,29.0,0.0,,280.0,11.2,,1015.9,,
2019-10-07 06:00:00,15.6,1.0,37.0,0.0,,300.0,7.6,,1016.0,,
2019-10-07 07:00:00,15.0,0.4,37.0,0.0,,310.0,11.2,,1016.1,,
2019-10-07 08:00:00,13.3,0.6,42.0,0.0,,320.0,5.4,,1016.1,,
2019-10-07 09:00:00,13.9,0.5,40.0,0.0,,330.0,11.2,,1016.3,,
2019-10-07 10:00:00,12.8,-0.1,41.0,0.0,,330.0,11.2,,1015.7,,
2019-10-07 11:00:00,10.6,0.6,50.0,0.0,,320.0,11.2,,1015.6,,
2019-10-07 12:00:00,12.2,0.6,45.0,0.0,,330.0,11.2,,1015.4,,
2019-10-07 13:00:00,13.3,0.6,42.0,0.0,,330.0,16.6,,1015.6,,
2019-10-07 14:00:00,11.7,0.2,45.0,0.0,,330.0,14.8,,1016.0,,
2019-10-07 15:00:00,12.2,0.6,45.0,0.0,,310.0,11.2,,1016.3,,
2019-10-07 16:00:00,17.2,2.4,37.0,0.0,,350.0,11.2,,1016.5,,
2019-10-07 17:00:00,21.1,3.3,31.0,0.0,,10.0,14.8,,1016.3,,
2019-10-07 18:00:00,24.4,3.1,25.0,0.0,,360.0,9.4,,1016.2,,
2019-10-07 19:00:00,26.7,3.2,22.0,0.0,,,0.0,,1015.5,,
2019-10-07 20:00:00,27.8,2.8,20.0,0.0,,,0.0,,1014.8,,
2019-10-07 21:00:00,30.6,2.8,17.0,0.0,,,,,1013.6,,
2019-10-07 22:00:00,31.1,1.4,15.0,0.0,,,7.6,,1012.9,,
2019-10-07 23:00:00,31.1,3.2,17.0,0.0,,130.0,11.2,,1012.4,,
2019-10-08 00:00:00,31.1,2.3,16.0,0.0,,180.0,13.0,,1011.8,,
2019-10-08 01:00:00,30.6,2.8,17.0,0.0,,160.0,7.6,,1011.3,,
2019-10-08 02:00:00,26.1,6.7,29.0,0.0,,110.0,5.4,,1011.2,,
2019-10-08 03:00:00,21.7,6.8,38.0,0.0,,,0.0,,1011.8,,
2019-10-08 04:00:00,18.3,5.2,42.0,0.0,,290.0,7.6,,1011.8,,
2019-10-08 05:00:00,15.6,4.3,47.0,0.0,,300.0,5.4,,1012.1,,
2019-10-08 06:00:00,15.6,4.0,46.0,0.0,,320.0,7.6,,1012.4,,
2019-10-08 07:00:00,13.9,3.9,51.0,0.0,,310.0,5.4,,1012.3,,
2019-10-08 08:00:00,13.9,3.9,51.0,0.0,,300.0,11.2,,1012.3,,
2019-10-08 09:00:00,14.4,2.9,46.0,0.0,,310.0,11.2,,1012.1,,
2019-10-08 10:00:00,13.3,2.2,47.0,0.0,,310.0,7.6,,1012.1,,
2019-10-08 11:00:00,11.7,2.7,54.0,0.0,,320.0,9.4,,1011.5,,
2019-10-08 12:00:00,11.7,2.7,54.0,0.0,,320.0,9.4,,1011.5,,
2019-10-08 13:00:00,11.1,2.9,57.0,0.0,,310.0,11.2,,1011.3,,
2019-10-08 14:00:00,11.7,3.2,56.0,0.0,,320.0,7.6,,1011.4,,
2019-10-08 15:00:00,12.2,3.9,57.0,0.0,,310.0,9.4,,1011.7,,
2019-10-08 16:00:00,16.1,4.5,46.0,0.0,,340.0,11.2,,1012.1,,0.0
2019-10-08 17:00:00,20.6,5.0,36.0,0.0,,350.0,9.4,,1012.3,,
2019-10-08 18:00:00,23.9,3.8,27.0,0.0,,360.0,5.4,,1012.0,,
2019-10-08 19:00:00,26.1,4.0,24.0,0.0,,,5.4,,1011.4,,
2019-10-08 20:00:00,27.8,4.8,23.0,0.0,,,5.4,,1010.8,,
2019-10-08 21:00:00,28.3,5.8,24.0,0.0,,130.0,7.6,,1010.0,,
2019-10-08 22:00:00,29.4,4.1,20.0,0.0,,140.0,9.4,,1009.3,,
2019-10-08 23:00:00,30.6,4.4,19.0,0.0,,110.0,11.2,,1008.7,,
2019-10-09 00:00:00,30.0,5.3,21.0,0.0,,140.0,18.4,,1008.1,,
2019-10-09 01:00:00,28.9,4.4,21.0,0.0,,160.0,14.8,,1007.5,,
2019-10-09 02:00:00,25.6,5.2,27.0,0.0,,,0.0,,1008.0,,
2019-10-09 03:00:00,23.9,3.8,27.0,0.0,,,5.4,,1008.5,,
2019-10-09 04:00:00,23.9,-5.2,14.0,0.0,,300.0,16.6,,1008.5,,
2019-10-09 05:00:00,22.8,-13.2,8.0,0.0,,290.0,20.5,,1008.7,,
2019-10-09 06:00:00,21.1,-16.1,7.0,0.0,,300.0,24.1,,1009.0,,
2019-10-09 07:00:00,19.4,-13.0,10.0,0.0,,330.0,14.8,,1009.4,,
2019-10-09 08:00:00,18.9,-11.2,12.0,0.0,,310.0,20.5,,1009.7,,
2019-10-09 09:00:00,17.2,-9.7,15.0,,,310.0,20.5,,1010.4,,
2019-10-09 10:00:00,,,,,,,,,,,
2019-10-09 11:00:00,,,,,,,,,,,
2019-10-09 12:00:00,,,,,,,,,,,
2019-10-09 13:00:00,,,,,,,,,,,
2019-10-09 14:00:00,,,,,,,,,,,
2019-10-09 15:00:00,,,,,,,,,,,
2019-10-09 16:00:00,,,,,,,,,,,
2019-10-09 17:00:00,,,,,,320.0,20.5,,,,
2019-10-09 18:00:00,19.0,-8.2,15.0,,,320.0,20.5,,,,
2019-10-09 19:00:00,22.0,-9.8,11.0,,,300.0,44.0,,,,
2019-10-09 20:00:00,22.0,-9.8,11.0,,,300.0,44.6,,,,
2019-10-09 21:00:00,23.0,-11.6,9.0,,,320.0,40.7,,,,
2019-10-09 22:00:00,23.0,-11.6,9.0,,,300.0,48.2,,,,
2019-10-09 23:00:00,24.0,-14.0,7.0,,,320.0,37.1,,,,
2019-10-10 00:00:00,24.0,-18.0,5.0,,,310.0,37.1,,,,
2019-10-10 01:00:00,22.0,-19.4,5.0,,,310.0,29.5,,,,
2019-10-10 02:00:00,19.0,-17.7,7.0,,,310.0,18.4,,,,
2019-10-10 03:00:00,,,,,,,,,,,
2019-10-10 04:00:00,17.0,-17.6,8.0,,,340.0,18.4,,,,
2019-10-10 05:00:00,15.0,-16.4,10.0,,,330.0,16.6,,,,
2019-10-10 06:00:00,14.0,-17.2,10.0,,,340.0,20.5,,,,
2019-10-10 07:00:00,13.0,-15.8,12.0,,,100.0,5.4,,,,
2019-10-10 08:00:00,9.0,-12.8,20.0,,,,0.0,,,,
2019-10-10 09:00:00,9.0,-12.8,20.0,,,,0.0,,,,
2019-10-10 10:00:00,8.0,-13.0,21.0,,,,0.0,,,,
2019-10-10 11:00:00,8.0,-13.0,21.0,,,,0.0,,,,
2019-10-10 12:00:00,6.0,-11.2,28.0,,,,0.0,,,,
2019-10-10 13:00:00,6.0,-12.1,26.0,,,,0.0,,,,
2019-10-10 14:00:00,4.0,-12.0,30.0,,,,0.0,,,,
2019-10-10 15:00:00,5.0,-12.0,28.0,,,,9.4,,,,
2019-10-10 16:00:00,15.0,-14.2,12.0,,,140.0,9.0,,,,
2019-10-10 17:00:00,15.0,-14.2,12.0,,,140.0,9.4,,,,
2019-10-10 18:00:00,,,,,,,,,,,
2019-10-10 19:00:00,19.0,-17.7,7.0,,,300.0,13.0,,,,
2019-10-10 20:00:00,23.0,-16.6,6.0,,,300.0,20.0,,,,
