time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 01:00:00,28.0,2.2,19.0,0.0,,50.0,7.6,,1014.3,,2.0
2019-10-07 02:00:00,24.0,4.9,29.0,0.0,,130.0,5.4,,1014.3,,2.0
2019-10-07 03:00:00,19.0,6.1,43.0,0.0,,230.0,0.0,,1014.5,,2.0
2019-10-07 04:00:00,18.0,4.9,42.0,0.0,,290.0,5.4,,1014.9,,2.0
2019-10-07 05:00:00,18.0,4.9,42.0,0.0,,230.0,0.0,,1014.9,,1.0
2019-10-07 06:00:00,15.0,6.0,55.0,0.0,,30.0,5.4,,1015.1,,1.0
2019-10-07 07:00:00,15.0,4.9,51.0,0.0,,111.0,0.0,,1015.2,,2.0
2019-10-07 08:00:00,14.0,4.0,51.0,0.0,,50.0,0.0,,1015.1,,2.0
2019-10-07 09:00:00,15.0,3.2,45.0,0.0,,60.0,0.0,,1015.3,,2.0
2019-10-07 10:00:00,12.0,4.0,58.0,0.0,,290.0,0.0,,1015.0,,2.0
2019-10-07 11:00:00,13.0,3.1,51.0,0.0,,310.0,0.0,,1014.8,,2.0
2019-10-07 12:00:00,13.0,3.1,51.0,0.0,,320.0,0.0,,1014.8,,2.0
2019-10-07 13:00:00,13.0,3.1,51.0,0.0,,330.0,0.0,,1015.0,,2.0
2019-10-07 14:00:00,12.0,3.0,54.0,0.0,,330.0,0.0,,1015.3,,1.0
2019-10-07 15:00:00,13.0,3.9,54.0,0.0,,350.0,5.4,,1015.4,,1.0
2019-10-07 16:00:00,15.0,3.2,45.0,0.0,,360.0,9.4,,1015.9,,1.0
2019-10-07 17:00:00,17.0,2.9,39.0,0.0,,20.0,11.2,,1016.1,,1.0
2019-10-07 18:00:00,23.0,3.0,27.0,0.0,,10.0,16.6,,1015.9,,1.0
2019-10-07 19:00:00,25.0,4.2,26.0,0.0,,10.0,9.4,,1015.4,,1.0
2019-10-07 20:00:00,27.0,2.8,21.0,0.0,,330.0,9.4,,1014.6,,1.0
2019-10-07 21:00:00,29.0,3.0,19.0,0.0,,340.0,7.6,,1013.4,,1.0
2019-10-07 22:00:00,30.0,3.1,18.0,0.0,,259.0,0.0,,1012.6,,2.0
2019-10-07 23:00:00,30.0,2.3,17.0,0.0,,20.0,5.4,,1012.2,,2.0
2019-10-08 00:00:00,30.0,1.4,16.0,0.0,,266.0,0.0,,1011.4,,2.0
2019-10-08 01:00:00,30.0,3.9,19.0,0.0,,130.0,0.0,,1011.0,,2.0
2019-10-08 02:00:00,25.0,7.2,32.0,0.0,,95.0,0.0,,1010.9,,1.0
2019-10-08 03:00:00,20.0,8.0,46.0,0.0,,96.0,0.0,,1011.1,,1.0
2019-10-08 04:00:00,19.0,8.0,49.0,0.0,,220.0,0.0,,1011.4,,1.0
2019-10-08 05:00:00,18.0,7.1,49.0,0.0,,106.0,0.0,,1011.3,,1.0
2019-10-08 06:00:00,17.0,7.1,52.0,0.0,,80.0,0.0,,1011.4,,1.0
2019-10-08 07:00:00,15.0,8.0,63.0,0.0,,92.0,0.0,,1011.4,,1.0
2019-10-08 08:00:00,14.0,7.1,63.0,0.0,,72.0,0.0,,1011.3,,1.0
2019-10-08 09:00:00,13.0,7.0,67.0,0.0,,150.0,0.0,,1011.3,,1.0
2019-10-08 10:00:00,13.0,4.9,58.0,0.0,,91.0,0.0,,1011.3,,1.0
2019-10-08 11:00:00,13.0,7.0,67.0,0.0,,350.0,7.6,,1011.0,,1.0
2019-10-08 12:00:00,12.0,6.9,71.0,0.0,,78.0,0.0,,1010.7,,2.0
2019-10-08 13:00:00,11.0,5.9,71.0,0.0,,320.0,5.4,,1010.8,,1.0
2019-10-08 14:00:00,12.0,6.1,67.0,0.0,,330.0,0.0,,1011.0,,1.0
2019-10-08 15:00:00,13.0,5.9,62.0,0.0,,350.0,5.4,,1011.4,,2.0
2019-10-08 16:00:00,15.0,7.1,59.0,0.0,,30.0,7.6,,1011.5,,2.0
2019-10-08 17:00:00,19.0,7.1,46.0,0.0,,140.0,0.0,,1011.7,,2.0
2019-10-08 18:00:00,23.0,5.0,31.0,0.0,,145.0,0.0,,1011.5,,2.0
2019-10-08 19:00:00,25.0,5.2,28.0,0.0,,145.0,0.0,,1011.0,,2.0
2019-10-08 20:00:00,27.0,5.9,26.0,0.0,,120.0,7.6,,1010.4,,3.0
2019-10-08 21:00:00,29.0,7.0,25.0,0.0,,150.0,11.2,,1009.8,,2.0
2019-10-08 22:00:00,29.0,7.0,25.0,0.0,,160.0,13.0,,1008.9,,2.0
2019-10-08 23:00:00,29.0,3.8,20.0,0.0,,170.0,9.4,,1008.7,,2.0
2019-10-09 00:00:00,28.0,7.3,27.0,0.0,,170.0,9.4,,1008.0,,2.0
2019-10-09 01:00:00,27.0,8.0,30.0,0.0,,190.0,11.2,,1007.7,,3.0
2019-10-09 02:00:00,25.0,7.2,32.0,0.0,,210.0,11.2,,1007.3,,2.0
2019-10-09 03:00:00,22.0,7.0,38.0,0.0,,230.0,7.6,,1007.4,,2.0
2019-10-09 04:00:00,19.0,7.1,46.0,0.0,,230.0,5.4,,1007.5,,2.0
2019-10-09 05:00:00,18.0,7.1,49.0,0.0,,220.0,7.6,,1007.6,,1.0
2019-10-09 06:00:00,16.0,8.0,59.0,0.0,,210.0,9.4,,1007.8,,1.0
2019-10-09 07:00:00,15.0,8.0,63.0,0.0,,190.0,0.0,,1007.7,,1.0
2019-10-09 08:00:00,13.0,7.0,67.0,0.0,,190.0,0.0,,1007.7,,1.0
2019-10-09 09:00:00,14.0,9.0,72.0,0.0,,350.0,5.4,,1008.4,,1.0
2019-10-09 10:00:00,16.0,5.9,51.0,0.0,,10.0,9.4,,1008.8,,1.0
2019-10-09 11:00:00,15.0,1.8,41.0,0.0,,330.0,9.4,,1009.2,,1.0
2019-10-09 12:00:00,14.0,-2.0,33.0,0.0,,330.0,7.6,,1009.8,,1.0
2019-10-09 13:00:00,15.0,-3.9,27.0,0.0,,350.0,14.8,,1010.3,,1.0
2019-10-09 14:00:00,15.0,-2.0,31.0,0.0,,360.0,20.5,,1011.1,,1.0
2019-10-09 15:00:00,15.0,-1.2,33.0,0.0,,350.0,16.6,,1011.8,,1.0
2019-10-09 16:00:00,17.0,-3.7,24.0,0.0,,350.0,31.7,,1012.5,,1.0
2019-10-09 17:00:00,18.0,-6.0,19.0,0.0,,360.0,25.9,,1013.1,,1.0
2019-10-09 18:00:00,19.0,-6.6,17.0,0.0,,360.0,27.7,,1012.9,,1.0
2019-10-09 19:00:00,20.0,-6.6,16.0,0.0,,350.0,35.3,,1012.5,,1.0
2019-10-09 20:00:00,21.0,-6.6,15.0,0.0,,350.0,29.5,,1012.3,,2.0
2019-10-09 21:00:00,22.0,-6.7,14.0,0.0,,330.0,27.7,,1011.7,,2.0
2019-10-09 22:00:00,23.0,-8.0,12.0,0.0,,350.0,27.7,,1011.3,,2.0
2019-10-09 23:00:00,23.0,-8.0,12.0,0.0,,360.0,20.5,,1010.9,,2.0
2019-10-10 00:00:00,23.0,-8.0,12.0,0.0,,360.0,31.7,,1010.6,,2.0
2019-10-10 01:00:00,22.0,-8.7,12.0,0.0,,340.0,16.6,,1010.7,,2.0
2019-10-10 02:00:00,20.0,-12.6,10.0,0.0,,350.0,27.7,,1010.7,,1.0
2019-10-10 03:00:00,20.0,-12.6,10.0,0.0,,340.0,33.5,,1010.9,,1.0
2019-10-10 04:00:00,19.0,-12.2,11.0,0.0,,340.0,27.7,,1011.3,,1.0
2019-10-10 05:00:00,18.0,-11.9,12.0,0.0,,330.0,27.7,,1011.9,,1.0
2019-10-10 06:00:00,18.0,-11.9,12.0,0.0,,340.0,29.5,,1012.5,,1.0
2019-10-10 07:00:00,17.0,-11.7,13.0,0.0,,350.0,27.7,,1013.2,,1.0
2019-10-10 08:00:00,17.0,-11.7,13.0,0.0,,350.0,35.3,,1013.1,,1.0
2019-10-10 09:00:00,16.0,-10.7,15.0,0.0,,340.0,31.7,,1013.4,,1.0
2019-10-10 10:00:00,15.0,-10.7,16.0,0.0,,340.0,27.7,,1013.6,,1.0
2019-10-10 11:00:00,15.0,-9.9,17.0,0.0,,350.0,35.3,,1013.5,,1.0
2019-10-10 12:00:00,14.0,-10.0,18.0,0.0,,350.0,37.1,,1014.0,,1.0
2019-10-10 13:00:00,13.0,-8.8,21.0,0.0,,350.0,31.7,,1014.2,,1.0
2019-10-10 14:00:00,13.0,-8.8,21.0,0.0,,350.0,31.7,,1014.9,,1.0
2019-10-10 15:00:00,13.0,-8.8,21.0,0.0,,340.0,33.5,,1015.0,,1.0
2019-10-10 16:00:00,15.0,-9.2,18.0,0.0,,350.0,25.9,,1016.0,,1.0
2019-10-10 17:00:00,17.0,-9.9,15.0,0.0,,350.0,29.5,,1016.1,,1.0
2019-10-10 18:00:00,19.0,-9.1,14.0,0.0,,350.0,22.3,,1016.1,,1.0
