time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-08-15 19:00:00,32.0,15.9,38.0,0.0,,160.0,7.0,,1013.0,,2.0
2021-08-15 20:00:00,34.0,15.9,34.0,0.0,,180.0,13.0,,1012.0,,2.0
2021-08-15 21:00:00,34.0,15.9,34.0,0.0,,190.0,15.0,,1011.0,,2.0
2021-08-15 22:00:00,36.0,15.2,29.0,0.0,,140.0,15.0,,1010.0,,2.0
2021-08-15 23:00:00,36.0,15.2,29.0,0.0,,150.0,13.0,,1010.0,,2.0
2021-08-16 00:00:00,34.0,16.8,36.0,0.0,,120.0,9.0,,1008.0,,2.0
2021-08-16 01:00:00,34.0,16.8,36.0,0.0,,120.0,11.0,,1008.0,,5.0
2021-08-16 02:00:00,29.0,15.9,45.0,0.0,,130.0,7.0,,1008.0,,5.0
2021-08-16 03:00:00,26.0,15.1,51.0,0.0,,173.0,10.8,,1009.0,,5.0
2021-08-16 04:00:00,24.0,15.0,57.0,0.0,,120.0,7.0,,1009.0,,5.0
2021-08-16 05:00:00,23.0,15.1,61.0,0.0,,163.0,6.0,,1009.0,,5.0
2021-08-16 06:00:00,22.0,15.1,65.0,0.0,,30.0,6.0,,1009.0,,5.0
2021-08-16 07:00:00,22.0,15.1,65.0,0.0,,60.0,6.0,,1009.0,,1.0
2021-08-16 08:00:00,21.0,13.9,64.0,0.0,,122.0,4.0,,1008.0,,1.0
2021-08-16 09:00:00,20.0,13.9,68.0,0.0,,106.0,3.2,,1008.0,,1.0
2021-08-16 10:00:00,19.0,15.1,78.0,0.0,,76.0,4.7,,1008.0,,1.0
2021-08-16 11:00:00,19.0,14.1,73.0,0.0,,92.0,5.8,,1008.0,,1.0
2021-08-16 12:00:00,18.0,14.1,78.0,0.0,,30.0,7.0,,1008.0,,2.0
2021-08-16 13:00:00,18.0,14.1,78.0,0.0,,10.0,6.0,,1009.0,,2.0
2021-08-16 14:00:00,18.0,14.1,78.0,0.0,,20.0,6.0,,1009.0,,2.0
2021-08-16 15:00:00,20.0,15.0,73.0,0.0,,10.0,6.0,,1009.0,,5.0
2021-08-16 16:00:00,24.0,15.0,57.0,0.0,,43.0,4.3,,1009.0,,5.0
2021-08-16 17:00:00,27.0,16.0,51.0,0.0,,24.0,3.6,,1009.0,,5.0
2021-08-16 18:00:00,30.0,16.1,43.0,0.0,,130.0,7.0,,1008.0,,5.0
2021-08-16 19:00:00,32.0,15.9,38.0,0.0,,160.0,9.0,,1008.0,,5.0
2021-08-16 20:00:00,35.0,16.8,34.0,0.0,,180.0,17.0,,1006.0,,5.0
2021-08-16 21:00:00,35.0,15.9,32.0,0.0,,170.0,13.0,,1006.0,,5.0
2021-08-16 22:00:00,38.0,13.9,24.0,0.0,,170.0,13.0,,1004.0,,5.0
2021-08-16 23:00:00,38.0,15.2,26.0,0.0,,180.0,17.0,,1004.0,,5.0
2021-08-17 00:00:00,40.0,10.3,17.0,0.0,,220.0,13.0,,1003.0,,5.0
2021-08-17 01:00:00,39.0,8.6,16.0,0.0,,230.0,13.0,,1003.0,,2.0
2021-08-17 02:00:00,36.0,8.8,19.0,0.0,,240.0,13.0,,1003.0,,2.0
2021-08-17 03:00:00,31.0,10.9,29.0,0.0,,190.0,11.0,,1003.0,,1.0
2021-08-17 04:00:00,26.0,11.0,39.0,0.0,,170.0,13.0,,1004.0,,1.0
2021-08-17 05:00:00,24.0,11.0,44.0,0.0,,160.0,15.0,,1004.0,,1.0
2021-08-17 06:00:00,23.0,11.1,47.0,0.0,,180.0,9.0,,1004.0,,1.0
2021-08-17 07:00:00,21.0,11.1,53.0,0.0,,180.0,9.0,,1004.0,,1.0
2021-08-17 08:00:00,21.0,11.1,53.0,0.0,,140.0,7.0,,1004.0,,1.0
2021-08-17 09:00:00,19.0,12.0,64.0,0.0,,140.0,6.0,,1004.0,,1.0
2021-08-17 10:00:00,18.0,12.0,68.0,0.0,,150.0,6.0,,1005.0,,1.0
2021-08-17 11:00:00,17.0,11.9,72.0,0.0,,158.0,6.8,,1006.0,,1.0
2021-08-17 12:00:00,17.0,11.9,72.0,0.0,,143.0,6.1,,1006.0,,1.0
2021-08-17 13:00:00,17.0,11.9,72.0,0.0,,230.0,6.0,,1007.0,,1.0
2021-08-17 14:00:00,19.0,13.0,68.0,0.0,,200.0,6.0,,1008.0,,1.0
2021-08-17 15:00:00,21.0,12.9,60.0,0.0,,200.0,7.0,,1008.0,,1.0
2021-08-17 16:00:00,22.0,13.1,57.0,0.0,,160.0,6.0,,1008.0,,1.0
2021-08-17 17:00:00,23.0,12.9,53.0,0.0,,120.0,6.0,,1008.0,,1.0
2021-08-17 18:00:00,24.0,12.9,50.0,0.0,,160.0,6.0,,1008.0,,1.0
2021-08-17 19:00:00,25.0,12.9,47.0,0.0,,200.0,6.0,,1008.0,,1.0
2021-08-17 20:00:00,28.0,13.1,40.0,0.0,,180.0,6.0,,1006.0,,2.0
2021-08-17 21:00:00,29.0,12.8,37.0,0.0,,164.0,7.0,,1006.0,,5.0
2021-08-17 22:00:00,32.0,13.2,32.0,0.0,,170.0,7.0,,1005.0,,5.0
2021-08-17 23:00:00,32.0,14.2,34.0,0.0,,90.0,13.0,,1004.0,,5.0
2021-08-18 00:00:00,32.0,14.2,34.0,0.0,,110.0,7.0,,1004.0,,5.0
2021-08-18 01:00:00,29.0,14.0,40.0,0.0,,170.0,11.0,,1004.0,,2.0
2021-08-18 02:00:00,27.0,13.0,42.0,0.0,,160.0,13.0,,1004.0,,1.0
2021-08-18 03:00:00,23.0,12.0,50.0,0.0,,170.0,9.0,,1005.0,,1.0
2021-08-18 04:00:00,23.0,12.0,50.0,0.0,,150.0,7.0,,1005.0,,1.0
2021-08-18 05:00:00,20.0,11.0,56.0,0.0,,190.0,6.0,,1006.0,,1.0
2021-08-18 06:00:00,18.0,12.0,68.0,0.0,,119.0,4.7,,1006.0,,1.0
2021-08-18 07:00:00,18.0,11.1,64.0,0.0,,40.0,7.0,,1007.0,,1.0
2021-08-18 08:00:00,18.0,11.1,64.0,0.0,,40.0,6.0,,1007.0,,1.0
2021-08-18 09:00:00,19.0,12.0,64.0,0.0,,350.0,9.0,,1007.0,,1.0
2021-08-18 10:00:00,20.0,4.1,35.0,0.0,,360.0,11.0,,1008.0,,1.0
2021-08-18 11:00:00,23.0,-1.2,20.0,0.0,,10.0,17.0,,1008.0,,1.0
2021-08-18 12:00:00,23.0,0.1,22.0,0.0,,340.0,26.0,,1008.0,,1.0
2021-08-18 13:00:00,23.0,0.1,22.0,0.0,,350.0,24.0,,1009.0,,5.0
2021-08-18 14:00:00,23.0,1.9,25.0,0.0,,340.0,28.0,,1009.0,,5.0
2021-08-18 15:00:00,23.0,1.9,25.0,0.0,,350.0,26.0,,1010.0,,5.0
2021-08-18 16:00:00,25.0,3.0,24.0,0.0,,340.0,33.0,,1010.0,,5.0
2021-08-18 17:00:00,26.0,3.9,24.0,0.0,,350.0,28.0,,1011.0,,5.0
2021-08-18 18:00:00,27.0,4.1,23.0,0.0,,340.0,28.0,,1011.0,,5.0
2021-08-18 19:00:00,28.0,4.3,22.0,0.0,,350.0,24.0,,1010.0,,5.0
