time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-06 01:00:00,14.8,11.9,83.0,0.0,,316.0,11.1,,1019.5,,
2020-09-06 02:00:00,13.7,11.7,88.0,0.0,,318.0,9.3,,1019.3,,
2020-09-06 03:00:00,12.7,11.6,93.0,0.0,,324.0,7.4,,1019.1,,
2020-09-06 04:00:00,12.6,11.0,90.0,0.0,,309.0,5.5,,1018.6,,
2020-09-06 05:00:00,11.7,9.9,89.0,0.0,,119.0,3.7,,1018.5,,
2020-09-06 06:00:00,12.8,10.7,87.0,0.0,,160.0,5.4,,1018.6,,
2020-09-06 07:00:00,10.4,10.4,100.0,0.0,,115.0,3.7,,1018.3,,
2020-09-06 08:00:00,10.3,10.3,100.0,0.0,,103.0,3.7,,1018.0,,
2020-09-06 09:00:00,10.2,10.2,100.0,0.0,,84.0,3.7,,1017.8,,
2020-09-06 10:00:00,10.0,9.8,99.0,0.0,,74.0,1.8,,1017.2,,
2020-09-06 11:00:00,9.8,9.7,99.0,0.0,,18.0,1.8,,1016.8,,
2020-09-06 12:00:00,10.6,9.4,92.0,0.0,,0.0,0.0,,1016.7,,
2020-09-06 13:00:00,10.4,9.8,96.0,0.0,,146.0,1.8,,1017.4,,
2020-09-06 14:00:00,10.9,9.8,93.0,0.0,,172.0,3.7,,1017.4,,
2020-09-06 15:00:00,11.4,9.8,90.0,0.0,,196.0,3.7,,1017.4,,
2020-09-06 16:00:00,14.8,11.6,81.0,0.0,,273.0,7.4,,1017.6,,
2020-09-06 17:00:00,17.5,12.6,73.0,0.0,,277.0,9.3,,1016.9,,
2020-09-06 18:00:00,21.1,14.0,64.0,0.0,,230.0,7.6,,1016.8,,
2020-09-06 19:00:00,19.9,12.9,64.0,0.0,,294.0,7.4,,1017.1,,
2020-09-06 20:00:00,20.7,12.9,61.0,0.0,,292.0,7.4,,1017.0,,
2020-09-06 21:00:00,21.4,12.5,57.0,0.0,,290.0,7.4,,1017.0,,
2020-09-06 22:00:00,21.5,12.6,57.0,0.0,,298.0,9.3,,1016.1,,
2020-09-06 23:00:00,21.1,12.0,56.0,0.0,,309.0,9.3,,1015.9,,
2020-09-07 00:00:00,20.0,12.7,63.0,0.0,,300.0,7.6,,1015.6,,
2020-09-07 01:00:00,18.1,11.2,64.0,0.0,,264.0,7.4,,1016.1,,
2020-09-07 02:00:00,16.2,10.3,68.0,0.0,,252.0,7.4,,1016.0,,5.0
2020-09-07 03:00:00,14.3,9.3,72.0,0.0,,214.0,5.5,,1015.9,,
