time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 02:00:00,25.0,3.6,25.0,,,330.0,13.0,,,,
2019-10-07 03:00:00,22.8,3.8,29.0,,,350.0,9.4,,,,
2019-10-07 04:00:00,20.9,4.4,34.0,,,,0.0,,,,
2019-10-07 05:00:00,17.8,4.4,41.0,,,110.0,7.6,,,,
2019-10-07 06:00:00,16.5,3.5,42.0,,,120.0,5.4,,,,
2019-10-07 07:00:00,15.4,2.5,42.0,,,120.0,7.6,,,,
2019-10-07 08:00:00,14.5,2.7,45.0,,,,0.0,,,,
2019-10-07 09:00:00,14.7,1.6,41.0,,,120.0,7.6,,,,
2019-10-07 10:00:00,14.0,3.2,48.0,,,140.0,5.4,,,,
2019-10-07 11:00:00,14.7,0.9,39.0,,,150.0,5.4,,,,
2019-10-07 12:00:00,14.3,1.2,41.0,,,120.0,7.6,,,,
2019-10-07 13:00:00,14.8,1.0,39.0,,,140.0,5.4,,,,
2019-10-07 14:00:00,13.6,-0.1,39.0,,,140.0,7.6,,,,
2019-10-07 15:00:00,13.9,0.2,39.0,,,130.0,5.4,,,,
2019-10-07 16:00:00,14.7,0.2,37.0,,,,0.0,,,,
2019-10-07 17:00:00,18.5,0.1,29.0,,,,0.0,,,,
2019-10-07 18:00:00,25.6,0.3,19.0,,,,0.0,,,,
2019-10-07 19:00:00,27.2,-0.8,16.0,,,330.0,9.4,,,,
2019-10-07 20:00:00,29.5,-1.8,13.0,,,340.0,13.0,,,,
2019-10-07 21:00:00,30.2,-3.5,11.0,,,330.0,14.8,,,,
2019-10-07 22:00:00,30.7,-3.1,11.0,,,310.0,18.4,,,,
2019-10-07 23:00:00,30.3,-2.3,12.0,,,340.0,13.0,,,,
2019-10-08 00:00:00,29.6,0.2,15.0,,,310.0,14.8,,,,
2019-10-08 01:00:00,28.4,-0.7,15.0,,,320.0,13.0,,,,
2019-10-08 02:00:00,26.0,-0.2,18.0,,,320.0,14.8,,,,
2019-10-08 03:00:00,24.0,0.3,21.0,,,360.0,7.6,,,,
2019-10-08 04:00:00,20.8,0.6,26.0,,,,0.0,,,,
2019-10-08 05:00:00,18.3,0.9,31.0,,,120.0,7.6,,,,
2019-10-08 06:00:00,16.7,0.8,34.0,,,120.0,7.6,,,,
2019-10-08 07:00:00,16.0,0.5,35.0,,,120.0,5.4,,,,
2019-10-08 08:00:00,15.7,1.0,37.0,,,,0.0,,,,
2019-10-08 09:00:00,15.3,0.3,36.0,,,,0.0,,,,
2019-10-08 10:00:00,14.2,0.1,38.0,,,,0.0,,,,
2019-10-08 11:00:00,14.0,-0.1,38.0,,,,0.0,,,,
2019-10-08 12:00:00,13.0,-0.3,40.0,,,,0.0,,,,
2019-10-08 13:00:00,12.6,0.0,42.0,,,200.0,5.4,,,,
2019-10-08 14:00:00,12.8,-0.1,41.0,,,,0.0,,,,
2019-10-08 15:00:00,13.6,-0.8,37.0,,,140.0,5.4,,,,
2019-10-08 16:00:00,16.4,-0.3,32.0,,,150.0,7.6,,,,
2019-10-08 17:00:00,21.7,-2.3,20.0,,,210.0,7.6,,,,
2019-10-08 18:00:00,26.4,-1.4,16.0,,,,0.0,,,,
2019-10-08 19:00:00,28.4,-2.7,13.0,,,,0.0,,,,
2019-10-08 20:00:00,28.5,1.1,17.0,,,340.0,9.4,,,,
2019-10-08 21:00:00,29.6,2.0,17.0,,,10.0,13.0,,,,
2019-10-08 22:00:00,29.8,0.4,15.0,,,300.0,11.2,,,,
2019-10-08 23:00:00,28.8,0.5,16.0,,,320.0,11.2,,,,
2019-10-09 00:00:00,27.9,2.1,19.0,,,330.0,13.0,,,,
2019-10-09 01:00:00,26.1,2.7,22.0,,,340.0,5.4,,,,
2019-10-09 02:00:00,24.6,1.5,22.0,,,,0.0,,,,
2019-10-09 03:00:00,22.5,2.0,26.0,,,,0.0,,,,
2019-10-09 04:00:00,19.0,4.0,37.0,,,120.0,5.4,,,,
2019-10-09 05:00:00,18.0,3.5,38.0,,,130.0,5.4,,,,
2019-10-09 06:00:00,16.3,3.4,42.0,,,130.0,7.6,,,,
2019-10-09 07:00:00,15.6,3.1,43.0,,,,0.0,,,,
2019-10-09 08:00:00,14.2,2.7,46.0,,,,0.0,,,,
2019-10-09 09:00:00,12.7,2.5,50.0,,,130.0,9.4,,,,
2019-10-09 10:00:00,14.1,2.6,46.0,,,250.0,5.4,,,,
2019-10-09 11:00:00,11.5,2.5,54.0,,,120.0,5.4,,,,
2019-10-09 12:00:00,11.0,1.5,52.0,,,120.0,7.6,,,,
2019-10-09 13:00:00,10.9,1.7,53.0,,,,0.0,,,,
2019-10-09 14:00:00,10.6,2.7,58.0,,,180.0,11.2,,,,
2019-10-09 15:00:00,11.0,3.8,61.0,,,350.0,11.2,,,,
2019-10-09 16:00:00,13.5,4.9,56.0,,,,0.0,,,,
2019-10-09 17:00:00,,,,,,,,,,,
2019-10-09 18:00:00,18.5,6.0,44.0,,,340.0,16.6,,,,
2019-10-09 19:00:00,19.5,3.6,35.0,,,340.0,16.6,,,,
2019-10-09 20:00:00,20.1,2.4,31.0,,,340.0,18.4,,,,
2019-10-09 21:00:00,20.1,1.5,29.0,,,320.0,20.5,,,,
2019-10-09 22:00:00,21.4,0.0,24.0,,,320.0,24.1,,,,
