time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-01-17 09:00:00,14.5,0.0,37.0,0.0,,38.0,5.8,,1015.8,,
2021-01-17 10:00:00,14.1,0.0,38.0,0.0,,43.0,6.5,,1015.8,,
2021-01-17 11:00:00,13.4,-0.3,39.0,0.0,,41.0,6.1,,1015.8,,
2021-01-17 12:00:00,13.2,-0.1,40.0,0.0,,46.0,5.8,,1015.7,,
2021-01-17 13:00:00,13.1,-0.2,40.0,0.0,,55.0,5.4,,1015.8,,
2021-01-17 14:00:00,11.0,-1.8,41.0,0.0,,56.0,0.0,,1015.9,,
2021-01-17 15:00:00,13.0,-1.0,38.0,0.0,,54.0,0.0,,1016.2,,
2021-01-17 16:00:00,20.0,-1.8,23.0,0.0,,59.0,7.0,,1016.7,,
2021-01-17 17:00:00,22.0,-2.7,19.0,0.0,,101.0,0.0,,1017.2,,
2021-01-17 18:00:00,25.0,-1.8,17.0,0.0,,151.0,0.0,,1017.8,,
2021-01-17 19:00:00,25.2,-2.4,16.0,0.0,,163.0,7.2,,1017.3,,
2021-01-17 20:00:00,27.0,-3.8,13.0,0.0,,290.0,11.0,,1016.0,,
2021-01-17 21:00:00,28.0,-5.2,11.0,0.0,,270.0,15.0,,1015.1,,
2021-01-17 22:00:00,28.0,-5.2,11.0,0.0,,270.0,15.0,,1014.4,,
2021-01-17 23:00:00,27.0,-6.0,11.0,0.0,,260.0,13.0,,1013.9,,
2021-01-18 00:00:00,25.3,2.7,23.0,0.0,,2.0,3.2,,1013.7,,
2021-01-18 01:00:00,21.0,-2.2,21.0,0.0,,352.0,0.0,,1013.6,,
2021-01-18 02:00:00,18.0,-0.8,28.0,0.0,,286.0,0.0,,1013.7,,
2021-01-18 03:00:00,17.0,-0.7,30.0,0.0,,322.0,0.0,,1013.7,,
2021-01-18 04:00:00,17.3,0.9,33.0,0.0,,34.0,3.6,,1013.8,,
2021-01-18 05:00:00,15.6,0.6,36.0,0.0,,42.0,5.8,,1013.9,,
2021-01-18 06:00:00,14.8,0.2,37.0,0.0,,47.0,5.8,,1013.7,,
2021-01-18 07:00:00,14.3,-0.2,37.0,0.0,,50.0,6.5,,1013.9,,
2021-01-18 08:00:00,13.8,-1.0,36.0,0.0,,51.0,7.2,,1013.5,,
2021-01-18 09:00:00,13.4,-1.0,37.0,0.0,,59.0,6.5,,1013.1,,
2021-01-18 10:00:00,12.8,-0.5,40.0,0.0,,53.0,4.3,,1012.9,,
2021-01-18 11:00:00,12.5,-0.4,41.0,0.0,,64.0,5.8,,1012.4,,
2021-01-18 12:00:00,12.2,-1.0,40.0,0.0,,76.0,7.9,,1011.3,,
2021-01-18 13:00:00,12.8,-1.9,36.0,0.0,,75.0,6.1,,1010.9,,
2021-01-18 14:00:00,9.0,-2.9,43.0,0.0,,72.0,0.0,,1010.8,,
2021-01-18 15:00:00,12.0,-1.9,38.0,0.0,,62.0,9.0,,1011.1,,
2021-01-18 16:00:00,14.0,-1.6,34.0,0.0,,66.0,4.7,,1011.1,,
2021-01-18 17:00:00,19.0,-2.0,24.0,0.0,,119.0,0.0,,1011.2,,
2021-01-18 18:00:00,21.0,-2.8,20.0,0.0,,280.0,11.0,,1011.5,,
2021-01-18 19:00:00,23.0,-3.4,17.0,0.0,,260.0,7.0,,1010.6,,
2021-01-18 20:00:00,24.0,-3.4,16.0,0.0,,260.0,19.0,,1009.2,,
2021-01-18 21:00:00,24.0,-3.4,16.0,0.0,,270.0,15.0,,1008.2,,
2021-01-18 22:00:00,24.0,-3.4,16.0,0.0,,260.0,13.0,,1007.5,,
2021-01-18 23:00:00,25.0,-1.8,17.0,0.0,,260.0,13.0,,1007.0,,
2021-01-19 00:00:00,24.7,1.6,22.0,0.0,,342.0,2.2,,1007.0,,
2021-01-19 01:00:00,18.0,0.2,30.0,0.0,,231.0,9.0,,1007.2,,
2021-01-19 02:00:00,20.0,4.1,35.0,0.0,,280.0,11.0,,1007.7,,
2021-01-19 03:00:00,16.0,5.0,48.0,0.0,,3.0,0.0,,1007.4,,
2021-01-19 04:00:00,13.0,6.1,63.0,0.0,,7.0,0.0,,1007.6,,
2021-01-19 05:00:00,13.0,-2.1,35.0,0.0,,15.0,4.3,,1007.9,,5.0
2021-01-19 06:00:00,12.5,-2.6,35.0,0.0,,11.0,2.5,,1008.0,,5.0
2021-01-19 07:00:00,12.0,-2.6,36.0,0.0,,24.0,1.8,,1008.0,,5.0
2021-01-19 08:00:00,11.2,-3.3,36.0,0.0,,22.0,2.5,,1007.4,,5.0
2021-01-19 09:00:00,10.0,-3.7,38.0,0.0,,16.0,2.9,,1007.2,,5.0
2021-01-19 10:00:00,9.6,-3.0,41.0,0.0,,18.0,4.0,,1006.9,,5.0
2021-01-19 11:00:00,11.5,1.4,50.0,0.0,,291.0,5.8,,1007.2,,
2021-01-19 12:00:00,11.6,1.2,49.0,0.0,,251.0,2.5,,1006.5,,
2021-01-19 13:00:00,9.2,0.1,53.0,0.0,,329.0,4.7,,1006.2,,
2021-01-19 14:00:00,9.0,8.1,94.0,0.0,,260.0,11.0,,1005.9,,5.0
2021-01-19 15:00:00,9.0,8.1,94.0,0.0,,27.0,0.0,,1005.7,,5.0
2021-01-19 16:00:00,10.0,8.1,88.0,0.0,,28.0,0.0,,1006.0,,5.0
2021-01-19 17:00:00,12.0,8.1,77.0,0.0,,26.0,0.0,,1006.5,,
2021-01-19 18:00:00,15.0,8.0,63.0,0.0,,190.0,9.0,,1007.3,,
2021-01-19 19:00:00,17.0,-2.1,27.0,0.0,,27.0,0.0,,1007.6,,
2021-01-19 20:00:00,18.0,-6.7,18.0,0.0,,60.0,19.0,,1007.2,,
2021-01-19 21:00:00,18.0,-8.2,16.0,0.0,,50.0,22.0,,1007.1,,
2021-01-19 22:00:00,16.2,-7.5,19.0,0.0,,33.0,35.3,,1007.1,,
2021-01-19 23:00:00,17.0,-3.2,25.0,0.0,,60.0,17.0,,1007.4,,
2021-01-20 00:00:00,15.5,-6.8,21.0,0.0,,37.0,32.0,,1008.3,,
2021-01-20 01:00:00,14.3,-5.0,26.0,0.0,,39.0,29.9,,1010.1,,
2021-01-20 02:00:00,13.9,-3.0,31.0,0.1,,40.0,27.0,,1011.2,,
2021-01-20 03:00:00,15.0,-3.4,28.0,0.3,,34.0,32.8,,1010.5,,7.0
2021-01-20 04:00:00,14.9,-2.5,30.0,0.0,,37.0,29.2,,1011.0,,
2021-01-20 05:00:00,15.4,-1.2,32.0,0.0,,44.0,29.9,,1011.5,,
2021-01-20 06:00:00,15.2,-2.3,30.0,0.0,,41.0,28.4,,1012.2,,
2021-01-20 07:00:00,14.9,-2.5,30.0,0.0,,40.0,25.9,,1012.7,,
2021-01-20 08:00:00,14.6,-2.4,31.0,0.0,,31.0,24.1,,1012.9,,
2021-01-20 09:00:00,14.0,-1.6,34.0,0.0,,30.0,20.9,,1013.3,,
2021-01-20 10:00:00,14.4,-0.1,37.0,0.0,,34.0,22.7,,1013.3,,
