time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-08-15 19:00:00,25.6,14.4,50.0,0.0,,190.0,5.4,,1013.9,,5.0
2021-08-15 20:00:00,26.7,15.1,49.0,0.0,,190.0,14.8,,1013.0,,5.0
2021-08-15 21:00:00,27.2,14.6,46.0,0.0,,190.0,18.4,,1012.3,,5.0
2021-08-15 22:00:00,29.4,14.4,40.0,0.0,,150.0,20.5,,1011.4,,5.0
2021-08-15 23:00:00,28.3,13.8,41.0,0.0,,150.0,14.8,,1010.7,,5.0
2021-08-16 00:00:00,27.8,14.1,43.0,0.0,,160.0,16.6,,1010.0,,5.0
2021-08-16 01:00:00,26.1,13.9,47.0,0.0,,150.0,18.4,,1009.6,,5.0
2021-08-16 02:00:00,23.3,13.2,53.0,0.0,,160.0,13.0,,1009.5,,5.0
2021-08-16 03:00:00,20.6,13.3,63.0,0.0,,150.0,13.0,,1009.7,,5.0
2021-08-16 04:00:00,18.3,12.7,70.0,0.0,,160.0,11.2,,1009.8,,5.0
2021-08-16 05:00:00,16.7,12.8,78.0,0.0,,150.0,13.0,,1010.1,,5.0
2021-08-16 06:00:00,15.6,12.7,83.0,0.0,,160.0,7.6,,1010.2,,5.0
2021-08-16 07:00:00,15.0,12.1,83.0,0.0,,160.0,5.4,,1010.2,,5.0
2021-08-16 08:00:00,14.4,12.3,87.0,0.0,,160.0,7.6,,1010.0,,5.0
2021-08-16 09:00:00,13.9,12.3,90.0,0.0,,180.0,5.4,,1009.9,,5.0
2021-08-16 10:00:00,13.9,12.3,90.0,0.0,,0.0,0.0,,1009.6,,5.0
2021-08-16 11:00:00,12.8,11.7,93.0,0.0,,0.0,0.0,,1009.4,,5.0
2021-08-16 12:00:00,12.8,11.7,93.0,0.0,,180.0,5.4,,1009.4,,5.0
2021-08-16 13:00:00,11.7,11.1,96.0,0.0,,0.0,0.0,,1009.4,,5.0
2021-08-16 14:00:00,11.7,10.6,93.0,0.0,,0.0,0.0,,1009.5,,5.0
2021-08-16 15:00:00,13.3,12.2,93.0,0.0,,0.0,0.0,,1009.6,,5.0
2021-08-16 16:00:00,16.7,12.8,78.0,0.0,,140.0,5.4,,1009.5,,
2021-08-16 17:00:00,20.0,13.2,65.0,0.0,,140.0,5.4,,1009.3,,
2021-08-16 18:00:00,24.4,13.9,52.0,0.0,,170.0,9.4,,1009.0,,
2021-08-16 19:00:00,28.3,14.5,43.0,0.0,,150.0,11.2,,1008.2,,
2021-08-16 20:00:00,31.7,13.9,34.0,0.0,,150.0,13.0,,1007.3,,
2021-08-16 21:00:00,33.3,13.9,31.0,0.0,,150.0,18.4,,1006.5,,5.0
2021-08-16 22:00:00,35.6,13.2,26.0,0.0,,170.0,14.8,,1005.6,,
2021-08-16 23:00:00,37.2,12.6,23.0,0.0,,160.0,16.6,,1004.9,,
2021-08-17 00:00:00,37.2,11.9,22.0,0.0,,140.0,14.8,,1004.3,,
2021-08-17 01:00:00,38.9,7.6,15.0,0.0,,320.0,22.3,,1004.0,,
2021-08-17 02:00:00,35.6,9.2,20.0,0.0,,290.0,13.0,,1004.0,,
2021-08-17 03:00:00,32.2,8.5,23.0,0.0,,320.0,14.8,,1004.4,,
2021-08-17 04:00:00,22.8,11.2,48.0,0.0,,150.0,13.0,,1005.2,,
2021-08-17 05:00:00,18.9,11.2,61.0,0.0,,150.0,11.2,,1005.7,,
2021-08-17 06:00:00,16.7,11.2,70.0,0.0,,150.0,11.2,,1005.9,,
2021-08-17 07:00:00,16.1,11.1,72.0,0.0,,130.0,7.6,,1006.0,,
2021-08-17 08:00:00,15.0,11.2,78.0,0.0,,150.0,5.4,,1006.2,,
2021-08-17 09:00:00,14.4,11.2,81.0,0.0,,160.0,5.4,,1006.3,,
2021-08-17 10:00:00,13.9,11.1,83.0,0.0,,140.0,5.4,,1006.3,,
2021-08-17 11:00:00,13.3,11.2,87.0,0.0,,0.0,0.0,,1006.5,,
2021-08-17 12:00:00,13.3,10.7,84.0,0.0,,0.0,0.0,,1006.8,,
2021-08-17 13:00:00,12.2,10.6,90.0,0.0,,0.0,0.0,,1007.0,,
2021-08-17 14:00:00,12.2,10.6,90.0,0.0,,0.0,0.0,,1007.5,,
2021-08-17 15:00:00,13.3,11.2,87.0,0.0,,0.0,0.0,,1008.0,,
2021-08-17 16:00:00,15.0,11.8,81.0,0.0,,170.0,7.6,,1008.1,,5.0
2021-08-17 17:00:00,18.9,12.2,65.0,0.0,,110.0,7.6,,1008.0,,5.0
2021-08-17 18:00:00,21.7,12.3,55.0,0.0,,170.0,5.4,,1007.9,,5.0
2021-08-17 19:00:00,25.6,12.8,45.0,0.0,,190.0,7.6,,1007.3,,
2021-08-17 20:00:00,29.4,12.8,36.0,0.0,,130.0,13.0,,1006.3,,
2021-08-17 21:00:00,30.6,12.0,32.0,0.0,,170.0,16.6,,1005.3,,
2021-08-17 22:00:00,30.6,11.6,31.0,0.0,,160.0,22.3,,1004.6,,
2021-08-17 23:00:00,29.4,11.0,32.0,0.0,,150.0,25.9,,1003.9,,
2021-08-18 00:00:00,28.9,11.0,33.0,0.0,,180.0,20.5,,1003.6,,
2021-08-18 01:00:00,26.7,10.8,37.0,0.0,,160.0,16.6,,1003.4,,
2021-08-18 02:00:00,24.4,10.7,42.0,0.0,,170.0,16.6,,1003.7,,
2021-08-18 03:00:00,21.1,10.6,51.0,0.0,,170.0,11.2,,1004.5,,
2021-08-18 04:00:00,18.9,9.9,56.0,0.0,,180.0,5.4,,1005.3,,
2021-08-18 05:00:00,17.8,9.9,60.0,0.0,,190.0,7.6,,1005.9,,
2021-08-18 06:00:00,16.7,10.1,65.0,0.0,,190.0,7.6,,1006.4,,
