time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-08 01:00:00,26.1,10.7,38.0,0.0,,320.0,16.6,,1011.6,,
2019-10-08 02:00:00,23.3,10.0,43.0,0.0,,320.0,18.4,,1011.8,,
2019-10-08 03:00:00,21.7,9.2,45.0,0.0,,330.0,14.8,,1012.4,,
2019-10-08 04:00:00,20.0,6.7,42.0,0.0,,320.0,9.4,,1012.7,,
2019-10-08 05:00:00,20.6,8.9,47.0,0.0,,,0.0,,1012.9,,
2019-10-08 06:00:00,19.4,9.0,51.0,0.0,,,0.0,,1013.0,,
2019-10-08 07:00:00,18.9,8.8,52.0,0.0,,170.0,9.4,,1012.8,,
2019-10-08 08:00:00,15.6,7.9,60.0,0.0,,150.0,7.6,,1012.6,,
2019-10-08 09:00:00,15.6,7.1,57.0,0.0,,160.0,5.4,,1012.4,,
2019-10-08 10:00:00,15.0,6.8,58.0,0.0,,170.0,5.4,,1012.1,,
2019-10-08 11:00:00,13.9,6.7,62.0,0.0,,,0.0,,1011.6,,
2019-10-08 12:00:00,14.4,6.0,57.0,0.0,,170.0,7.6,,1011.4,,
2019-10-08 13:00:00,12.8,6.2,64.0,0.0,,170.0,5.4,,1011.2,,
2019-10-08 14:00:00,14.4,6.0,57.0,0.0,,180.0,5.4,,1011.4,,
2019-10-08 15:00:00,14.4,6.7,60.0,0.0,,50.0,0.0,,1011.7,,
2019-10-08 16:00:00,17.2,6.7,50.0,0.0,,,0.0,,1012.1,,
2019-10-08 17:00:00,20.0,6.7,42.0,0.0,,150.0,5.4,,1012.2,,
2019-10-08 18:00:00,22.8,7.4,37.0,0.0,,250.0,0.0,,1012.1,,
2019-10-08 19:00:00,25.6,5.7,28.0,0.0,,280.0,0.0,,1011.8,,
2019-10-08 20:00:00,28.3,5.8,24.0,0.0,,260.0,0.0,,1010.7,,
2019-10-08 21:00:00,30.0,5.3,21.0,0.0,,320.0,7.6,,1010.3,,
2019-10-08 22:00:00,28.9,6.9,25.0,0.0,,330.0,14.8,,1010.0,,
2019-10-08 23:00:00,27.8,11.8,37.0,0.0,,330.0,20.5,,1010.0,,
2019-10-09 00:00:00,26.7,13.4,44.0,0.0,,320.0,16.6,,1009.8,,
2019-10-09 01:00:00,25.0,12.2,45.0,0.0,,310.0,14.8,,1009.6,,
2019-10-09 02:00:00,20.6,12.3,59.0,0.0,,310.0,11.2,,1009.8,,
2019-10-09 03:00:00,19.4,11.7,61.0,0.0,,320.0,11.2,,1010.0,,
2019-10-09 04:00:00,17.2,13.3,78.0,0.0,,310.0,14.8,,1010.3,,
2019-10-09 05:00:00,16.7,13.2,80.0,0.0,,310.0,13.0,,1011.0,,
2019-10-09 06:00:00,16.7,14.0,84.0,0.0,,,0.0,,1011.2,,
2019-10-09 07:00:00,16.7,14.0,84.0,0.0,,,0.0,,1011.5,,
2019-10-09 08:00:00,15.6,14.0,90.0,0.0,,260.0,5.4,,1011.2,,
2019-10-09 09:00:00,15.0,12.9,87.0,0.0,,350.0,7.6,,1011.4,,
2019-10-09 10:00:00,13.9,11.1,83.0,0.0,,310.0,5.4,,1011.5,,
2019-10-09 11:00:00,13.9,9.9,77.0,0.0,,360.0,13.0,,1011.6,,
2019-10-09 12:00:00,13.3,8.4,72.0,0.0,,10.0,11.2,,1011.8,,
2019-10-09 13:00:00,12.8,8.3,74.0,0.0,,360.0,7.6,,1012.0,,
2019-10-09 14:00:00,12.8,8.3,74.0,0.0,,340.0,9.4,,1012.1,,
2019-10-09 15:00:00,12.8,8.9,77.0,0.0,,340.0,7.6,,1012.7,,
2019-10-09 16:00:00,15.0,9.4,69.0,0.0,,330.0,9.4,,1013.3,,
2019-10-09 17:00:00,16.7,9.4,62.0,0.0,,,0.0,,1013.5,,
2019-10-09 18:00:00,18.3,8.8,54.0,0.0,,350.0,11.2,,1013.4,,
2019-10-09 19:00:00,20.6,7.2,42.0,0.0,,330.0,14.8,,1012.8,,
2019-10-09 20:00:00,21.7,6.8,38.0,0.0,,320.0,13.0,,1012.3,,
2019-10-09 21:00:00,22.8,6.5,35.0,0.0,,320.0,24.1,,1011.4,,
2019-10-09 22:00:00,22.8,6.1,34.0,0.0,,330.0,22.3,,1011.0,,
2019-10-09 23:00:00,22.8,5.7,33.0,0.0,,320.0,20.5,,1010.6,,
2019-10-10 00:00:00,22.2,6.0,35.0,0.0,,330.0,22.3,,1010.3,,
2019-10-10 01:00:00,20.0,9.3,50.0,0.0,,320.0,22.3,,1010.7,,
2019-10-10 02:00:00,17.2,9.4,60.0,0.0,,320.0,22.3,,1011.3,,
2019-10-10 03:00:00,16.7,10.1,65.0,0.0,,330.0,22.3,,1011.8,,
