time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 20:00:00,18.9,11.2,61.0,0.0,,0.0,0.0,,1014.8,,
2020-10-23 21:00:00,21.7,11.1,51.0,0.0,,150.0,7.6,,1014.2,,
2020-10-23 22:00:00,22.2,11.0,49.0,0.0,,150.0,16.6,,1013.7,,
2020-10-23 23:00:00,22.2,10.0,46.0,0.0,,170.0,14.8,,1013.4,,
2020-10-24 00:00:00,19.4,11.2,59.0,0.0,,170.0,16.6,,1013.5,,
2020-10-24 01:00:00,17.2,8.9,58.0,0.0,,180.0,11.2,,1013.9,,
2020-10-24 02:00:00,13.9,10.7,81.0,0.0,,150.0,13.0,,1014.1,,
2020-10-24 03:00:00,12.2,9.9,86.0,0.0,,120.0,11.2,,1014.5,,
2020-10-24 04:00:00,11.7,9.9,89.0,0.0,,140.0,7.6,,1014.8,,
2020-10-24 05:00:00,11.1,10.0,93.0,0.0,,0.0,0.0,,1015.1,,
2020-10-24 06:00:00,8.9,8.3,96.0,0.0,,280.0,5.4,,1015.5,,
2020-10-24 07:00:00,8.3,7.9,97.0,0.0,,0.0,0.0,,1015.5,,5.0
2020-10-24 08:00:00,8.3,8.3,100.0,,,160.0,5.4,,,,5.0
2020-10-24 09:00:00,8.9,8.9,100.0,0.0,,0.0,0.0,,1015.5,,5.0
2020-10-24 10:00:00,8.9,8.9,100.0,0.0,,180.0,5.4,,1015.4,,5.0
2020-10-24 11:00:00,9.4,9.4,100.0,0.0,,170.0,5.4,,1015.1,,5.0
2020-10-24 12:00:00,8.9,8.9,100.0,0.0,,0.0,0.0,,1015.3,,5.0
2020-10-24 13:00:00,8.9,8.9,100.0,0.0,,190.0,5.4,,1015.6,,5.0
2020-10-24 14:00:00,8.9,8.9,100.0,0.0,,0.0,0.0,,,,5.0
2020-10-24 15:00:00,9.4,9.4,100.0,0.0,,320.0,5.4,,1015.8,,5.0
2020-10-24 16:00:00,10.0,10.0,100.0,0.0,,0.0,0.0,,1016.3,,5.0
2020-10-24 17:00:00,10.6,10.6,100.0,0.0,,0.0,0.0,,1016.7,,5.0
2020-10-24 18:00:00,12.2,11.1,93.0,0.0,,0.0,0.0,,1016.6,,
2020-10-24 19:00:00,13.9,11.1,83.0,0.0,,170.0,5.4,,1016.0,,
2020-10-24 20:00:00,14.4,11.2,81.0,0.0,,170.0,5.4,,1015.6,,
2020-10-24 21:00:00,15.0,11.2,78.0,0.0,,230.0,7.6,,1014.7,,
2020-10-24 22:00:00,16.7,10.5,67.0,0.0,,180.0,7.6,,1013.8,,
2020-10-24 23:00:00,17.2,10.6,65.0,0.0,,0.0,0.0,,1013.0,,
2020-10-25 00:00:00,17.8,9.9,60.0,0.0,,230.0,11.2,,1012.8,,
2020-10-25 01:00:00,16.1,10.6,70.0,0.0,,230.0,14.8,,1012.4,,
2020-10-25 02:00:00,14.4,11.2,81.0,0.0,,210.0,7.6,,1012.4,,
2020-10-25 03:00:00,13.3,10.7,84.0,0.0,,0.0,0.0,,1012.5,,
2020-10-25 04:00:00,11.7,10.6,93.0,0.0,,0.0,0.0,,1012.6,,
2020-10-25 05:00:00,10.0,9.4,96.0,0.0,,140.0,9.4,,1012.4,,
2020-10-25 06:00:00,12.2,10.6,90.0,0.0,,130.0,7.6,,1013.1,,
2020-10-25 07:00:00,12.8,10.7,87.0,0.0,,140.0,7.6,,1013.1,,
2020-10-25 08:00:00,12.2,9.9,86.0,0.0,,180.0,5.4,,1012.9,,
2020-10-25 09:00:00,12.2,9.4,83.0,0.0,,190.0,5.4,,1012.9,,
2020-10-25 10:00:00,12.2,9.4,83.0,0.0,,0.0,0.0,,1013.1,,
2020-10-25 11:00:00,11.7,9.4,86.0,0.0,,260.0,5.4,,1013.2,,
2020-10-25 12:00:00,11.7,9.4,86.0,0.0,,220.0,5.4,,1013.0,,
2020-10-25 13:00:00,11.7,8.9,83.0,0.0,,270.0,5.4,,1013.1,,
2020-10-25 14:00:00,11.7,8.9,83.0,0.0,,0.0,0.0,,1013.4,,
2020-10-25 15:00:00,11.7,8.9,83.0,0.0,,0.0,0.0,,1013.4,,
2020-10-25 16:00:00,11.7,8.9,83.0,0.0,,0.0,0.0,,1014.2,,
2020-10-25 17:00:00,12.8,9.4,80.0,0.0,,0.0,0.0,,1014.3,,
2020-10-25 18:00:00,13.9,9.3,74.0,0.0,,150.0,5.4,,1014.1,,
2020-10-25 19:00:00,16.7,9.4,62.0,0.0,,0.0,0.0,,1013.9,,
2020-10-25 20:00:00,18.9,9.4,54.0,0.0,,300.0,5.4,,1013.5,,
2020-10-25 21:00:00,20.0,8.3,47.0,0.0,,300.0,5.4,,1012.4,,
2020-10-25 22:00:00,21.7,7.1,39.0,0.0,,320.0,5.4,,1011.7,,
2020-10-25 23:00:00,23.9,2.7,25.0,0.0,,280.0,5.4,,1011.5,,
2020-10-26 00:00:00,23.3,-8.8,11.0,0.0,,20.0,18.4,,1012.0,,
2020-10-26 01:00:00,21.1,-9.4,12.0,0.0,,30.0,22.3,,1012.4,,
2020-10-26 02:00:00,19.4,-14.3,9.0,0.0,,40.0,20.5,,1013.3,,
2020-10-26 03:00:00,18.3,-15.2,9.0,0.0,,30.0,29.5,,1014.4,,
2020-10-26 04:00:00,17.8,-15.6,9.0,0.0,,20.0,31.7,,1014.7,,
2020-10-26 05:00:00,17.8,-17.0,8.0,0.0,,10.0,48.2,,1014.6,,
2020-10-26 06:00:00,16.7,-17.8,8.0,0.0,,360.0,18.4,,1015.4,,
2020-10-26 07:00:00,17.2,-19.0,7.0,0.0,,350.0,27.7,,1016.4,,
2020-10-26 08:00:00,15.6,-17.2,9.0,0.0,,350.0,27.7,,1016.8,,
2020-10-26 09:00:00,15.0,-17.7,9.0,0.0,,350.0,22.3,,1018.0,,
2020-10-26 10:00:00,14.4,-18.1,9.0,0.0,,20.0,5.4,,1017.8,,
2020-10-26 11:00:00,14.4,-16.9,10.0,0.0,,20.0,22.3,,1017.1,,
2020-10-26 12:00:00,14.4,-18.1,9.0,0.0,,20.0,35.3,,1017.1,,
2020-10-26 13:00:00,15.0,-19.1,8.0,0.0,,20.0,35.3,,1017.9,,
2020-10-26 14:00:00,15.0,-19.1,8.0,0.0,,30.0,38.9,,1018.9,,
2020-10-26 15:00:00,15.0,-20.6,7.0,0.0,,20.0,37.1,,1019.4,,
2020-10-26 16:00:00,17.2,-19.0,7.0,0.0,,360.0,16.6,,1020.7,,
2020-10-26 17:00:00,19.4,-21.3,5.0,0.0,,20.0,31.7,,1021.2,,
2020-10-26 18:00:00,21.1,-20.1,5.0,0.0,,20.0,33.5,,1021.1,,
2020-10-26 19:00:00,23.3,-21.1,4.0,0.0,,40.0,35.3,,1020.9,,
2020-10-26 20:00:00,25.0,-19.9,4.0,0.0,,30.0,18.4,,1020.1,,
2020-10-26 21:00:00,25.6,-22.8,3.0,0.0,,50.0,33.5,,1019.6,,
2020-10-26 22:00:00,26.7,-22.1,3.0,0.0,,40.0,16.6,,1018.9,,
2020-10-26 23:00:00,26.1,-22.5,3.0,0.0,,40.0,31.7,,1018.9,,
2020-10-27 00:00:00,26.1,-22.5,3.0,0.0,,40.0,24.1,,1019.0,,
2020-10-27 01:00:00,23.9,-24.0,3.0,0.0,,30.0,27.7,,1018.8,,
2020-10-27 02:00:00,21.1,-22.6,4.0,0.0,,20.0,18.4,,1018.7,,
2020-10-27 03:00:00,21.1,-22.6,4.0,0.0,,20.0,13.0,,1019.2,,
2020-10-27 04:00:00,15.6,-13.8,12.0,0.0,,0.0,5.4,,1019.4,,
2020-10-27 05:00:00,16.1,-12.4,13.0,0.0,,280.0,9.4,,1019.6,,
2020-10-27 06:00:00,15.0,-11.5,15.0,0.0,,230.0,5.4,,1019.6,,
2020-10-27 07:00:00,15.0,-14.2,12.0,0.0,,320.0,7.6,,1019.3,,
2020-10-27 08:00:00,12.8,-10.3,19.0,0.0,,360.0,7.6,,1019.3,,
2020-10-27 09:00:00,12.2,-10.8,19.0,0.0,,340.0,13.0,,1019.0,,
2020-10-27 10:00:00,11.7,-9.3,22.0,0.0,,330.0,13.0,,1018.9,,
2020-10-27 11:00:00,10.6,-8.1,26.0,0.0,,320.0,14.8,,1018.6,,
2020-10-27 12:00:00,10.6,-7.6,27.0,0.0,,310.0,9.4,,1018.4,,
2020-10-27 13:00:00,8.3,-7.1,33.0,0.0,,290.0,5.4,,1018.4,,
2020-10-27 14:00:00,7.8,-5.7,38.0,0.0,,210.0,7.6,,1018.5,,
2020-10-27 15:00:00,7.2,-5.5,40.0,0.0,,0.0,0.0,,1018.5,,
2020-10-27 16:00:00,11.1,-3.8,35.0,0.0,,180.0,9.4,,1019.1,,
2020-10-27 17:00:00,16.1,-5.1,23.0,0.0,,0.0,0.0,,1019.2,,
2020-10-27 18:00:00,20.0,-3.0,21.0,0.0,,170.0,7.6,,1018.7,,
2020-10-27 19:00:00,23.9,-1.9,18.0,0.0,,0.0,0.0,,1018.0,,
2020-10-27 20:00:00,28.3,-2.8,13.0,0.0,,160.0,9.4,,1017.1,,
2020-10-27 21:00:00,28.9,-2.3,13.0,0.0,,160.0,7.6,,1015.8,,
2020-10-27 22:00:00,29.4,0.1,15.0,0.0,,180.0,22.3,,1015.2,,
2020-10-27 23:00:00,26.7,0.4,18.0,0.0,,180.0,20.5,,1015.4,,
2020-10-28 00:00:00,24.4,-0.7,19.0,0.0,,170.0,13.0,,1015.5,,
2020-10-28 01:00:00,21.1,-2.1,21.0,0.0,,160.0,14.8,,1015.7,,
2020-10-28 02:00:00,17.2,-0.1,31.0,0.0,,170.0,14.8,,1016.3,,
2020-10-28 03:00:00,14.4,0.6,39.0,0.0,,130.0,11.2,,1016.8,,
2020-10-28 04:00:00,13.3,0.0,40.0,0.0,,0.0,0.0,,1017.0,,
