time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-12 19:00:00,27.8,5.4,24.0,0.0,,10.0,14.8,,1020.4,,2.0
2020-10-12 20:00:00,29.4,5.5,22.0,0.0,,10.0,14.8,,1019.7,,2.0
2020-10-12 21:00:00,30.0,5.3,21.0,0.0,,50.0,13.0,,1018.7,,2.0
2020-10-12 22:00:00,31.1,4.8,19.0,0.0,,20.0,11.2,,1017.5,,2.0
2020-10-12 23:00:00,31.7,4.5,18.0,0.0,,60.0,7.6,,1016.7,,2.0
2020-10-13 00:00:00,31.1,4.8,19.0,0.0,,50.0,7.6,,1016.3,,2.0
2020-10-13 01:00:00,29.4,4.8,21.0,0.0,,0.0,0.0,,1015.9,,2.0
2020-10-13 02:00:00,23.3,6.1,33.0,0.0,,230.0,5.4,,1015.9,,2.0
2020-10-13 03:00:00,20.0,6.0,40.0,0.0,,0.0,0.0,,1016.4,,1.0
2020-10-13 04:00:00,17.2,6.7,50.0,0.0,,0.0,0.0,,1016.4,,1.0
2020-10-13 05:00:00,16.7,7.3,54.0,0.0,,0.0,0.0,,1016.5,,1.0
2020-10-13 06:00:00,14.4,6.7,60.0,0.0,,0.0,0.0,,1016.7,,1.0
2020-10-13 07:00:00,13.9,6.7,62.0,0.0,,0.0,0.0,,1016.8,,1.0
2020-10-13 08:00:00,14.4,7.2,62.0,0.0,,0.0,0.0,,1016.9,,1.0
2020-10-13 09:00:00,12.8,6.6,66.0,0.0,,0.0,0.0,,1017.0,,1.0
2020-10-13 10:00:00,12.2,6.0,66.0,0.0,,0.0,0.0,,1017.0,,1.0
2020-10-13 11:00:00,11.7,6.2,69.0,0.0,,0.0,0.0,,1017.2,,1.0
2020-10-13 12:00:00,12.2,6.0,66.0,0.0,,350.0,5.4,,1017.7,,1.0
2020-10-13 13:00:00,11.1,6.0,71.0,0.0,,0.0,0.0,,1018.3,,1.0
2020-10-13 14:00:00,11.1,6.0,71.0,0.0,,0.0,0.0,,1018.6,,1.0
2020-10-13 15:00:00,13.3,7.3,67.0,0.0,,0.0,0.0,,1019.2,,1.0
2020-10-13 16:00:00,20.0,7.4,44.0,0.0,,0.0,0.0,,1020.1,,1.0
2020-10-13 17:00:00,23.3,7.8,37.0,0.0,,40.0,7.6,,1020.4,,1.0
2020-10-13 18:00:00,26.7,7.2,29.0,0.0,,40.0,7.6,,1020.2,,1.0
