time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 23:00:00,32.0,2.1,15.0,0.0,,320.0,16.6,,1013.3,,
2019-10-08 00:00:00,31.0,0.4,14.0,0.0,,300.0,20.5,,1013.0,,
2019-10-08 01:00:00,30.0,-1.4,13.0,0.0,,310.0,11.2,,1013.0,,
2019-10-08 02:00:00,24.0,2.8,25.0,0.0,,130.0,11.2,,1012.8,,
2019-10-08 03:00:00,22.0,3.1,29.0,0.0,,130.0,7.6,,1013.4,,
2019-10-08 04:00:00,20.0,4.1,35.0,0.0,,270.0,0.0,,1013.7,,
2019-10-08 05:00:00,18.0,3.8,39.0,0.0,,,0.0,,1013.9,,
2019-10-08 06:00:00,15.0,4.1,48.0,0.0,,,0.0,,1013.5,,
2019-10-08 07:00:00,14.0,4.0,51.0,0.0,,,0.0,,1013.1,,
2019-10-08 08:00:00,13.0,3.9,54.0,0.0,,320.0,0.0,,1012.7,,
2019-10-08 09:00:00,12.0,4.9,62.0,0.0,,10.0,7.6,,1012.7,,
2019-10-08 10:00:00,12.0,4.0,58.0,0.0,,20.0,7.6,,1012.7,,
2019-10-08 11:00:00,11.0,4.0,62.0,0.0,,,0.0,,1012.2,,
2019-10-08 12:00:00,10.0,3.9,66.0,0.0,,200.0,5.4,,1012.1,,
2019-10-08 13:00:00,9.0,4.0,71.0,0.0,,340.0,0.0,,1012.2,,
2019-10-08 14:00:00,9.0,4.0,71.0,0.0,,,0.0,,1012.3,,
2019-10-08 15:00:00,10.0,3.9,66.0,0.0,,,0.0,,1012.6,,
2019-10-08 16:00:00,13.0,3.9,54.0,0.0,,,0.0,,1012.8,,
2019-10-08 17:00:00,17.0,4.0,42.0,0.0,,,0.0,,1012.8,,
2019-10-08 18:00:00,20.0,2.8,32.0,0.0,,130.0,7.6,,1012.8,,
2019-10-08 19:00:00,24.0,2.8,25.0,0.0,,150.0,0.0,,1012.3,,
2019-10-08 20:00:00,28.0,2.2,19.0,0.0,,200.0,0.0,,1011.6,,
2019-10-08 21:00:00,30.0,-0.4,14.0,0.0,,240.0,0.0,,1011.6,,
2019-10-08 22:00:00,32.0,3.0,16.0,0.0,,160.0,7.6,,1011.5,,
2019-10-08 23:00:00,30.0,3.1,18.0,0.0,,150.0,9.4,,1011.7,,
2019-10-09 00:00:00,30.0,2.3,17.0,0.0,,200.0,0.0,,1011.5,,
2019-10-09 01:00:00,25.0,5.2,28.0,0.0,,140.0,16.6,,1011.1,,
2019-10-09 02:00:00,22.0,8.1,41.0,0.0,,130.0,11.2,,1011.2,,
2019-10-09 03:00:00,19.0,10.0,56.0,0.0,,140.0,13.0,,1011.3,,
2019-10-09 04:00:00,17.0,9.9,63.0,0.0,,160.0,7.6,,,,
2019-10-09 05:00:00,15.0,10.0,72.0,0.0,,,0.0,,1011.6,,
2019-10-09 06:00:00,14.0,10.0,77.0,0.0,,,0.0,,,,
2019-10-09 07:00:00,13.0,8.1,72.0,0.0,,350.0,5.4,,1011.9,,
2019-10-09 08:00:00,12.0,6.9,71.0,0.0,,110.0,5.4,,1011.9,,
2019-10-09 09:00:00,12.0,8.1,77.0,0.0,,170.0,5.4,,1011.9,,
2019-10-09 10:00:00,11.0,8.0,82.0,0.0,,,0.0,,1012.0,,
2019-10-09 11:00:00,10.0,7.9,87.0,0.0,,330.0,0.0,,1011.9,,
2019-10-09 12:00:00,9.0,7.9,93.0,0.0,,,0.0,,1012.1,,
2019-10-09 13:00:00,9.0,7.0,87.0,0.0,,90.0,0.0,,1012.1,,
2019-10-09 14:00:00,8.0,6.9,93.0,0.0,,160.0,5.4,,1012.6,,
2019-10-09 15:00:00,13.3,9.4,77.0,0.0,,90.0,9.4,,1012.8,,
2019-10-09 16:00:00,11.0,8.9,87.0,0.0,,90.0,0.0,,1013.5,,
2019-10-09 17:00:00,14.0,8.0,67.0,0.0,,,0.0,,1013.6,,
2019-10-09 18:00:00,18.0,5.9,45.0,0.0,,320.0,11.2,,1013.5,,
2019-10-09 19:00:00,20.0,4.9,37.0,0.0,,320.0,16.6,,1013.0,,
