time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-09-21 18:00:00,24.4,8.4,36.0,0.0,,310.0,9.4,,1015.4,,
2019-09-21 19:00:00,27.2,7.6,29.0,0.0,,300.0,11.2,,1014.8,,
2019-09-21 20:00:00,28.3,8.1,28.0,0.0,,330.0,9.4,,1014.1,,
2019-09-21 21:00:00,29.4,7.9,26.0,0.0,,350.0,14.8,,1013.3,,
2019-09-21 22:00:00,30.0,7.2,24.0,0.0,,,9.4,,1012.5,,
2019-09-21 23:00:00,31.1,6.2,21.0,0.0,,70.0,9.4,,1012.0,,
2019-09-22 00:00:00,30.6,5.8,21.0,0.0,,320.0,7.6,,1011.7,,
2019-09-22 01:00:00,30.6,7.1,23.0,0.0,,10.0,7.6,,1011.4,,
2019-09-22 02:00:00,28.3,8.1,28.0,0.0,,,0.0,,1011.4,,
2019-09-22 03:00:00,22.2,11.0,49.0,0.0,,,0.0,,1011.6,,
2019-09-22 04:00:00,20.0,11.2,57.0,0.0,,,0.0,,1012.1,,
2019-09-22 05:00:00,19.4,11.2,59.0,0.0,,70.0,5.4,,1012.5,,
2019-09-22 06:00:00,17.2,10.1,63.0,0.0,,70.0,7.6,,1012.6,,
2019-09-22 07:00:00,17.2,10.1,63.0,0.0,,,0.0,,1012.7,,
2019-09-22 08:00:00,14.4,10.0,75.0,0.0,,,0.0,,1012.7,,
2019-09-22 09:00:00,15.6,9.9,69.0,0.0,,100.0,5.4,,1012.5,,
2019-09-22 10:00:00,15.6,10.6,72.0,0.0,,,0.0,,1012.5,,
2019-09-22 11:00:00,13.3,9.4,77.0,0.0,,,0.0,,1012.4,,
2019-09-22 12:00:00,13.3,9.9,80.0,0.0,,,0.0,,1012.7,,
2019-09-22 13:00:00,12.8,10.0,83.0,0.0,,,0.0,,1012.8,,
2019-09-22 14:00:00,12.2,9.4,83.0,0.0,,260.0,5.4,,1013.2,,
2019-09-22 15:00:00,16.1,11.7,75.0,0.0,,,0.0,,1013.6,,
2019-09-22 16:00:00,21.1,11.7,55.0,0.0,,,0.0,,1014.0,,
2019-09-22 17:00:00,22.2,12.2,53.0,0.0,,,0.0,,1014.0,,
2019-09-22 18:00:00,25.6,11.0,40.0,0.0,,,7.6,,1013.7,,
2019-09-22 19:00:00,25.6,11.7,42.0,0.0,,240.0,9.4,,1013.3,,
2019-09-22 20:00:00,26.1,11.1,39.0,0.0,,,5.4,,1013.0,,
2019-09-22 21:00:00,27.8,10.9,35.0,0.0,,190.0,11.2,,1012.7,,
2019-09-22 22:00:00,28.9,11.0,33.0,0.0,,90.0,7.6,,1011.6,,
2019-09-22 23:00:00,30.0,10.0,29.0,0.0,,190.0,13.0,,1011.1,,
2019-09-23 00:00:00,30.0,11.0,31.0,0.0,,130.0,13.0,,1010.5,,
2019-09-23 01:00:00,28.9,9.6,30.0,0.0,,150.0,16.6,,1010.2,,
2019-09-23 02:00:00,27.2,10.4,35.0,0.0,,140.0,9.4,,1009.9,,
2019-09-23 03:00:00,25.0,10.1,39.0,0.0,,150.0,9.4,,1010.0,,
2019-09-23 04:00:00,23.9,8.7,38.0,0.0,,150.0,14.8,,1010.4,,
2019-09-23 05:00:00,21.1,11.1,53.0,0.0,,150.0,13.0,,1010.7,,
2019-09-23 06:00:00,20.0,11.7,59.0,0.0,,160.0,16.6,,1010.9,,
2019-09-23 07:00:00,18.3,12.3,68.0,0.0,,170.0,14.8,,1011.0,,
