time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-25 05:00:00,25.0,10.1,39.0,,,50.0,11.2,,,,
2020-09-25 06:00:00,24.0,11.0,44.0,,,0.0,0.0,,,,
2020-09-25 07:00:00,23.0,12.0,50.0,,,150.0,9.4,,,,
2020-09-25 08:00:00,22.0,12.0,53.0,,,180.0,14.8,,,,
2020-09-25 09:00:00,21.0,11.9,56.0,,,170.0,7.6,,,,
2020-09-25 10:00:00,19.0,10.0,56.0,,,120.0,7.6,,,,
2020-09-25 11:00:00,19.0,10.0,56.0,,,120.0,11.2,,,,
2020-09-25 12:00:00,18.0,9.1,56.0,,,120.0,9.4,,,,
2020-09-25 13:00:00,18.0,9.1,56.0,,,130.0,9.4,,,,
2020-09-25 14:00:00,17.0,8.9,59.0,,,150.0,7.6,,,,
2020-09-25 15:00:00,17.0,9.9,63.0,,,140.0,9.4,,,,
2020-09-25 16:00:00,19.0,10.0,56.0,,,160.0,11.2,,,,
2020-09-25 17:00:00,20.0,10.1,53.0,,,185.0,7.6,,,,
2020-09-25 18:00:00,23.0,11.1,47.0,,,,0.0,,,,
2020-09-25 19:00:00,23.0,11.1,47.0,,,0.0,0.0,,,,
2020-09-25 20:00:00,25.0,10.8,41.0,,,0.0,0.0,,,,
2020-09-25 21:00:00,27.0,11.9,39.0,,,,7.6,,,,
2020-09-25 22:00:00,,,,,,,,,,,
2020-09-25 23:00:00,,,,,,,,,,,
2020-09-26 00:00:00,28.0,11.1,35.0,,,,9.0,,,,5.0
2020-09-26 01:00:00,27.0,11.1,37.0,,,,9.0,,,,5.0
2020-09-26 02:00:00,27.0,11.1,37.0,,,,9.4,,,,
2020-09-26 03:00:00,24.0,9.9,41.0,,,,,,,,
2020-09-26 04:00:00,24.0,9.9,41.0,,,100.0,5.4,,,,
2020-09-26 05:00:00,23.0,10.1,44.0,,,50.0,7.6,,,,
2020-09-26 06:00:00,23.0,9.0,41.0,,,70.0,7.6,,,,
2020-09-26 07:00:00,23.0,9.0,41.0,,,50.0,7.6,,,,
2020-09-26 08:00:00,22.0,8.8,43.0,,,0.0,0.0,,,,
2020-09-26 09:00:00,25.0,10.8,41.0,,,340.0,13.0,,,,
2020-09-26 10:00:00,23.0,11.1,47.0,,,,,,,,
2020-09-26 11:00:00,23.0,11.1,47.0,,,330.0,11.2,,,,
2020-09-26 12:00:00,19.0,10.0,56.0,,,110.0,5.4,,,,
2020-09-26 13:00:00,19.0,10.0,56.0,,,0.0,0.0,,,,
2020-09-26 14:00:00,18.0,10.1,60.0,,,0.0,0.0,,,,
2020-09-26 15:00:00,21.0,11.1,53.0,,,,0.0,,,,
2020-09-26 16:00:00,21.0,11.1,53.0,,,0.0,0.0,,,,
2020-09-26 17:00:00,27.0,11.1,37.0,,,300.0,33.0,,,,
2020-09-26 18:00:00,29.0,10.2,31.0,,,310.0,28.0,,,,
2020-09-26 19:00:00,31.0,8.7,25.0,,,300.0,37.0,,,,
2020-09-26 20:00:00,31.0,9.3,26.0,,,300.0,37.1,,,,
2020-09-26 21:00:00,32.0,8.3,23.0,,,300.0,31.7,,,,
2020-09-26 22:00:00,32.0,7.6,22.0,,,310.0,37.0,,,,
2020-09-26 23:00:00,32.0,7.6,22.0,,,310.0,22.0,,,,
2020-09-27 00:00:00,31.0,8.1,24.0,,,290.0,30.0,,,,
2020-09-27 01:00:00,31.0,8.1,24.0,,,290.0,29.5,,,,
2020-09-27 02:00:00,,,,,,,,,,,
2020-09-27 03:00:00,26.0,8.9,34.0,,,,,,,,
2020-09-27 04:00:00,26.0,8.9,34.0,,,320.0,20.5,,,,
2020-09-27 05:00:00,27.0,8.0,30.0,,,310.0,24.1,,,,
2020-09-27 06:00:00,25.0,8.1,34.0,,,320.0,25.9,,,,
2020-09-27 07:00:00,24.0,7.2,34.0,,,320.0,20.5,,,,
2020-09-27 08:00:00,24.0,7.2,34.0,,,320.0,25.9,,,,
2020-09-27 09:00:00,24.0,5.8,31.0,,,330.0,35.3,,,,
2020-09-27 10:00:00,23.0,5.9,33.0,,,330.0,29.5,,,,
2020-09-27 11:00:00,22.0,5.0,33.0,,,320.0,29.5,,,,
2020-09-27 12:00:00,22.0,5.0,33.0,,,320.0,29.5,,,,
2020-09-27 13:00:00,21.0,5.0,35.0,,,320.0,25.9,,,,
2020-09-27 14:00:00,20.0,5.2,38.0,,,360.0,13.0,,,,
2020-09-27 15:00:00,23.0,5.0,31.0,,,300.0,30.0,,,,
2020-09-27 16:00:00,26.0,5.0,26.0,,,300.0,24.0,,,,
2020-09-27 17:00:00,26.0,5.0,26.0,,,300.0,24.1,,,,
2020-09-27 18:00:00,29.0,3.8,20.0,,,320.0,37.1,,,,
2020-09-27 19:00:00,33.0,2.0,14.0,,,310.0,35.0,,,,
2020-09-27 20:00:00,35.0,0.2,11.0,,,300.0,33.0,,,,
2020-09-27 21:00:00,35.0,0.2,11.0,,,300.0,33.5,,,,
2020-09-27 22:00:00,37.0,0.4,10.0,,,290.0,28.0,,,,
2020-09-27 23:00:00,37.0,1.7,11.0,,,290.0,27.7,,,,
2020-09-28 00:00:00,,,,,,,,,,,
2020-09-28 01:00:00,32.0,3.9,17.0,,,230.0,13.0,,,,
2020-09-28 02:00:00,32.0,3.9,17.0,,,230.0,13.0,,,,
2020-09-28 03:00:00,28.0,0.7,17.0,,,,,,,,
2020-09-28 04:00:00,28.0,0.7,17.0,,,250.0,9.4,,,,
2020-09-28 05:00:00,27.0,2.1,20.0,,,0.0,0.0,,,,
2020-09-28 06:00:00,24.0,0.3,21.0,,,0.0,0.0,,,,
2020-09-28 07:00:00,24.0,2.8,25.0,,,0.0,0.0,,,,
2020-09-28 08:00:00,23.0,1.9,25.0,,,0.0,0.0,,,,
2020-09-28 09:00:00,22.0,-0.1,23.0,,,0.0,0.0,,,,
2020-09-28 10:00:00,18.0,0.2,30.0,,,320.0,5.4,,,,
2020-09-28 11:00:00,18.0,3.1,37.0,,,0.0,0.0,,,,
2020-09-28 12:00:00,19.0,-0.9,26.0,,,40.0,5.4,,,,
2020-09-28 13:00:00,18.0,0.2,30.0,,,280.0,7.6,,,,
