time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 18:00:00,27.0,-1.8,15.0,0.0,,160.0,9.4,,1016.8,,
2019-10-24 19:00:00,30.0,-3.7,11.0,0.0,,20.0,9.4,,1016.7,,
2019-10-24 20:00:00,30.0,-2.5,12.0,0.0,,160.0,14.8,,1016.2,,
2019-10-24 21:00:00,32.0,-3.4,10.0,0.0,,140.0,11.2,,1015.6,,
2019-10-24 22:00:00,32.0,-3.4,10.0,0.0,,120.0,14.8,,1015.1,,
2019-10-24 23:00:00,31.0,-5.6,9.0,0.0,,130.0,13.0,,1015.2,,
2019-10-25 00:00:00,31.0,-5.6,9.0,0.0,,140.0,14.8,,1015.2,,
2019-10-25 01:00:00,29.0,-3.3,12.0,,,220.0,7.6,,1015.1,,
2019-10-25 02:00:00,24.0,0.3,21.0,,,200.0,9.4,,1015.5,,
2019-10-25 03:00:00,21.0,1.8,28.0,,,190.0,9.4,,1016.1,,
2019-10-25 04:00:00,18.0,3.1,37.0,,,190.0,9.4,,1016.6,,
2019-10-25 05:00:00,17.0,4.0,42.0,,,170.0,11.2,,1017.3,,
2019-10-25 06:00:00,17.0,4.0,42.0,,,,0.0,,1017.6,,
2019-10-25 07:00:00,13.0,4.9,58.0,,,,0.0,,1017.9,,
2019-10-25 08:00:00,11.0,3.0,58.0,,,10.0,0.0,,1017.8,,
2019-10-25 09:00:00,9.0,-0.1,53.0,0.0,,,0.0,,1017.7,,
2019-10-25 10:00:00,11.0,1.0,50.0,0.0,,,0.0,,1017.8,,
2019-10-25 11:00:00,10.0,1.1,54.0,0.0,,360.0,0.0,,1017.7,,
2019-10-25 12:00:00,11.0,1.0,50.0,0.0,,,0.0,,1017.9,,
2019-10-25 13:00:00,10.0,3.1,62.0,0.0,,,0.0,,1018.1,,
2019-10-25 14:00:00,10.0,1.1,54.0,0.0,,,0.0,,1018.3,,
2019-10-25 15:00:00,9.0,2.1,62.0,0.0,,,0.0,,1018.5,,
2019-10-25 16:00:00,12.0,3.0,54.0,0.0,,,0.0,,1019.0,,
2019-10-25 17:00:00,18.0,3.8,39.0,0.0,,,0.0,,1019.2,,
2019-10-25 18:00:00,22.0,-0.1,23.0,0.0,,250.0,0.0,,1018.9,,
2019-10-25 19:00:00,25.0,-1.0,18.0,0.0,,130.0,7.6,,1018.4,,
2019-10-25 20:00:00,26.0,-1.8,16.0,0.0,,120.0,13.0,,1017.7,,
2019-10-25 21:00:00,28.0,-2.0,14.0,0.0,,120.0,11.2,,1016.9,,
2019-10-25 22:00:00,30.0,-2.5,12.0,0.0,,110.0,7.6,,1016.1,,
2019-10-25 23:00:00,30.0,-2.5,12.0,0.0,,120.0,7.6,,1015.6,,
2019-10-26 00:00:00,30.0,-1.4,13.0,0.0,,220.0,0.0,,1015.0,,
2019-10-26 01:00:00,29.0,-4.4,11.0,,,320.0,13.0,,1014.3,,
2019-10-26 02:00:00,23.0,-1.2,20.0,0.0,,170.0,5.4,,1014.2,,
2019-10-26 03:00:00,20.0,0.9,28.0,0.0,,350.0,9.4,,1014.2,,
2019-10-26 04:00:00,19.0,3.2,35.0,0.0,,,0.0,,1014.1,,
2019-10-26 05:00:00,15.0,3.2,45.0,0.0,,40.0,13.0,,1014.3,,
2019-10-26 06:00:00,16.0,2.0,39.0,0.0,,10.0,0.0,,1014.2,,
2019-10-26 07:00:00,15.0,1.8,41.0,0.0,,,0.0,,1013.9,,
2019-10-26 08:00:00,15.0,3.2,45.0,0.0,,,0.0,,1013.6,,
2019-10-26 09:00:00,14.0,5.1,55.0,0.0,,200.0,9.4,,1013.4,,
2019-10-26 10:00:00,11.0,5.1,67.0,0.0,,,0.0,,1012.9,,
2019-10-26 11:00:00,10.0,3.1,62.0,0.0,,340.0,7.6,,1012.5,,
2019-10-26 12:00:00,7.0,1.1,66.0,0.0,,,0.0,,1012.0,,
2019-10-26 13:00:00,9.0,3.0,66.0,0.0,,,0.0,,1011.8,,
2019-10-26 14:00:00,8.0,3.1,71.0,0.0,,10.0,0.0,,1011.8,,
2019-10-26 15:00:00,4.0,1.0,81.0,0.0,,330.0,9.4,,1011.7,,
2019-10-26 16:00:00,12.0,4.9,62.0,0.0,,,0.0,,1012.0,,
2019-10-26 17:00:00,16.0,5.9,51.0,0.0,,,0.0,,1011.9,,
2019-10-26 18:00:00,21.0,5.0,35.0,0.0,,,0.0,,1011.6,,
2019-10-26 19:00:00,24.0,3.8,27.0,0.0,,,0.0,,1010.6,,
2019-10-26 20:00:00,26.0,5.0,26.0,0.0,,130.0,9.4,,1009.3,,
2019-10-26 21:00:00,28.0,2.2,19.0,0.0,,120.0,11.2,,1008.6,,
2019-10-26 22:00:00,28.0,2.2,19.0,0.0,,120.0,13.0,,1007.7,,
2019-10-26 23:00:00,25.0,5.2,28.0,0.0,,190.0,0.0,,1006.9,,
2019-10-27 00:00:00,26.0,3.3,23.0,0.0,,220.0,0.0,,1006.3,,
2019-10-27 01:00:00,19.4,12.2,63.0,0.0,,230.0,9.4,,1006.1,,
2019-10-27 02:00:00,16.1,9.3,64.0,0.0,,170.0,5.4,,1005.9,,
2019-10-27 03:00:00,13.3,8.4,72.0,,,,0.0,,1005.9,,
2019-10-27 04:00:00,12.2,6.7,69.0,0.0,,,0.0,,1005.8,,
2019-10-27 05:00:00,10.0,6.7,80.0,,,,0.0,,1006.3,,
2019-10-27 06:00:00,9.4,6.7,83.0,0.0,,120.0,9.4,,1006.2,,
2019-10-27 07:00:00,8.9,7.2,89.0,0.0,,90.0,5.4,,1006.4,,
2019-10-27 08:00:00,8.9,6.7,86.0,0.0,,10.0,5.4,,1006.8,,
2019-10-27 09:00:00,15.0,-0.7,34.0,0.0,,360.0,31.7,,1006.0,,
2019-10-27 10:00:00,17.2,-8.1,17.0,0.0,,350.0,38.9,,1006.2,,
2019-10-27 11:00:00,16.7,-9.3,16.0,0.0,,360.0,48.2,,1006.3,,
2019-10-27 12:00:00,15.6,-9.4,17.0,0.0,,10.0,50.0,,1006.9,,
2019-10-27 13:00:00,15.0,-9.9,17.0,0.0,,10.0,42.5,,1007.2,,
2019-10-27 14:00:00,13.9,-10.1,18.0,0.0,,10.0,44.6,,1008.2,,
2019-10-27 15:00:00,13.9,-10.8,17.0,0.0,,340.0,27.7,,1009.5,,
2019-10-27 16:00:00,15.0,-9.9,17.0,0.0,,10.0,61.2,,1008.9,,
2019-10-27 17:00:00,16.7,-9.3,16.0,0.0,,10.0,53.6,,1011.1,,
2019-10-27 18:00:00,17.8,-9.2,15.0,0.0,,30.0,46.4,,1011.2,,
2019-10-27 19:00:00,18.9,-10.2,13.0,0.0,,20.0,48.2,,1012.1,,
2019-10-27 20:00:00,20.6,-9.8,12.0,0.0,,20.0,40.7,,1012.0,,
2019-10-27 21:00:00,20.0,-10.3,12.0,0.0,,20.0,48.2,,1011.7,,
2019-10-27 22:00:00,21.1,-9.4,12.0,0.0,,10.0,42.5,,1011.9,,
2019-10-27 23:00:00,20.6,-9.8,12.0,0.0,,360.0,46.4,,1011.3,,
2019-10-28 00:00:00,20.6,-9.8,12.0,0.0,,10.0,29.5,,1012.1,,
2019-10-28 01:00:00,18.9,-9.2,14.0,0.0,,360.0,35.3,,1012.2,,
2019-10-28 02:00:00,17.2,-8.9,16.0,0.0,,360.0,20.5,,1012.8,,
2019-10-28 03:00:00,17.2,-8.9,16.0,0.0,,360.0,27.7,,1013.3,,
2019-10-28 04:00:00,17.2,-9.7,15.0,0.0,,10.0,38.9,,1012.8,,
2019-10-28 05:00:00,16.7,-9.3,16.0,0.0,,360.0,31.7,,1013.8,,
2019-10-28 06:00:00,15.0,-10.7,16.0,0.0,,,0.0,,1014.9,,
2019-10-28 07:00:00,14.0,-10.7,17.0,0.0,,200.0,13.0,,1014.7,,
2019-10-28 08:00:00,15.0,-11.5,15.0,0.0,,350.0,22.3,,1014.8,,
2019-10-28 09:00:00,13.9,-13.2,14.0,0.0,,30.0,11.2,,1015.5,,
2019-10-28 10:00:00,7.0,-7.1,36.0,0.0,,,0.0,,1016.0,,
2019-10-28 11:00:00,5.0,-6.0,45.0,0.0,,90.0,0.0,,1015.7,,
2019-10-28 12:00:00,5.0,-6.9,42.0,0.0,,120.0,0.0,,1015.9,,
2019-10-28 13:00:00,2.0,-6.1,55.0,0.0,,90.0,0.0,,1016.2,,
2019-10-28 14:00:00,3.0,-4.9,56.0,0.0,,130.0,0.0,,1016.4,,
2019-10-28 15:00:00,2.0,-3.1,69.0,0.0,,160.0,0.0,,1016.9,,
2019-10-28 16:00:00,7.0,-6.0,39.0,0.0,,,0.0,,1017.6,,
2019-10-28 17:00:00,12.0,-5.1,30.0,0.0,,240.0,0.0,,1018.1,,
2019-10-28 18:00:00,16.0,-8.3,18.0,0.0,,210.0,0.0,,1017.9,,
2019-10-28 19:00:00,18.0,-9.1,15.0,0.0,,190.0,0.0,,1017.5,,
2019-10-28 20:00:00,20.0,-10.3,12.0,0.0,,210.0,7.6,,1016.8,,
2019-10-28 21:00:00,21.0,-11.8,10.0,0.0,,240.0,5.4,,1016.2,,
2019-10-28 22:00:00,21.0,-9.5,12.0,0.0,,280.0,14.8,,1015.3,,
2019-10-28 23:00:00,20.0,-9.3,13.0,0.0,,290.0,16.6,,1014.9,,
2019-10-29 00:00:00,17.0,-9.9,15.0,0.0,,270.0,20.5,,1014.8,,
2019-10-29 01:00:00,15.0,-4.9,25.0,0.0,,290.0,16.6,,1014.9,,
2019-10-29 02:00:00,12.0,-1.9,38.0,0.0,,300.0,5.4,,1014.6,,
2019-10-29 03:00:00,12.0,-3.0,35.0,0.0,,310.0,5.4,,1014.8,,
2019-10-29 04:00:00,10.0,1.1,54.0,0.0,,280.0,9.4,,1014.7,,
2019-10-29 05:00:00,8.0,3.1,71.0,0.0,,,0.0,,1015.0,,
2019-10-29 06:00:00,6.0,3.0,81.0,0.0,,,0.0,,1015.0,,
2019-10-29 07:00:00,3.3,-4.4,57.0,,,,0.0,,1014.7,,
2019-10-29 08:00:00,3.3,-4.0,59.0,,,50.0,7.6,,1014.7,,
2019-10-29 09:00:00,2.8,-4.0,61.0,0.0,,,0.0,,1014.4,,
2019-10-29 10:00:00,2.2,-3.3,67.0,0.0,,110.0,5.4,,1014.4,,
2019-10-29 11:00:00,1.7,-3.4,69.0,0.0,,,0.0,,1013.5,,
2019-10-29 12:00:00,2.2,-3.3,67.0,0.0,,,0.0,,1013.4,,
2019-10-29 13:00:00,3.3,-3.3,62.0,0.0,,40.0,5.4,,1013.6,,
2019-10-29 14:00:00,1.7,-2.8,72.0,0.0,,,0.0,,1013.8,,
