time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-12 20:00:00,28.3,7.0,26.0,0.0,,350.0,7.6,,1018.9,,
2020-10-12 21:00:00,29.4,6.7,24.0,0.0,,0.0,0.0,,1017.9,,
2020-10-12 22:00:00,30.6,6.5,22.0,0.0,,0.0,0.0,,1016.7,,
2020-10-12 23:00:00,31.1,5.5,20.0,0.0,,0.0,0.0,,1015.9,,
2020-10-13 00:00:00,31.7,5.3,19.0,0.0,,0.0,0.0,,1015.5,,
2020-10-13 01:00:00,30.6,5.1,20.0,0.0,,150.0,5.4,,1015.3,,
2020-10-13 02:00:00,25.0,6.2,30.0,0.0,,0.0,0.0,,1015.3,,
2020-10-13 03:00:00,22.2,6.8,37.0,0.0,,0.0,0.0,,1016.0,,
2020-10-13 04:00:00,21.1,5.4,36.0,0.0,,0.0,0.0,,1016.1,,
2020-10-13 05:00:00,19.4,5.1,39.0,0.0,,0.0,0.0,,1016.4,,
2020-10-13 06:00:00,18.3,6.2,45.0,0.0,,0.0,0.0,,1016.6,,
2020-10-13 07:00:00,16.7,6.2,50.0,0.0,,0.0,0.0,,1016.8,,
2020-10-13 08:00:00,15.0,6.0,55.0,0.0,,0.0,0.0,,1017.1,,
2020-10-13 09:00:00,14.4,6.0,57.0,0.0,,0.0,0.0,,1017.2,,
2020-10-13 10:00:00,13.3,5.7,60.0,0.0,,0.0,0.0,,1017.3,,
2020-10-13 11:00:00,13.3,7.3,67.0,0.0,,0.0,0.0,,1017.1,,
2020-10-13 12:00:00,13.3,6.2,62.0,0.0,,0.0,0.0,,1017.2,,
2020-10-13 13:00:00,12.2,6.7,69.0,0.0,,0.0,0.0,,1017.8,,
2020-10-13 14:00:00,11.7,5.6,66.0,0.0,,0.0,0.0,,1018.2,,
2020-10-13 15:00:00,13.3,6.6,64.0,0.0,,0.0,0.0,,1018.8,,
2020-10-13 16:00:00,17.8,7.8,52.0,0.0,,0.0,0.0,,1019.5,,
2020-10-13 17:00:00,21.7,8.2,42.0,0.0,,40.0,5.4,,1019.8,,
2020-10-13 18:00:00,25.6,8.1,33.0,0.0,,50.0,5.4,,1019.6,,
2020-10-13 19:00:00,27.2,7.6,29.0,0.0,,0.0,0.0,,1019.2,,
2020-10-13 20:00:00,29.4,8.5,27.0,0.0,,0.0,0.0,,1018.7,,
2020-10-13 21:00:00,30.6,8.3,25.0,0.0,,170.0,9.4,,1017.7,,
2020-10-13 22:00:00,31.7,8.0,23.0,0.0,,70.0,9.4,,1016.9,,
2020-10-13 23:00:00,32.2,9.1,24.0,0.0,,0.0,0.0,,1016.4,,
2020-10-14 00:00:00,32.2,8.5,23.0,0.0,,100.0,7.6,,1016.3,,
2020-10-14 01:00:00,31.1,9.3,26.0,0.0,,280.0,5.4,,1016.0,,
2020-10-14 02:00:00,28.9,5.1,22.0,0.0,,270.0,13.0,,1016.3,,
2020-10-14 03:00:00,27.2,6.0,26.0,0.0,,290.0,9.4,,1016.7,,
2020-10-14 04:00:00,26.7,9.5,34.0,0.0,,310.0,9.4,,1017.5,,
2020-10-14 05:00:00,26.1,9.9,36.0,0.0,,360.0,5.4,,1018.1,,
2020-10-14 06:00:00,25.0,10.5,40.0,0.0,,320.0,7.6,,1018.3,,
2020-10-14 07:00:00,23.3,10.7,45.0,0.0,,10.0,9.4,,1018.7,,
2020-10-14 08:00:00,18.9,8.2,50.0,0.0,,50.0,5.4,,1019.1,,
2020-10-14 09:00:00,17.8,7.2,50.0,0.0,,0.0,0.0,,1019.5,,
2020-10-14 10:00:00,17.2,7.8,54.0,0.0,,0.0,0.0,,1019.8,,
2020-10-14 11:00:00,15.6,7.1,57.0,0.0,,10.0,7.6,,1019.7,,
2020-10-14 12:00:00,16.1,7.8,58.0,0.0,,80.0,9.4,,1019.9,,
2020-10-14 13:00:00,15.0,7.8,62.0,0.0,,0.0,0.0,,1020.3,,
2020-10-14 14:00:00,15.6,8.8,64.0,0.0,,300.0,13.0,,1020.5,,
2020-10-14 15:00:00,17.2,8.9,58.0,0.0,,310.0,11.2,,1020.8,,
