time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 21:00:00,21.7,12.3,55.0,0.0,,320.0,16.6,,1015.1,,1.0
2020-10-23 22:00:00,21.7,11.7,53.0,0.0,,290.0,24.1,,1014.8,,2.0
2020-10-23 23:00:00,21.1,11.7,55.0,0.0,,290.0,24.1,,1014.7,,2.0
2020-10-24 00:00:00,20.0,11.7,59.0,0.0,,290.0,20.5,,1014.5,,2.0
2020-10-24 01:00:00,18.3,11.6,65.0,0.0,,300.0,18.4,,1014.9,,2.0
2020-10-24 02:00:00,17.2,11.7,70.0,0.0,,300.0,14.8,,1015.3,,1.0
2020-10-24 03:00:00,16.7,11.6,72.0,0.0,,320.0,11.2,,1015.6,,1.0
2020-10-24 04:00:00,16.1,11.1,72.0,0.0,,340.0,7.6,,1015.7,,1.0
2020-10-24 05:00:00,15.6,11.2,75.0,0.0,,330.0,7.6,,1016.1,,1.0
2020-10-24 06:00:00,16.1,11.7,75.0,0.0,,310.0,9.4,,1016.3,,1.0
2020-10-24 07:00:00,15.0,11.2,78.0,0.0,,0.0,0.0,,1016.2,,1.0
2020-10-24 08:00:00,13.3,10.7,84.0,0.0,,60.0,5.4,,1016.0,,1.0
2020-10-24 09:00:00,13.3,9.9,80.0,0.0,,40.0,5.4,,1016.0,,1.0
2020-10-24 10:00:00,12.8,10.0,83.0,0.0,,0.0,0.0,,1016.2,,1.0
2020-10-24 11:00:00,12.2,9.4,83.0,0.0,,50.0,5.4,,1016.1,,1.0
2020-10-24 12:00:00,13.3,9.9,80.0,0.0,,60.0,5.4,,1016.1,,1.0
2020-10-24 13:00:00,13.3,9.9,80.0,0.0,,60.0,5.4,,1016.3,,1.0
2020-10-24 14:00:00,15.0,11.2,78.0,0.0,,0.0,0.0,,1016.2,,1.0
2020-10-24 15:00:00,15.6,12.2,80.0,0.0,,330.0,5.4,,1016.2,,5.0
2020-10-24 16:00:00,16.7,12.2,75.0,0.0,,230.0,13.0,,1016.7,,5.0
2020-10-24 17:00:00,17.2,12.1,72.0,0.0,,280.0,14.8,,1017.3,,1.0
2020-10-24 18:00:00,18.3,12.3,68.0,0.0,,0.0,0.0,,1017.0,,2.0
2020-10-24 19:00:00,18.9,12.2,65.0,0.0,,310.0,9.4,,1016.7,,2.0
2020-10-24 20:00:00,20.0,12.3,61.0,0.0,,300.0,11.2,,1015.8,,2.0
