time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-03 23:00:00,25.0,-2.6,16.0,,,130.0,22.3,,,,
2019-10-04 00:00:00,,,,,,,,,,,
2019-10-04 01:00:00,21.0,0.2,25.0,,,110.0,9.0,,,,
2019-10-04 02:00:00,21.0,0.2,25.0,,,110.0,9.4,,,,
2019-10-04 03:00:00,,,,,,,,,,,
2019-10-04 04:00:00,21.0,0.2,25.0,,,,0.0,,,,
2019-10-04 05:00:00,19.0,-5.2,19.0,,,340.0,27.7,,,,
2019-10-04 06:00:00,17.0,-3.2,25.0,,,330.0,22.3,,,,
2019-10-04 07:00:00,15.0,-2.0,31.0,,,350.0,11.2,,,,
2019-10-04 08:00:00,15.0,-2.0,31.0,,,350.0,13.0,,,,
2019-10-04 09:00:00,14.0,-2.0,33.0,,,,0.0,,,,
2019-10-04 10:00:00,14.0,4.0,51.0,,,,0.0,,,,
2019-10-04 11:00:00,12.0,4.0,58.0,,,,0.0,,,,
2019-10-04 12:00:00,11.0,4.0,62.0,,,,0.0,,,,
2019-10-04 13:00:00,10.0,3.9,66.0,,,,0.0,,,,
2019-10-04 14:00:00,10.0,3.9,66.0,,,,0.0,,,,
2019-10-04 15:00:00,10.0,3.9,66.0,,,,0.0,,,,
2019-10-04 16:00:00,,,,,,,,,,,
2019-10-04 17:00:00,18.0,0.2,30.0,,,310.0,26.0,,,,
2019-10-04 18:00:00,,,,,,,,,,,
2019-10-04 19:00:00,20.0,-0.1,26.0,,,310.0,24.1,,,,
2019-10-04 20:00:00,22.0,4.1,31.0,,,290.0,28.0,,,,
2019-10-04 21:00:00,23.0,-5.0,15.0,,,300.0,22.0,,,,
2019-10-04 22:00:00,23.0,-5.0,15.0,,,300.0,22.3,,,,
2019-10-04 23:00:00,,,,,,,,,,,
2019-10-05 00:00:00,23.0,-4.2,16.0,,,290.0,22.3,,,,
2019-10-05 01:00:00,20.0,-3.0,21.0,,,300.0,17.0,,,,
2019-10-05 02:00:00,,,,,,,,,,,
2019-10-05 03:00:00,,,,,,,,,,,
2019-10-05 04:00:00,16.0,-2.0,29.0,,,,0.0,,,,
2019-10-05 05:00:00,15.0,-1.2,33.0,,,,0.0,,,,
2019-10-05 06:00:00,14.0,-0.8,36.0,,,,0.0,,,,
2019-10-05 07:00:00,13.0,0.0,41.0,,,,0.0,,,,
2019-10-05 08:00:00,12.0,0.1,44.0,,,,0.0,,,,
2019-10-05 09:00:00,11.0,0.1,47.0,,,,0.0,,,,
2019-10-05 10:00:00,10.0,0.0,50.0,,,,0.0,,,,
2019-10-05 11:00:00,11.0,1.0,50.0,,,,0.0,,,,
2019-10-05 12:00:00,9.0,-0.1,53.0,,,,0.0,,,,
2019-10-05 13:00:00,10.0,1.1,54.0,,,,0.0,,,,
2019-10-05 14:00:00,10.0,0.0,50.0,,,,0.0,,,,
2019-10-05 15:00:00,12.0,1.0,47.0,,,,0.0,,,,
2019-10-05 16:00:00,14.0,-0.1,38.0,,,310.0,7.6,,,,
2019-10-05 17:00:00,20.0,-1.8,23.0,,,,,,,,
2019-10-05 18:00:00,20.0,-1.8,23.0,,,,0.0,,,,
2019-10-05 19:00:00,22.0,-2.0,20.0,,,280.0,14.8,,,,
2019-10-05 20:00:00,25.0,-3.4,15.0,,,320.0,15.0,,,,
2019-10-05 21:00:00,,,,,,,,,,,
2019-10-05 22:00:00,27.0,-3.8,13.0,,,310.0,7.6,,,,
2019-10-05 23:00:00,28.0,-6.5,10.0,,,300.0,15.0,,,,
2019-10-06 00:00:00,,,,,,,,,,,
2019-10-06 01:00:00,27.0,-4.8,12.0,,,280.0,14.8,,,,
2019-10-06 02:00:00,27.0,-2.8,14.0,,,300.0,9.4,,,,
2019-10-06 03:00:00,,,,,,,,,,,
2019-10-06 04:00:00,20.0,-1.8,23.0,,,50.0,5.4,,,,
2019-10-06 05:00:00,18.0,0.2,30.0,,,,0.0,,,,
2019-10-06 06:00:00,17.0,0.2,32.0,,,,0.0,,,,
2019-10-06 07:00:00,16.0,0.1,34.0,,,,0.0,,,,
2019-10-06 08:00:00,16.0,-1.1,31.0,,,,0.0,,,,
2019-10-06 09:00:00,13.0,0.0,41.0,,,,0.0,,,,
2019-10-06 10:00:00,14.0,-0.1,38.0,,,,0.0,,,,
2019-10-06 11:00:00,13.0,0.0,41.0,,,,0.0,,,,
2019-10-06 12:00:00,12.0,0.1,44.0,,,,0.0,,,,
