time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-06 00:00:00,40.0,7.5,14.0,,,230.0,13.0,,,,
2020-09-06 01:00:00,36.0,16.7,32.0,,,150.0,19.0,,,,
2020-09-06 02:00:00,36.0,17.2,33.0,,,150.0,18.4,,,,
2020-09-06 03:00:00,34.0,15.9,34.0,,,,,,,,
2020-09-06 04:00:00,33.0,17.2,39.0,,,120.0,5.4,,,,
2020-09-06 05:00:00,32.0,13.2,32.0,,,60.0,9.4,,,,
2020-09-06 06:00:00,31.0,12.9,33.0,,,50.0,11.2,,,,
2020-09-06 07:00:00,30.0,12.9,35.0,,,50.0,14.8,,,,
2020-09-06 08:00:00,29.0,12.0,35.0,,,70.0,5.4,,,,
2020-09-06 09:00:00,26.0,13.2,45.0,,,320.0,7.6,,,,
2020-09-06 10:00:00,25.0,12.9,47.0,,,310.0,7.6,,,,
2020-09-06 11:00:00,24.0,14.1,54.0,,,0.0,0.0,,,,
2020-09-06 12:00:00,23.0,12.9,53.0,,,330.0,5.4,,,,
2020-09-06 13:00:00,22.0,13.1,57.0,,,320.0,11.2,,,,
2020-09-06 14:00:00,22.0,12.0,53.0,,,0.0,0.0,,,,
2020-09-06 15:00:00,25.0,10.1,39.0,,,310.0,11.0,,,,
2020-09-06 16:00:00,29.0,9.2,29.0,,,300.0,11.0,,,,
2020-09-06 17:00:00,34.0,7.9,20.0,,,300.0,20.0,,,,
2020-09-06 18:00:00,34.0,7.9,20.0,,,300.0,20.5,,,,
2020-09-06 19:00:00,37.0,7.9,17.0,,,290.0,7.6,,,,
2020-09-06 20:00:00,39.0,7.7,15.0,,,130.0,9.4,,,,
2020-09-06 21:00:00,41.0,8.2,14.0,,,130.0,14.8,,,,
2020-09-06 22:00:00,42.0,11.9,17.0,,,170.0,16.6,,,,
2020-09-06 23:00:00,42.0,9.0,14.0,,,170.0,13.0,,,,
2020-09-07 00:00:00,41.0,10.2,16.0,,,190.0,9.4,,,,
2020-09-07 01:00:00,39.0,14.1,23.0,,,240.0,9.4,,,,
2020-09-07 02:00:00,,,,,,,,,,,
2020-09-07 03:00:00,35.0,7.9,19.0,,,,,,,,
2020-09-07 04:00:00,35.0,7.9,19.0,,,30.0,11.2,,,,
2020-09-07 05:00:00,33.0,7.1,20.0,,,60.0,11.2,,,,
2020-09-07 06:00:00,32.0,6.9,21.0,,,0.0,0.0,,,,
2020-09-07 07:00:00,32.0,6.9,21.0,,,60.0,9.4,,,,
2020-09-07 08:00:00,30.0,7.8,25.0,,,220.0,5.4,,,,
2020-09-07 09:00:00,27.0,8.9,32.0,,,310.0,9.4,,,,
2020-09-07 10:00:00,27.0,8.9,32.0,,,0.0,0.0,,,,
2020-09-07 11:00:00,26.0,8.0,32.0,,,0.0,0.0,,,,
2020-09-07 12:00:00,23.0,12.0,50.0,,,0.0,0.0,,,,
2020-09-07 13:00:00,25.0,8.9,36.0,,,0.0,0.0,,,,
2020-09-07 14:00:00,23.0,10.1,44.0,,,320.0,9.4,,,,
2020-09-07 15:00:00,23.0,12.0,50.0,,,260.0,6.0,,,,
2020-09-07 16:00:00,28.0,9.8,32.0,,,,0.0,,,,
2020-09-07 17:00:00,32.0,8.9,24.0,,,,9.0,,,,
2020-09-07 18:00:00,32.0,8.9,24.0,,,,9.4,,,,
2020-09-07 19:00:00,35.0,8.7,20.0,,,,9.4,,,,
2020-09-07 20:00:00,37.0,9.6,19.0,,,170.0,13.0,,,,
2020-09-07 21:00:00,38.0,9.6,18.0,,,170.0,13.0,,,,
2020-09-07 22:00:00,38.0,10.4,19.0,,,170.0,13.0,,,,
2020-09-07 23:00:00,38.0,7.8,16.0,,,,9.0,,,,
2020-09-08 00:00:00,38.0,7.8,16.0,,,,9.4,,,,
2020-09-08 01:00:00,35.0,10.8,23.0,,,140.0,9.4,,,,
2020-09-08 02:00:00,33.0,15.1,34.0,,,140.0,9.4,,,,
2020-09-08 03:00:00,32.0,10.7,27.0,,,,,,,,
2020-09-08 04:00:00,31.0,11.9,31.0,,,70.0,9.4,,,,
