time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-11-18 09:00:00,13.3,4.4,55.0,,,,0.0,,1015.1,,
2019-11-18 10:00:00,11.7,4.0,59.0,,,120.0,5.4,,1015.3,,
2019-11-18 11:00:00,10.6,4.3,65.0,,,160.0,5.4,,1016.0,,
2019-11-18 12:00:00,11.1,5.0,66.0,,,,0.0,,1016.5,,
2019-11-18 13:00:00,10.6,4.9,68.0,,,10.0,11.2,,1017.2,,
2019-11-18 14:00:00,10.0,4.4,68.0,,,40.0,7.6,,1017.0,,
2019-11-18 15:00:00,8.9,5.1,77.0,,,320.0,0.0,,1017.0,,
2019-11-18 16:00:00,12.2,6.0,66.0,,,10.0,0.0,,1016.8,,
2019-11-18 17:00:00,16.1,7.8,58.0,,,10.0,7.6,,1016.1,,
2019-11-18 18:00:00,17.8,8.4,54.0,,,320.0,0.0,,1015.4,,
2019-11-18 19:00:00,21.1,7.7,42.0,,,330.0,0.0,,1014.5,,
2019-11-18 20:00:00,23.3,7.4,36.0,,,190.0,0.0,,1013.4,,
2019-11-18 21:00:00,24.4,7.1,33.0,,,190.0,7.6,,1012.2,,
2019-11-18 22:00:00,25.0,7.2,32.0,,,160.0,7.6,,1010.9,,
2019-11-18 23:00:00,25.0,5.7,29.0,,,240.0,5.4,,1009.9,,
2019-11-19 00:00:00,24.4,6.2,31.0,,,120.0,0.0,,1009.4,,
2019-11-19 01:00:00,20.6,6.5,40.0,,,120.0,5.4,,1009.3,,
2019-11-19 02:00:00,19.4,6.2,42.0,,,150.0,0.0,,1009.6,,
2019-11-19 03:00:00,17.8,6.0,46.0,,,150.0,9.4,,1009.3,,
2019-11-19 04:00:00,16.7,6.2,50.0,,,190.0,0.0,,1008.7,,
2019-11-19 05:00:00,16.1,6.2,52.0,,,210.0,0.0,,1008.7,,
2019-11-19 06:00:00,15.6,6.1,53.0,,,180.0,9.4,,1008.5,,
2019-11-19 07:00:00,14.4,6.0,57.0,,,90.0,7.6,,1008.2,,
2019-11-19 08:00:00,15.0,6.8,58.0,,,50.0,5.4,,1008.0,,
2019-11-19 09:00:00,13.9,6.7,62.0,0.0,,160.0,0.0,,1007.6,,
2019-11-19 10:00:00,12.2,6.7,69.0,0.0,,300.0,0.0,,1007.6,,
2019-11-19 11:00:00,10.0,5.6,74.0,0.0,,60.0,5.4,,1007.2,,
2019-11-19 12:00:00,10.0,5.6,74.0,0.0,,20.0,9.4,,1007.2,,
2019-11-19 13:00:00,9.4,5.6,77.0,0.0,,290.0,0.0,,1006.7,,
2019-11-19 14:00:00,9.4,5.6,77.0,0.0,,160.0,7.6,,1007.1,,
2019-11-19 15:00:00,7.8,4.4,79.0,0.0,,310.0,11.0,,1007.2,,
2019-11-19 16:00:00,11.1,5.0,66.0,0.0,,310.0,11.2,,1007.6,,
2019-11-19 17:00:00,14.4,5.5,55.0,0.0,,30.0,9.4,,1007.6,,
2019-11-19 18:00:00,17.2,5.2,45.0,0.0,,10.0,5.4,,1007.3,,
2019-11-19 19:00:00,19.4,2.7,33.0,0.0,,330.0,9.4,,1006.6,,
2019-11-19 20:00:00,21.1,2.4,29.0,0.0,,310.0,16.6,,1005.4,,
2019-11-19 21:00:00,21.1,2.4,29.0,0.0,,290.0,18.4,,1004.2,,
2019-11-19 22:00:00,21.7,2.4,28.0,0.0,,300.0,16.6,,1003.5,,
2019-11-19 23:00:00,21.7,2.9,29.0,0.0,,320.0,14.8,,1002.7,,
2019-11-20 00:00:00,20.6,2.9,31.0,0.0,,300.0,14.8,,1002.1,,
2019-11-20 01:00:00,18.9,3.5,36.0,0.0,,310.0,13.0,,1001.8,,
2019-11-20 02:00:00,18.9,1.8,32.0,0.0,,340.0,11.2,,1002.5,,
2019-11-20 03:00:00,17.8,2.1,35.0,0.0,,350.0,25.9,,1003.3,,
2019-11-20 04:00:00,16.7,1.5,36.0,0.0,,340.0,22.3,,1003.8,,
2019-11-20 05:00:00,16.1,1.8,38.0,0.0,,350.0,22.3,,1004.3,,
2019-11-20 06:00:00,15.6,1.7,39.0,0.0,,350.0,22.3,,1004.6,,
2019-11-20 07:00:00,15.0,1.8,41.0,0.0,,350.0,18.4,,1005.1,,
2019-11-20 08:00:00,15.0,1.8,41.0,0.0,,350.0,18.4,,1005.0,,
2019-11-20 09:00:00,14.4,1.6,42.0,0.0,,350.0,18.4,,1005.1,,
2019-11-20 10:00:00,15.0,1.1,39.0,0.0,,360.0,20.5,,1005.1,,
2019-11-20 11:00:00,14.4,0.6,39.0,0.0,,350.0,18.4,,1005.5,,
2019-11-20 12:00:00,15.0,-0.7,34.0,0.0,,360.0,24.1,,1005.8,,
2019-11-20 13:00:00,14.4,-0.5,36.0,0.0,,350.0,20.5,,1005.9,,
2019-11-20 14:00:00,14.4,-1.3,34.0,0.0,,360.0,25.9,,1006.0,,
2019-11-20 15:00:00,15.0,-1.2,33.0,0.0,,360.0,29.5,,1006.0,,
2019-11-20 16:00:00,15.6,-2.4,29.0,0.0,,10.0,35.3,,1006.2,,
2019-11-20 17:00:00,16.7,-2.4,27.0,0.0,,20.0,42.5,,1005.7,,
2019-11-20 18:00:00,17.2,-2.0,27.0,0.0,,30.0,42.5,,1005.4,,
2019-11-20 19:00:00,18.3,-3.2,23.0,0.0,,20.0,38.9,,1005.2,,
2019-11-20 20:00:00,18.9,-3.3,22.0,0.0,,30.0,37.1,,1004.4,,
2019-11-20 21:00:00,19.4,-4.2,20.0,0.0,,40.0,37.1,,1003.4,,
2019-11-20 22:00:00,19.4,-5.6,18.0,0.0,,20.0,42.5,,1002.9,,
2019-11-20 23:00:00,19.4,-4.8,19.0,0.0,,10.0,40.7,,1002.8,,
2019-11-21 00:00:00,18.3,-3.8,22.0,0.0,,20.0,25.9,,1003.5,,
