time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 23:00:00,25.6,3.5,24.0,0.0,,200.0,9.4,,1013.3,,
2019-10-08 00:00:00,23.9,3.2,26.0,0.0,,240.0,7.6,,1013.0,,
2019-10-08 01:00:00,21.1,5.0,35.0,0.0,,250.0,9.4,,1013.0,,
2019-10-08 02:00:00,17.2,8.9,58.0,0.0,,,0.0,,1012.8,,
2019-10-08 03:00:00,16.1,11.1,72.0,0.0,,,0.0,,1013.4,,
2019-10-08 04:00:00,14.4,7.2,62.0,0.0,,270.0,5.4,,1013.7,,
2019-10-08 05:00:00,13.9,7.2,64.0,0.0,,,0.0,,1013.9,,
2019-10-08 06:00:00,13.3,6.6,64.0,0.0,,,0.0,,1013.5,,
2019-10-08 07:00:00,13.3,6.2,62.0,0.0,,,0.0,,1013.1,,
2019-10-08 08:00:00,13.9,5.5,57.0,0.0,,320.0,7.6,,1012.7,,
2019-10-08 09:00:00,13.3,5.0,57.0,0.0,,330.0,5.4,,1012.7,,
2019-10-08 10:00:00,10.0,4.4,68.0,0.0,,,0.0,,1012.7,,
2019-10-08 11:00:00,10.0,4.4,68.0,0.0,,,0.0,,1012.2,,
2019-10-08 12:00:00,11.1,4.3,63.0,0.0,,340.0,5.4,,1012.1,,
2019-10-08 13:00:00,11.1,4.3,63.0,0.0,,340.0,7.6,,1012.2,,
2019-10-08 14:00:00,10.0,4.4,68.0,0.0,,,0.0,,1012.3,,
2019-10-08 15:00:00,12.2,4.9,61.0,0.0,,,0.0,,1012.6,,
2019-10-08 16:00:00,15.6,6.1,53.0,0.0,,,0.0,,1012.8,,
2019-10-08 17:00:00,19.4,5.1,39.0,0.0,,,0.0,,1012.8,,
2019-10-08 18:00:00,21.7,5.6,35.0,0.0,,190.0,5.4,,1012.8,,
2019-10-08 19:00:00,25.0,4.2,26.0,0.0,,150.0,5.4,,1012.3,,
2019-10-08 20:00:00,27.2,4.9,24.0,0.0,,200.0,9.4,,1011.6,,
2019-10-08 21:00:00,23.3,8.2,38.0,0.0,,240.0,14.8,,1011.6,,
2019-10-08 22:00:00,23.9,7.9,36.0,0.0,,260.0,11.2,,1011.5,,
2019-10-08 23:00:00,22.2,9.4,44.0,0.0,,210.0,11.2,,1011.7,,
2019-10-09 00:00:00,20.0,13.2,65.0,0.0,,200.0,14.8,,1011.5,,
2019-10-09 01:00:00,18.3,13.4,73.0,0.0,,190.0,9.4,,1011.1,,
2019-10-09 02:00:00,15.6,13.3,86.0,0.0,,190.0,9.4,,1011.2,,
2019-10-09 03:00:00,15.0,13.4,90.0,0.0,,180.0,5.4,,1011.3,,
2019-10-09 04:00:00,14.4,13.3,93.0,0.0,,180.0,9.4,,,,
2019-10-09 05:00:00,14.4,13.3,93.0,0.0,,,0.0,,1011.6,,
2019-10-09 06:00:00,13.9,12.8,93.0,0.0,,,5.4,,,,
2019-10-09 07:00:00,13.3,12.8,97.0,0.0,,100.0,11.2,,1011.9,,
2019-10-09 08:00:00,13.9,12.8,93.0,0.0,,90.0,7.6,,1011.9,,
2019-10-09 09:00:00,13.9,12.8,93.0,0.0,,60.0,5.4,,1011.9,,
2019-10-09 10:00:00,13.9,12.1,89.0,0.0,,,0.0,,1012.0,,
2019-10-09 11:00:00,12.8,11.7,93.0,0.0,,330.0,5.4,,1011.9,,
