time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 01:00:00,29.7,3.6,19.0,0.0,,70.0,9.4,,1015.2,,2.0
2019-10-07 02:00:00,23.2,3.7,28.0,0.0,,120.0,7.6,,1015.2,,2.0
2019-10-07 03:00:00,17.9,1.4,33.0,0.0,,290.0,0.0,,1015.6,,2.0
2019-10-07 04:00:00,16.2,2.9,41.0,0.0,,290.0,7.6,,1015.9,,2.0
2019-10-07 05:00:00,15.5,2.6,42.0,0.0,,250.0,7.6,,1016.2,,1.0
2019-10-07 06:00:00,13.7,2.0,45.0,0.0,,290.0,5.4,,1015.9,,1.0
2019-10-07 07:00:00,12.8,2.9,51.0,0.0,,200.0,5.4,,1015.9,,2.0
2019-10-07 08:00:00,13.9,3.9,51.0,0.0,,50.0,0.0,,1015.9,,2.0
2019-10-07 09:00:00,12.5,4.5,58.0,0.0,,25.0,0.0,,1016.2,,2.0
2019-10-07 10:00:00,10.3,2.4,58.0,0.0,,36.0,0.0,,1015.9,,2.0
2019-10-07 11:00:00,10.7,3.5,61.0,0.0,,45.0,0.0,,1015.5,,2.0
2019-10-07 12:00:00,10.3,3.6,63.0,0.0,,85.0,0.0,,1015.5,,2.0
2019-10-07 13:00:00,10.2,2.5,59.0,0.0,,69.0,0.0,,1015.9,,2.0
2019-10-07 14:00:00,9.3,2.6,63.0,0.0,,112.0,0.0,,1016.2,,1.0
2019-10-07 15:00:00,12.2,5.6,64.0,0.0,,114.0,0.0,,1016.2,,1.0
2019-10-07 16:00:00,20.7,6.2,39.0,0.0,,118.0,0.0,,1016.9,,1.0
2019-10-07 17:00:00,22.4,3.5,29.0,0.0,,10.0,14.8,,1016.9,,5.0
2019-10-07 18:00:00,23.9,4.3,28.0,0.0,,30.0,16.6,,1016.5,,1.0
2019-10-07 19:00:00,27.3,5.6,25.0,0.0,,40.0,13.0,,1016.2,,1.0
2019-10-07 20:00:00,29.8,4.4,20.0,0.0,,50.0,14.8,,1015.5,,1.0
2019-10-07 21:00:00,31.7,3.7,17.0,0.0,,50.0,13.0,,1014.2,,1.0
2019-10-07 22:00:00,33.0,2.9,15.0,0.0,,30.0,7.6,,1013.5,,2.0
2019-10-07 23:00:00,34.2,4.8,16.0,0.0,,262.0,0.0,,1013.1,,2.0
2019-10-08 00:00:00,34.2,2.9,14.0,0.0,,266.0,0.0,,1012.5,,2.0
2019-10-08 01:00:00,32.1,4.0,17.0,0.0,,130.0,0.0,,1011.8,,2.0
2019-10-08 02:00:00,25.2,4.3,26.0,0.0,,240.0,9.4,,1012.2,,1.0
2019-10-08 03:00:00,20.0,4.5,36.0,0.0,,230.0,14.8,,1011.8,,1.0
2019-10-08 04:00:00,17.3,4.6,43.0,0.0,,250.0,14.8,,1012.5,,1.0
2019-10-08 05:00:00,17.1,4.4,43.0,0.0,,230.0,14.8,,1012.1,,1.0
2019-10-08 06:00:00,15.8,3.2,43.0,0.0,,230.0,14.8,,1012.5,,1.0
2019-10-08 07:00:00,16.1,3.8,44.0,0.0,,240.0,13.0,,1012.5,,1.0
2019-10-08 08:00:00,14.3,4.0,50.0,0.0,,72.0,0.0,,1012.1,,1.0
2019-10-08 09:00:00,13.6,4.2,53.0,0.0,,82.0,0.0,,1012.5,,1.0
2019-10-08 10:00:00,12.9,5.1,59.0,0.0,,200.0,9.4,,1012.1,,1.0
2019-10-08 11:00:00,10.8,4.3,64.0,0.0,,330.0,7.6,,1011.8,,1.0
2019-10-08 12:00:00,8.7,2.5,65.0,0.0,,78.0,0.0,,1011.8,,2.0
2019-10-08 13:00:00,8.5,2.9,68.0,0.0,,93.0,0.0,,1011.8,,1.0
2019-10-08 14:00:00,7.9,2.6,69.0,0.0,,260.0,0.0,,1011.8,,1.0
2019-10-08 15:00:00,11.4,5.7,68.0,0.0,,97.0,0.0,,1012.2,,2.0
2019-10-08 16:00:00,19.9,7.3,44.0,0.0,,136.0,0.0,,1012.5,,2.0
2019-10-08 17:00:00,22.8,6.1,34.0,0.0,,360.0,5.4,,1012.8,,2.0
2019-10-08 18:00:00,26.5,8.0,31.0,0.0,,145.0,0.0,,1012.5,,2.0
2019-10-08 19:00:00,29.5,5.6,22.0,0.0,,145.0,0.0,,1012.1,,2.0
2019-10-08 20:00:00,31.7,6.7,21.0,0.0,,210.0,7.6,,1011.1,,3.0
2019-10-08 21:00:00,31.6,4.4,18.0,0.0,,240.0,16.6,,1010.4,,2.0
2019-10-08 22:00:00,32.3,1.4,14.0,0.0,,230.0,29.5,,1009.8,,2.0
2019-10-08 23:00:00,29.3,6.6,24.0,0.0,,230.0,29.5,,1009.4,,2.0
2019-10-09 00:00:00,28.6,7.2,26.0,0.0,,210.0,22.3,,1009.1,,2.0
2019-10-09 01:00:00,27.3,6.7,27.0,0.0,,240.0,27.7,,1008.8,,3.0
2019-10-09 02:00:00,23.3,7.0,35.0,0.0,,220.0,14.8,,1008.8,,2.0
2019-10-09 03:00:00,20.5,7.1,42.0,0.0,,220.0,24.1,,1008.8,,2.0
2019-10-09 04:00:00,18.9,9.1,53.0,0.0,,210.0,27.7,,1008.8,,2.0
2019-10-09 05:00:00,17.6,10.7,64.0,0.0,,210.0,27.7,,1009.1,,1.0
2019-10-09 06:00:00,16.8,10.9,68.0,0.0,,200.0,18.4,,1009.1,,1.0
2019-10-09 07:00:00,16.6,10.7,68.0,0.0,,160.0,13.0,,1009.1,,1.0
2019-10-09 08:00:00,16.7,9.9,64.0,0.0,,230.0,24.1,,1008.7,,1.0
2019-10-09 09:00:00,16.3,8.3,59.0,0.0,,230.0,25.9,,1009.1,,1.0
2019-10-09 10:00:00,13.7,7.2,65.0,0.0,,220.0,22.3,,1009.8,,1.0
2019-10-09 11:00:00,12.4,7.1,70.0,0.0,,220.0,20.5,,1010.4,,1.0
2019-10-09 12:00:00,10.7,5.9,72.0,0.0,,200.0,14.8,,1011.1,,1.0
2019-10-09 13:00:00,9.6,5.4,75.0,0.0,,240.0,14.8,,1011.5,,1.0
2019-10-09 14:00:00,9.2,4.8,74.0,0.0,,230.0,14.8,,1012.5,,1.0
2019-10-09 15:00:00,10.2,5.4,72.0,0.0,,220.0,5.4,,1013.2,,1.0
2019-10-09 16:00:00,15.8,4.8,48.0,0.0,,20.0,0.0,,1013.8,,1.0
2019-10-09 17:00:00,20.9,-2.9,20.0,0.0,,360.0,20.5,,1014.2,,1.0
2019-10-09 18:00:00,21.9,-6.8,14.0,0.0,,340.0,24.1,,1013.8,,1.0
2019-10-09 19:00:00,23.3,-8.8,11.0,0.0,,20.0,24.1,,1013.5,,1.0
2019-10-09 20:00:00,24.3,-9.3,10.0,0.0,,10.0,25.9,,1013.2,,2.0
2019-10-09 21:00:00,24.8,-10.2,9.0,0.0,,10.0,29.5,,1012.5,,2.0
2019-10-09 22:00:00,25.5,-11.2,8.0,0.0,,30.0,33.5,,1012.1,,2.0
2019-10-09 23:00:00,25.6,-11.1,8.0,0.0,,360.0,25.9,,1011.8,,2.0
2019-10-10 00:00:00,25.3,-9.9,9.0,0.0,,10.0,20.5,,1011.5,,2.0
2019-10-10 01:00:00,23.4,-8.8,11.0,0.0,,360.0,22.3,,1011.5,,2.0
2019-10-10 02:00:00,20.3,-11.2,11.0,0.0,,360.0,16.6,,1012.2,,1.0
2019-10-10 03:00:00,19.6,-11.7,11.0,0.0,,350.0,20.5,,1012.2,,1.0
