time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-09 12:00:00,18.9,5.7,42.0,0.0,,360.0,11.2,,1013.1,,
2021-10-09 13:00:00,17.2,6.1,48.0,0.0,,10.0,7.6,,1013.5,,
2021-10-09 14:00:00,17.8,8.4,54.0,0.0,,330.0,16.6,,1013.4,,
2021-10-09 15:00:00,18.3,6.8,47.0,0.0,,330.0,16.6,,1014.3,,
2021-10-09 16:00:00,20.6,8.3,45.0,0.0,,330.0,16.6,,1014.7,,
2021-10-09 17:00:00,22.2,9.4,44.0,0.0,,330.0,18.4,,1014.6,,
2021-10-09 18:00:00,25.0,7.2,32.0,0.0,,350.0,18.4,,1014.3,,
2021-10-09 19:00:00,26.1,7.2,30.0,0.0,,10.0,11.2,,1013.8,,
2021-10-09 20:00:00,27.8,3.5,21.0,0.0,,0.0,0.0,,1012.9,,
2021-10-09 21:00:00,28.9,1.4,17.0,0.0,,60.0,13.0,,1011.9,,
2021-10-09 22:00:00,30.0,-0.4,14.0,0.0,,30.0,11.2,,1011.3,,
2021-10-09 23:00:00,30.0,-0.4,14.0,0.0,,30.0,9.4,,1011.0,,
2021-10-10 00:00:00,29.4,-0.9,14.0,0.0,,330.0,7.6,,1010.9,,
2021-10-10 01:00:00,28.3,-0.8,15.0,0.0,,350.0,7.6,,1010.9,,
2021-10-10 02:00:00,25.6,1.0,20.0,0.0,,330.0,5.4,,1011.2,,
2021-10-10 03:00:00,24.4,3.1,25.0,0.0,,340.0,13.0,,1012.0,,
2021-10-10 04:00:00,24.4,5.7,30.0,0.0,,320.0,14.8,,1012.8,,
2021-10-10 05:00:00,22.2,7.2,38.0,0.0,,310.0,9.4,,1012.9,,
2021-10-10 06:00:00,19.4,6.8,44.0,0.0,,300.0,11.2,,1013.1,,
2021-10-10 07:00:00,21.1,5.0,35.0,0.0,,320.0,11.2,,1013.5,,
2021-10-10 08:00:00,17.2,6.1,48.0,0.0,,280.0,5.4,,1013.6,,
2021-10-10 09:00:00,17.2,5.2,45.0,0.0,,290.0,11.2,,1013.6,,
2021-10-10 10:00:00,16.7,5.6,48.0,0.0,,300.0,9.4,,1013.5,,
2021-10-10 11:00:00,18.3,3.4,37.0,0.0,,300.0,13.0,,1013.4,,
2021-10-10 12:00:00,17.2,5.2,45.0,0.0,,280.0,5.4,,1013.6,,
2021-10-10 13:00:00,15.6,4.3,47.0,0.0,,310.0,9.4,,1014.3,,
2021-10-10 14:00:00,13.9,4.5,53.0,0.0,,270.0,5.4,,1014.7,,
2021-10-10 15:00:00,17.2,6.1,48.0,0.0,,0.0,0.0,,1015.3,,
2021-10-10 16:00:00,21.7,8.9,44.0,0.0,,0.0,0.0,,1015.7,,
2021-10-10 17:00:00,26.7,1.2,19.0,0.0,,360.0,9.4,,1015.8,,
2021-10-10 18:00:00,28.3,-1.8,14.0,0.0,,20.0,18.4,,1015.5,,
2021-10-10 19:00:00,28.9,-1.3,14.0,0.0,,350.0,16.6,,1015.0,,
2021-10-10 20:00:00,29.4,-0.9,14.0,0.0,,320.0,14.8,,1013.8,,
2021-10-10 21:00:00,29.4,-0.9,14.0,0.0,,30.0,7.6,,1012.6,,
2021-10-10 22:00:00,29.4,-0.9,14.0,0.0,,0.0,0.0,,1011.6,,
2021-10-10 23:00:00,29.4,-0.9,14.0,0.0,,290.0,7.6,,1010.9,,
2021-10-11 00:00:00,29.4,-0.9,14.0,0.0,,230.0,7.6,,1010.1,,
2021-10-11 01:00:00,30.0,-1.4,13.0,0.0,,0.0,0.0,,1009.6,,
2021-10-11 02:00:00,26.7,-0.4,17.0,0.0,,0.0,0.0,,1009.4,,
2021-10-11 03:00:00,23.9,2.1,24.0,0.0,,200.0,5.4,,1009.6,,
2021-10-11 04:00:00,22.2,2.8,28.0,0.0,,210.0,5.4,,1009.6,,
2021-10-11 05:00:00,21.1,2.8,30.0,0.0,,210.0,5.4,,1009.4,,
2021-10-11 06:00:00,18.9,2.7,34.0,0.0,,260.0,11.2,,1009.3,,
2021-10-11 07:00:00,21.1,1.9,28.0,0.0,,250.0,16.6,,1008.9,,
2021-10-11 08:00:00,19.4,2.3,32.0,0.0,,260.0,11.2,,1008.3,,
2021-10-11 09:00:00,18.3,1.7,33.0,0.0,,240.0,9.4,,1008.0,,
2021-10-11 10:00:00,17.8,0.4,31.0,0.0,,290.0,14.8,,1007.4,,
2021-10-11 11:00:00,17.2,0.8,33.0,0.0,,270.0,11.2,,1006.7,,
2021-10-11 12:00:00,17.8,-0.5,29.0,0.0,,270.0,9.4,,1006.3,,
2021-10-11 13:00:00,17.2,-0.5,30.0,0.0,,220.0,11.2,,1005.9,,
2021-10-11 14:00:00,18.9,-0.5,27.0,0.0,,240.0,16.6,,1006.0,,
2021-10-11 15:00:00,21.1,2.4,29.0,0.0,,250.0,18.4,,1005.8,,
2021-10-11 16:00:00,25.0,-0.2,19.0,0.0,,250.0,20.5,,1005.6,,
2021-10-11 17:00:00,27.2,-2.6,14.0,0.0,,200.0,16.6,,1004.8,,
2021-10-11 18:00:00,29.4,-3.0,12.0,0.0,,260.0,13.0,,1004.1,,
2021-10-11 19:00:00,30.6,-5.9,9.0,0.0,,240.0,18.4,,1003.1,,
2021-10-11 20:00:00,32.2,-8.0,7.0,0.0,,240.0,33.5,,1001.6,,
2021-10-11 21:00:00,31.7,-3.7,10.0,0.0,,240.0,46.4,,1000.0,,
2021-10-11 22:00:00,30.0,3.1,18.0,0.0,,250.0,46.4,,999.1,,
2021-10-11 23:00:00,27.8,4.8,23.0,0.0,,250.0,53.6,,999.4,,
2021-10-12 00:00:00,26.1,4.0,24.0,0.0,,240.0,48.2,,998.5,,5.0
2021-10-12 01:00:00,22.2,4.3,31.0,0.0,,260.0,48.2,,998.7,,
2021-10-12 02:00:00,20.0,6.0,40.0,0.0,,260.0,44.6,,1000.2,,
2021-10-12 03:00:00,18.9,6.0,43.0,0.0,,260.0,20.5,,1001.9,,
2021-10-12 04:00:00,18.3,5.2,42.0,0.0,,260.0,35.3,,1002.9,,
2021-10-12 05:00:00,17.2,5.2,45.0,0.0,,260.0,14.8,,1004.1,,
2021-10-12 06:00:00,17.8,5.1,43.0,0.0,,240.0,18.4,,1004.9,,
2021-10-12 07:00:00,17.2,5.5,46.0,0.0,,270.0,18.4,,1005.2,,
2021-10-12 08:00:00,15.6,2.4,41.0,0.0,,280.0,16.6,,1005.6,,
2021-10-12 09:00:00,16.1,1.0,36.0,0.0,,260.0,20.5,,1006.2,,
2021-10-12 10:00:00,15.6,-1.5,31.0,0.0,,270.0,25.9,,1006.7,,
2021-10-12 11:00:00,15.6,-2.9,28.0,0.0,,280.0,16.6,,1007.3,,
2021-10-12 12:00:00,14.4,-3.9,28.0,0.0,,280.0,16.6,,1008.0,,
