time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-25 01:00:00,11.7,-10.6,20.0,,,270.0,5.4,,1028.8,,
2019-10-25 02:00:00,8.9,-11.1,23.0,,,270.0,5.4,,1030.3,,
2019-10-25 03:00:00,7.8,-11.0,25.0,,,300.0,7.6,,1031.6,,
2019-10-25 04:00:00,4.4,-11.7,30.0,,,,0.0,,1032.6,,
2019-10-25 05:00:00,3.3,-12.2,31.0,,,,0.0,,1032.0,,
2019-10-25 06:00:00,1.1,-12.7,35.0,,,,0.0,,1031.2,,
2019-10-25 07:00:00,-1.1,-13.3,39.0,,,,0.0,,1030.1,,
2019-10-25 08:00:00,-1.1,-12.7,41.0,,,,0.0,,1029.1,,
2019-10-25 09:00:00,-2.2,-13.4,42.0,,,,0.0,,1028.6,,
2019-10-25 10:00:00,-2.8,-12.3,48.0,,,,0.0,,1028.3,,
2019-10-25 11:00:00,-2.8,-12.8,46.0,,,,0.0,,1028.0,,
2019-10-25 12:00:00,-3.3,-13.3,46.0,,,,0.0,,1028.5,,
2019-10-25 13:00:00,-3.3,-12.8,48.0,,,,0.0,,1028.7,,
2019-10-25 14:00:00,-3.9,-12.8,50.0,,,,0.0,,1029.3,,
2019-10-25 15:00:00,-3.3,-12.3,50.0,,,,0.0,,1029.6,,
2019-10-25 16:00:00,0.6,-11.2,41.0,,,,0.0,,1029.3,,
2019-10-25 17:00:00,7.2,-10.6,27.0,,,,0.0,,1027.2,,
2019-10-25 18:00:00,14.4,-10.4,17.0,,,,0.0,,1025.0,,
2019-10-25 19:00:00,20.0,-11.4,11.0,,,,0.0,,1023.2,,
2019-10-25 20:00:00,23.9,-12.4,8.0,,,,5.4,,1018.8,,
2019-10-25 21:00:00,,,,,,230.0,18.4,,1018.2,,
2019-10-25 22:00:00,,,,,,250.0,20.5,,1018.1,,
2019-10-25 23:00:00,23.9,-8.4,11.0,,,240.0,18.4,,1018.3,,
2019-10-26 00:00:00,22.2,-7.5,13.0,,,250.0,13.0,,1020.7,,
2019-10-26 01:00:00,17.8,-7.6,17.0,,,,0.0,,1021.9,,
2019-10-26 02:00:00,13.9,-6.9,23.0,,,,9.4,,1023.2,,
2019-10-26 03:00:00,11.7,-8.2,24.0,,,,0.0,,1023.5,,
2019-10-26 04:00:00,8.3,-9.6,27.0,,,,0.0,,1023.6,,
2019-10-26 05:00:00,5.0,-10.0,33.0,,,60.0,5.4,,1022.8,,
2019-10-26 06:00:00,3.9,-10.6,34.0,,,,0.0,,1021.2,,
2019-10-26 07:00:00,2.2,-11.7,35.0,,,,0.0,,1018.0,,
2019-10-26 08:00:00,0.0,-12.3,39.0,,,,0.0,,1017.0,,
2019-10-26 09:00:00,-1.1,-11.0,47.0,,,,0.0,,1016.5,,
2019-10-26 10:00:00,-0.6,-11.1,45.0,,,,0.0,,1016.2,,
2019-10-26 11:00:00,-2.2,-12.3,46.0,,,,0.0,,1016.0,,
2019-10-26 12:00:00,-2.2,-12.3,46.0,,,,0.0,,1015.6,,
2019-10-26 13:00:00,-3.3,-12.8,48.0,,,,0.0,,1018.4,,
2019-10-26 14:00:00,-5.0,-13.3,52.0,,,,0.0,,1019.0,,
2019-10-26 15:00:00,-3.3,-11.8,52.0,,,,0.0,,1018.8,,
2019-10-26 16:00:00,0.6,-10.6,43.0,,,,0.0,,1018.5,,
2019-10-26 17:00:00,8.9,-9.6,26.0,,,,0.0,,1016.3,,
2019-10-26 18:00:00,16.7,-9.3,16.0,,,,0.0,,1011.4,,
2019-10-26 19:00:00,22.2,-15.3,7.0,,,250.0,14.8,,1009.6,,
2019-10-26 20:00:00,23.3,-16.4,6.0,,,,11.2,,1008.9,,
2019-10-26 21:00:00,22.2,-13.7,8.0,,,230.0,24.1,,1008.7,,
2019-10-26 22:00:00,22.2,-13.7,8.0,,,240.0,25.9,,1008.1,,
2019-10-26 23:00:00,20.0,-9.3,13.0,,,230.0,25.9,,1010.8,,
2019-10-27 00:00:00,18.9,-9.2,14.0,,,240.0,16.6,,1010.4,,
2019-10-27 01:00:00,14.4,-9.7,18.0,,,240.0,7.6,,1011.3,,
2019-10-27 02:00:00,12.8,-7.3,24.0,,,260.0,9.4,,1011.8,,
2019-10-27 03:00:00,11.7,-8.2,24.0,,,270.0,9.4,,1011.6,,
2019-10-27 04:00:00,10.0,-12.0,20.0,,,260.0,9.4,,1010.4,,
2019-10-27 05:00:00,10.6,-12.1,19.0,,,250.0,18.4,,1006.0,,
2019-10-27 06:00:00,10.0,-12.0,20.0,,,250.0,16.6,,1003.2,,
2019-10-27 07:00:00,5.0,-9.6,34.0,,,120.0,20.5,,1003.9,,
2019-10-27 08:00:00,1.1,-17.3,24.0,,,150.0,16.6,,1005.6,,
2019-10-27 09:00:00,-0.6,-18.2,25.0,,,,9.4,,1007.2,,
2019-10-27 10:00:00,-2.2,-16.0,34.0,,,250.0,7.6,,1008.2,,
2019-10-27 11:00:00,-3.3,-15.0,40.0,,,,0.0,,1010.8,,
2019-10-27 12:00:00,-2.2,-11.7,48.0,,,,0.0,,1011.2,,
2019-10-27 13:00:00,-2.8,-11.1,53.0,,,60.0,13.0,,1012.7,,
2019-10-27 14:00:00,-2.8,-13.9,42.0,,,120.0,13.0,,1013.0,,
2019-10-27 15:00:00,-2.8,-13.9,42.0,,,90.0,13.0,,1013.8,,
2019-10-27 16:00:00,-2.2,-14.0,40.0,,,,11.2,,1014.8,,
2019-10-27 17:00:00,-2.8,-11.8,50.0,,,70.0,13.0,,1015.4,,
2019-10-27 18:00:00,-2.2,-11.7,48.0,,,40.0,13.0,,1015.7,,
2019-10-27 19:00:00,-1.1,-14.0,37.0,,,50.0,13.0,,1016.1,,
2019-10-27 20:00:00,,,,,,,,,,,
2019-10-27 21:00:00,-0.6,-13.2,38.0,,,50.0,22.3,,1017.1,,
2019-10-27 22:00:00,1.7,-14.5,29.0,,,80.0,20.5,,1016.4,,
2019-10-27 23:00:00,1.1,-12.7,35.0,,,20.0,14.8,,1018.2,,
