time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-06 01:00:00,25.0,-2.6,16.0,,,240.0,13.0,,1021.2,,5.0
2020-09-06 02:00:00,23.9,-1.9,18.0,,,260.0,5.4,,1021.3,,
2020-09-06 03:00:00,23.3,-2.4,18.0,,,0.0,0.0,,1021.2,,
2020-09-06 04:00:00,21.7,-2.3,20.0,,,,7.6,,1021.2,,5.0
2020-09-06 05:00:00,19.4,-1.7,24.0,,,0.0,0.0,,1020.6,,5.0
2020-09-06 06:00:00,16.1,-1.5,30.0,,,0.0,0.0,,1020.5,,5.0
2020-09-06 07:00:00,16.1,-1.5,30.0,,,0.0,0.0,,1020.2,,
2020-09-06 08:00:00,12.2,-1.0,40.0,,,0.0,0.0,,1020.8,,
2020-09-06 09:00:00,11.7,-1.1,41.0,,,0.0,0.0,,1020.5,,
2020-09-06 10:00:00,11.1,-1.7,41.0,,,0.0,0.0,,1020.8,,
2020-09-06 11:00:00,10.6,-1.2,44.0,,,0.0,0.0,,1022.2,,
2020-09-06 12:00:00,9.4,-1.6,46.0,,,0.0,0.0,,1022.7,,
2020-09-06 13:00:00,8.9,-1.8,47.0,,,0.0,0.0,,1023.7,,
2020-09-06 14:00:00,8.3,-1.8,49.0,,,0.0,0.0,,1024.7,,
2020-09-06 15:00:00,10.6,-0.5,46.0,,,0.0,0.0,,1024.6,,
2020-09-06 16:00:00,16.1,1.0,36.0,,,0.0,0.0,,1023.6,,
2020-09-06 17:00:00,20.0,0.9,28.0,,,0.0,0.0,,1023.0,,
2020-09-06 18:00:00,23.9,0.2,21.0,,,0.0,0.0,,1022.6,,
2020-09-06 19:00:00,25.0,-1.8,17.0,,,0.0,0.0,,1022.1,,
2020-09-06 20:00:00,26.1,-0.9,17.0,,,0.0,0.0,,1022.2,,
2020-09-06 21:00:00,27.8,-2.1,14.0,,,0.0,0.0,,1021.5,,
2020-09-06 22:00:00,27.8,-2.1,14.0,,,0.0,0.0,,1021.2,,
2020-09-06 23:00:00,27.2,0.8,18.0,,,0.0,0.0,,1021.2,,
2020-09-07 00:00:00,25.6,1.7,21.0,,,0.0,0.0,,1021.3,,
2020-09-07 01:00:00,22.8,0.0,22.0,,,,5.4,,1021.9,,
2020-09-07 02:00:00,20.0,-0.1,26.0,,,0.0,0.0,,1022.7,,
2020-09-07 03:00:00,16.7,-0.1,32.0,,,0.0,0.0,,1023.3,,
2020-09-07 04:00:00,15.0,-0.7,34.0,,,0.0,0.0,,1022.9,,
2020-09-07 05:00:00,13.3,-0.7,38.0,,,0.0,0.0,,1022.3,,
2020-09-07 06:00:00,12.2,-0.7,41.0,,,0.0,0.0,,1021.4,,
2020-09-07 07:00:00,10.0,-1.1,46.0,,,0.0,0.0,,1021.5,,
2020-09-07 08:00:00,6.1,-1.1,60.0,,,0.0,0.0,,1021.9,,
2020-09-07 09:00:00,7.2,-1.0,56.0,,,0.0,0.0,,1020.4,,
2020-09-07 10:00:00,8.9,-1.0,50.0,,,0.0,0.0,,1019.7,,
2020-09-07 11:00:00,6.1,-2.3,55.0,,,0.0,0.0,,1020.3,,
2020-09-07 12:00:00,6.1,-1.8,57.0,,,0.0,0.0,,1020.1,,
2020-09-07 13:00:00,5.6,-2.3,57.0,,,0.0,0.0,,1020.7,,
2020-09-07 14:00:00,3.9,-3.4,59.0,,,0.0,0.0,,1021.8,,
2020-09-07 15:00:00,5.6,-2.3,57.0,,,0.0,0.0,,1021.9,,
2020-09-07 16:00:00,10.0,0.6,52.0,,,0.0,0.0,,1020.2,,
2020-09-07 17:00:00,17.2,-1.0,29.0,,,0.0,0.0,,1018.2,,
2020-09-07 18:00:00,24.4,-0.7,19.0,,,170.0,7.6,,1015.7,,
2020-09-07 19:00:00,28.3,-3.8,12.0,,,,,,1014.1,,5.0
2020-09-07 20:00:00,28.9,-2.3,13.0,,,60.0,14.8,,1014.0,,5.0
2020-09-07 21:00:00,30.6,-3.2,11.0,,,,,,1012.6,,5.0
2020-09-07 22:00:00,30.0,-3.7,11.0,,,240.0,24.1,,1011.0,,5.0
2020-09-07 23:00:00,30.0,-1.4,13.0,,,240.0,18.4,,1011.0,,5.0
2020-09-08 00:00:00,27.8,0.5,17.0,,,,11.2,,1011.5,,5.0
2020-09-08 01:00:00,26.7,-1.2,16.0,,,260.0,14.8,,1011.9,,5.0
2020-09-08 02:00:00,24.4,-3.1,16.0,,,270.0,9.4,,1012.3,,
2020-09-08 03:00:00,22.8,-3.5,17.0,,,260.0,13.0,,1012.4,,5.0
2020-09-08 04:00:00,21.7,-2.9,19.0,,,270.0,13.0,,1011.5,,5.0
2020-09-08 05:00:00,21.1,-2.7,20.0,,,290.0,13.0,,1009.8,,5.0
2020-09-08 06:00:00,17.2,-2.0,27.0,,,0.0,0.0,,1009.1,,5.0
2020-09-08 07:00:00,13.9,-3.0,31.0,,,0.0,0.0,,1008.6,,5.0
2020-09-08 08:00:00,11.7,-2.9,36.0,,,0.0,0.0,,1008.3,,5.0
2020-09-08 09:00:00,17.8,0.4,31.0,,,40.0,13.0,,1008.2,,5.0
2020-09-08 10:00:00,16.7,0.8,34.0,,,0.0,0.0,,1008.8,,5.0
2020-09-08 11:00:00,13.9,-0.9,36.0,,,20.0,13.0,,,,5.0
2020-09-08 12:00:00,13.3,-2.2,34.0,,,,5.4,,1010.2,,5.0
2020-09-08 13:00:00,11.1,-3.8,35.0,,,,7.6,,1011.6,,5.0
2020-09-08 14:00:00,10.0,-4.4,36.0,,,0.0,0.0,,1012.7,,5.0
2020-09-08 15:00:00,10.0,-4.4,36.0,,,250.0,5.4,,1013.6,,5.0
2020-09-08 16:00:00,11.1,-5.4,31.0,,,80.0,16.6,,1013.7,,5.0
2020-09-08 17:00:00,12.8,-4.8,29.0,,,,7.6,,1013.1,,5.0
2020-09-08 18:00:00,15.0,-6.6,22.0,,,,9.4,,1012.9,,
2020-09-08 19:00:00,16.7,-8.5,17.0,,,110.0,13.0,,1012.9,,
2020-09-08 20:00:00,17.8,-9.2,15.0,,,,,,1013.0,,
2020-09-08 21:00:00,19.4,-10.8,12.0,,,,9.4,,1010.7,,
2020-09-08 22:00:00,20.0,-10.3,12.0,,,,9.4,,1010.1,,
2020-09-08 23:00:00,18.9,-12.3,11.0,,,110.0,13.0,,1010.1,,
2020-09-09 00:00:00,19.4,-11.9,11.0,,,,7.6,,1010.1,,
2020-09-09 01:00:00,17.8,-11.0,13.0,,,80.0,13.0,,1011.3,,
2020-09-09 02:00:00,13.3,-9.2,20.0,,,0.0,0.0,,1013.3,,
2020-09-09 03:00:00,11.1,-10.4,21.0,,,0.0,0.0,,1014.7,,
2020-09-09 04:00:00,8.9,-10.6,24.0,,,340.0,5.4,,1015.8,,
2020-09-09 05:00:00,6.7,-10.6,28.0,,,300.0,7.6,,1016.1,,
2020-09-09 06:00:00,5.0,-10.8,31.0,,,0.0,0.0,,1016.6,,
2020-09-09 07:00:00,3.9,-10.6,34.0,,,0.0,0.0,,1016.4,,
2020-09-09 08:00:00,2.8,-10.5,37.0,,,0.0,0.0,,1016.8,,
2020-09-09 09:00:00,1.1,-10.7,41.0,,,0.0,0.0,,1016.6,,
2020-09-09 10:00:00,-2.2,-11.0,51.0,,,0.0,0.0,,1018.7,,
2020-09-09 11:00:00,-1.1,-11.0,47.0,,,0.0,0.0,,1018.8,,
2020-09-09 12:00:00,-1.7,-11.0,49.0,,,0.0,0.0,,1018.9,,
