time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 18:00:00,23.0,-1.2,20.0,,,320.0,16.6,,1018.8,,
2019-10-24 19:00:00,27.0,-1.0,16.0,,,300.0,18.4,,1018.5,,
2019-10-24 20:00:00,28.0,-3.0,13.0,,,310.0,20.5,,1017.8,,
2019-10-24 21:00:00,30.0,-2.5,12.0,,,310.0,20.5,,1017.1,,5.0
2019-10-24 22:00:00,31.0,-2.9,11.0,,,320.0,20.5,,1016.8,,
2019-10-24 23:00:00,30.0,-2.5,12.0,,,320.0,22.3,,1016.8,,0.0
2019-10-25 00:00:00,28.0,-2.0,14.0,,,330.0,16.6,,1016.5,,
2019-10-25 01:00:00,26.0,-0.9,17.0,,,340.0,9.4,,1016.5,,
2019-10-25 02:00:00,23.0,0.1,22.0,,,,0.0,,1016.5,,
2019-10-25 03:00:00,21.0,0.2,25.0,,,110.0,0.0,,1017.2,,
2019-10-25 04:00:00,13.0,1.9,47.0,,,70.0,11.2,,1017.2,,
2019-10-25 05:00:00,12.0,3.0,54.0,,,90.0,5.4,,1017.9,,
2019-10-25 06:00:00,11.0,3.0,58.0,,,80.0,9.4,,1018.2,,
2019-10-25 07:00:00,11.0,3.0,58.0,,,70.0,11.2,,1018.5,,
2019-10-25 08:00:00,11.0,3.0,58.0,,,110.0,0.0,,1018.5,,
2019-10-25 09:00:00,9.0,2.1,62.0,,,,0.0,,1018.8,,
2019-10-25 10:00:00,9.0,2.1,62.0,,,60.0,9.4,,1019.2,,5.0
2019-10-25 11:00:00,7.0,1.9,70.0,,,40.0,9.4,,1018.9,,5.0
2019-10-25 12:00:00,6.0,2.1,76.0,,,60.0,5.4,,1018.9,,
2019-10-25 13:00:00,6.0,0.9,70.0,,,20.0,7.6,,1019.2,,
2019-10-25 14:00:00,7.0,0.0,61.0,,,320.0,5.4,,1019.6,,
2019-10-25 15:00:00,7.0,0.0,61.0,,,40.0,7.6,,1019.6,,
2019-10-25 16:00:00,13.0,1.0,44.0,,,350.0,0.0,,1020.2,,
2019-10-25 17:00:00,19.0,0.1,28.0,,,40.0,5.4,,1020.2,,
2019-10-25 18:00:00,23.0,-1.9,19.0,,,310.0,0.0,,1019.5,,
2019-10-25 19:00:00,26.0,-0.9,17.0,,,270.0,7.6,,1019.2,,
2019-10-25 20:00:00,27.0,-0.1,17.0,,,310.0,9.4,,1018.2,,5.0
2019-10-25 21:00:00,28.7,0.4,16.0,,,280.0,11.2,,1017.5,,0.0
2019-10-25 22:00:00,29.0,-0.3,15.0,,,330.0,7.6,,1016.5,,0.0
2019-10-25 23:00:00,29.0,-1.2,14.0,,,360.0,7.6,,1016.1,,
2019-10-26 00:00:00,29.0,-1.2,14.0,,,310.0,5.4,,1015.5,,
2019-10-26 01:00:00,25.9,0.5,19.0,,,,0.0,,1015.2,,
2019-10-26 02:00:00,22.0,-0.1,23.0,,,,0.0,,,,
