time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 16:00:00,17.0,1.0,34.0,,,120.0,11.2,,,,
2020-10-23 17:00:00,20.0,3.2,33.0,,,180.0,5.4,,,,
2020-10-23 18:00:00,21.0,3.2,31.0,,,230.0,7.6,,,,
2020-10-23 19:00:00,22.0,3.1,29.0,,,220.0,7.6,,,,
2020-10-23 20:00:00,22.0,3.1,29.0,,,220.0,13.0,,,,
2020-10-23 21:00:00,23.0,1.9,25.0,,,230.0,11.2,,,,
2020-10-23 22:00:00,22.0,-2.0,20.0,,,240.0,9.4,,,,
2020-10-23 23:00:00,22.0,-2.7,19.0,,,230.0,11.2,,,,
2020-10-24 00:00:00,20.0,-3.7,20.0,,,210.0,5.4,,,,
2020-10-24 01:00:00,18.0,-4.1,22.0,,,220.0,5.4,,,,
2020-10-24 02:00:00,17.0,-3.7,24.0,,,0.0,0.0,,,,
2020-10-24 03:00:00,15.0,-2.9,29.0,,,110.0,5.4,,,,
2020-10-24 04:00:00,15.0,-3.9,27.0,,,0.0,0.0,,,,
2020-10-24 05:00:00,15.0,-3.9,27.0,,,0.0,0.0,,,,
2020-10-24 06:00:00,13.0,-2.9,33.0,,,0.0,0.0,,,,
2020-10-24 07:00:00,13.0,-2.1,35.0,,,100.0,7.6,,,,
2020-10-24 08:00:00,13.0,-2.1,35.0,,,0.0,0.0,,,,
2020-10-24 09:00:00,14.0,-2.9,31.0,,,310.0,5.4,,,,
2020-10-24 10:00:00,14.0,-0.1,38.0,,,120.0,5.4,,,,
2020-10-24 11:00:00,14.0,-0.1,38.0,,,0.0,0.0,,,,
2020-10-24 12:00:00,12.0,0.1,44.0,,,120.0,9.4,,,,
2020-10-24 13:00:00,12.0,0.1,44.0,,,100.0,11.2,,,,
2020-10-24 14:00:00,12.0,0.1,44.0,,,110.0,9.4,,,,
2020-10-24 15:00:00,13.0,1.0,44.0,,,120.0,11.2,,,,
2020-10-24 16:00:00,13.0,1.9,47.0,,,190.0,7.6,,,,
2020-10-24 17:00:00,15.0,3.2,45.0,,,0.0,0.0,,,,
2020-10-24 18:00:00,17.0,4.0,42.0,,,190.0,7.6,,,,
2020-10-24 19:00:00,18.0,4.9,42.0,,,230.0,9.4,,,,
2020-10-24 20:00:00,19.0,4.0,37.0,,,220.0,11.2,,,,
2020-10-24 21:00:00,20.0,4.1,35.0,,,200.0,11.2,,,,
2020-10-24 22:00:00,20.0,4.9,37.0,,,210.0,13.0,,,,
2020-10-24 23:00:00,19.0,5.1,40.0,,,290.0,7.6,,,,
2020-10-25 00:00:00,19.0,5.1,40.0,,,210.0,9.4,,,,
2020-10-25 01:00:00,16.0,5.0,48.0,,,0.0,0.0,,,,
2020-10-25 02:00:00,14.0,5.1,55.0,,,270.0,5.4,,,,
2020-10-25 03:00:00,13.0,6.1,63.0,,,0.0,0.0,,,,
2020-10-25 04:00:00,12.0,6.1,67.0,,,180.0,7.6,,,,
2020-10-25 05:00:00,10.0,7.1,82.0,,,160.0,9.4,,,,
2020-10-25 06:00:00,10.0,7.1,82.0,,,0.0,0.0,,,,
2020-10-25 07:00:00,9.0,6.1,82.0,,,90.0,9.4,,,,
2020-10-25 08:00:00,10.0,5.0,71.0,,,130.0,5.4,,,,
2020-10-25 09:00:00,10.0,5.0,71.0,,,0.0,0.0,,,,
2020-10-25 10:00:00,10.0,5.0,71.0,,,360.0,7.6,,,,
2020-10-25 11:00:00,10.0,3.1,62.0,,,40.0,9.4,,,,
2020-10-25 12:00:00,10.0,3.1,62.0,,,50.0,11.2,,,,
2020-10-25 13:00:00,10.0,2.1,58.0,,,80.0,13.0,,,,
2020-10-25 14:00:00,9.0,3.0,66.0,,,0.0,0.0,,,,
2020-10-25 15:00:00,9.0,4.0,71.0,,,0.0,0.0,,,,
2020-10-25 16:00:00,8.0,4.9,81.0,,,0.0,0.0,,,,
2020-10-25 17:00:00,8.0,6.9,93.0,,,0.0,0.0,,,,
2020-10-25 18:00:00,11.0,8.0,82.0,,,270.0,7.6,,,,
2020-10-25 19:00:00,13.0,7.0,67.0,,,280.0,9.4,,,,
2020-10-25 20:00:00,14.0,7.1,63.0,,,300.0,11.2,,,,
2020-10-25 21:00:00,15.0,6.0,55.0,,,300.0,7.6,,,,
2020-10-25 22:00:00,15.0,7.1,59.0,,,290.0,11.2,,,,
2020-10-25 23:00:00,,,,,,,,,,,
2020-10-26 00:00:00,,,,,,,,,,,
2020-10-26 01:00:00,,,,,,,,,,,
2020-10-26 02:00:00,,,,,,,,,,,
2020-10-26 03:00:00,,,,,,,,,,,
2020-10-26 04:00:00,,,,,,,,,,,
2020-10-26 05:00:00,,,,,,,,,,,
2020-10-26 06:00:00,,,,,,,,,,,
2020-10-26 07:00:00,,,,,,,,,,,
2020-10-26 08:00:00,,,,,,,,,,,
2020-10-26 09:00:00,,,,,,,,,,,
2020-10-26 10:00:00,,,,,,,,,,,
2020-10-26 11:00:00,,,,,,,,,,,
2020-10-26 12:00:00,,,,,,,,,,,
2020-10-26 13:00:00,,,,,,,,,,,
2020-10-26 14:00:00,,,,,,,,,,,
2020-10-26 15:00:00,,,,,,,,,,,
2020-10-26 16:00:00,,,,,,,,,,,
2020-10-26 17:00:00,,,,,,,,,,,
2020-10-26 18:00:00,,,,,,,,,,,
2020-10-26 19:00:00,,,,,,,,,,,
2020-10-26 20:00:00,,,,,,,,,,,
2020-10-26 21:00:00,,,,,,,,,,,
2020-10-26 22:00:00,,,,,,,,,,,
2020-10-26 23:00:00,,,,,,,,,,,
2020-10-27 00:00:00,,,,,,,,,,,
2020-10-27 01:00:00,,,,,,,,,,,
2020-10-27 02:00:00,,,,,,,,,,,
2020-10-27 03:00:00,,,,,,,,,,,
2020-10-27 04:00:00,,,,,,,,,,,
2020-10-27 05:00:00,,,,,,,,,,,
2020-10-27 06:00:00,,,,,,,,,,,
2020-10-27 07:00:00,,,,,,,,,,,
2020-10-27 08:00:00,,,,,,,,,,,
2020-10-27 09:00:00,,,,,,,,,,,
2020-10-27 10:00:00,,,,,,,,,,,
2020-10-27 11:00:00,,,,,,,,,,,
2020-10-27 12:00:00,,,,,,,,,,,
2020-10-27 13:00:00,,,,,,,,,,,
2020-10-27 14:00:00,,,,,,,,,,,
2020-10-27 15:00:00,,,,,,,,,,,
2020-10-27 16:00:00,,,,,,,,,,,
2020-10-27 17:00:00,,,,,,,,,,,
2020-10-27 18:00:00,,,,,,,,,,,
2020-10-27 19:00:00,,,,,,,,,,,
2020-10-27 20:00:00,,,,,,,,,,,
2020-10-27 21:00:00,,,,,,,,,,,
2020-10-27 22:00:00,,,,,,,,,,,
2020-10-27 23:00:00,20.0,-3.7,20.0,,,,,,,,
2020-10-28 00:00:00,,,,,,,,,,,
2020-10-28 01:00:00,15.0,-3.9,27.0,,,,,,,,
2020-10-28 02:00:00,15.0,-3.9,27.0,,,210.0,5.4,,,,
2020-10-28 03:00:00,15.0,-2.0,31.0,,,100.0,5.4,,,,
2020-10-28 04:00:00,15.0,-2.9,29.0,,,0.0,0.0,,,,
2020-10-28 05:00:00,14.0,-2.0,33.0,,,360.0,5.4,,,,
2020-10-28 06:00:00,14.0,-2.9,31.0,,,0.0,0.0,,,,
2020-10-28 07:00:00,12.0,-3.0,35.0,,,110.0,5.4,,,,
2020-10-28 08:00:00,13.0,-2.9,33.0,,,90.0,11.2,,,,
2020-10-28 09:00:00,12.0,-3.0,35.0,,,110.0,9.4,,,,
2020-10-28 10:00:00,13.0,-2.9,33.0,,,110.0,11.2,,,,
2020-10-28 11:00:00,13.0,-2.9,33.0,,,100.0,7.6,,,,
2020-10-28 12:00:00,13.0,-2.9,33.0,,,100.0,9.4,,,,
2020-10-28 13:00:00,14.0,-2.9,31.0,,,90.0,7.6,,,,
