time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 18:00:00,25.0,-5.3,13.0,0.0,,360.0,24.1,,1018.5,,1.0
2019-10-24 19:00:00,28.0,-5.2,11.0,0.0,,340.0,25.9,,1018.2,,1.0
2019-10-24 20:00:00,29.0,-7.1,9.0,0.0,,350.0,25.9,,1017.8,,2.0
2019-10-24 21:00:00,30.0,-6.3,9.0,0.0,,340.0,22.3,,1017.2,,2.0
2019-10-24 22:00:00,30.0,-6.3,9.0,0.0,,10.0,20.5,,1016.5,,2.0
2019-10-24 23:00:00,30.0,-4.9,10.0,0.0,,340.0,18.4,,1016.5,,2.0
2019-10-25 00:00:00,29.0,-4.4,11.0,0.0,,340.0,18.4,,1016.6,,2.0
2019-10-25 01:00:00,27.0,-3.8,13.0,0.0,,350.0,11.2,,1016.5,,2.0
2019-10-25 02:00:00,25.0,-2.6,16.0,0.0,,340.0,7.6,,1016.6,,2.0
2019-10-25 03:00:00,23.0,-3.4,17.0,0.0,,350.0,5.4,,1017.1,,1.0
2019-10-25 04:00:00,19.0,-0.9,26.0,0.0,,330.0,0.0,,1017.3,,1.0
2019-10-25 05:00:00,17.0,-1.2,29.0,0.0,,260.0,0.0,,1017.7,,1.0
2019-10-25 06:00:00,16.0,0.1,34.0,0.0,,310.0,0.0,,1018.0,,1.0
2019-10-25 07:00:00,14.0,-0.8,36.0,0.0,,60.0,0.0,,1018.3,,1.0
2019-10-25 08:00:00,13.0,0.0,41.0,,,50.0,0.0,,1018.5,,1.0
2019-10-25 09:00:00,12.0,0.1,44.0,0.0,,324.0,0.0,,1018.6,,1.0
2019-10-25 10:00:00,12.0,0.1,44.0,0.0,,327.0,0.0,,1018.7,,1.0
2019-10-25 11:00:00,12.0,-0.9,41.0,0.0,,350.0,0.0,,1018.7,,1.0
2019-10-25 12:00:00,12.0,0.1,44.0,0.0,,40.0,0.0,,1018.7,,1.0
2019-10-25 13:00:00,13.0,0.0,41.0,0.0,,350.0,7.6,,1019.0,,1.0
2019-10-25 14:00:00,13.0,0.0,41.0,0.0,,360.0,9.4,,1019.3,,1.0
2019-10-25 15:00:00,12.0,1.9,50.0,0.0,,10.0,11.2,,1019.5,,1.0
2019-10-25 16:00:00,15.0,1.8,41.0,0.0,,30.0,7.6,,1020.2,,1.0
2019-10-25 17:00:00,19.0,1.9,32.0,0.0,,10.0,5.4,,1020.2,,1.0
2019-10-25 18:00:00,22.0,-0.1,23.0,0.0,,360.0,7.6,,1019.9,,1.0
2019-10-25 19:00:00,24.4,0.7,21.0,0.0,,310.0,7.6,,1019.3,,1.0
2019-10-25 20:00:00,27.0,-1.0,16.0,0.0,,360.0,9.4,,1018.4,,1.0
2019-10-25 21:00:00,28.0,-3.0,13.0,0.0,,310.0,7.6,,1017.4,,1.0
2019-10-25 22:00:00,29.0,-3.3,12.0,0.0,,310.0,0.0,,1016.7,,1.0
2019-10-25 23:00:00,30.0,-2.5,12.0,0.0,,30.0,5.4,,1016.0,,2.0
2019-10-26 00:00:00,29.4,0.1,15.0,0.0,,280.0,0.0,,1015.5,,2.0
2019-10-26 01:00:00,25.0,4.2,26.0,,,21.0,0.0,,1015.2,,1.0
2019-10-26 02:00:00,23.0,3.0,27.0,0.0,,89.0,0.0,,1014.8,,1.0
2019-10-26 03:00:00,19.0,4.0,37.0,0.0,,118.0,0.0,,1014.7,,1.0
2019-10-26 04:00:00,17.0,2.9,39.0,,,73.0,0.0,,1014.6,,1.0
2019-10-26 05:00:00,15.0,3.2,45.0,0.0,,50.0,0.0,,1014.6,,5.0
2019-10-26 06:00:00,15.0,1.8,41.0,0.0,,340.0,5.4,,1014.7,,1.0
2019-10-26 07:00:00,14.0,1.9,44.0,0.0,,350.0,5.4,,1014.5,,1.0
2019-10-26 08:00:00,13.0,1.9,47.0,0.0,,355.0,0.0,,1014.2,,1.0
2019-10-26 09:00:00,12.0,0.1,44.0,0.0,,40.0,0.0,,1014.0,,1.0
2019-10-26 10:00:00,12.0,1.0,47.0,0.0,,320.0,0.0,,1013.6,,1.0
2019-10-26 11:00:00,10.0,0.0,50.0,0.0,,354.0,0.0,,1013.1,,1.0
2019-10-26 12:00:00,12.0,0.1,44.0,0.0,,330.0,5.4,,1012.7,,1.0
2019-10-26 13:00:00,10.0,2.1,58.0,0.0,,10.0,5.4,,1013.0,,1.0
2019-10-26 14:00:00,12.0,1.0,47.0,0.0,,330.0,5.4,,1012.4,,1.0
2019-10-26 15:00:00,10.0,2.1,58.0,0.0,,330.0,5.4,,1012.6,,1.0
2019-10-26 16:00:00,14.0,1.9,44.0,0.0,,340.0,5.4,,1012.6,,1.0
2019-10-26 17:00:00,18.0,3.1,37.0,0.0,,10.0,9.4,,1012.8,,1.0
2019-10-26 18:00:00,21.0,3.2,31.0,0.0,,360.0,7.6,,1012.2,,1.0
