time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 16:00:00,10.6,10.0,96.0,0.0,,0.0,0.0,,1015.2,,1.0
2020-10-23 17:00:00,11.1,10.0,93.0,0.0,,0.0,0.0,,1015.2,,2.0
2020-10-23 18:00:00,13.3,9.9,80.0,0.0,,0.0,0.0,,1015.3,,2.0
2020-10-23 19:00:00,17.2,10.6,65.0,0.0,,210.0,7.6,,1014.8,,2.0
2020-10-23 20:00:00,19.4,10.7,57.0,0.0,,210.0,11.2,,1014.2,,2.0
2020-10-23 21:00:00,21.1,10.6,51.0,0.0,,190.0,16.6,,1013.5,,2.0
2020-10-23 22:00:00,22.2,11.0,49.0,0.0,,190.0,22.3,,1013.1,,2.0
2020-10-23 23:00:00,22.2,11.0,49.0,0.0,,200.0,27.7,,1012.7,,2.0
2020-10-24 00:00:00,21.1,11.7,55.0,0.0,,210.0,20.5,,1012.8,,2.0
2020-10-24 01:00:00,18.3,10.6,61.0,0.0,,240.0,20.5,,1013.1,,2.0
2020-10-24 02:00:00,16.1,10.0,67.0,0.0,,270.0,25.9,,1013.3,,1.0
2020-10-24 03:00:00,15.6,10.6,72.0,0.0,,260.0,24.1,,1013.9,,1.0
2020-10-24 04:00:00,14.4,10.6,78.0,0.0,,290.0,13.0,,1014.4,,1.0
2020-10-24 05:00:00,12.2,9.4,83.0,0.0,,0.0,0.0,,1014.6,,1.0
2020-10-24 06:00:00,13.3,9.9,80.0,0.0,,0.0,0.0,,1014.9,,1.0
2020-10-24 07:00:00,11.7,9.4,86.0,0.0,,270.0,5.4,,1015.0,,5.0
2020-10-24 08:00:00,9.4,7.2,86.0,0.0,,0.0,0.0,,1014.7,,5.0
2020-10-24 09:00:00,8.9,6.7,86.0,0.0,,0.0,0.0,,1014.7,,5.0
2020-10-24 10:00:00,7.8,6.7,93.0,0.0,,280.0,5.4,,1014.8,,5.0
2020-10-24 11:00:00,7.8,6.1,89.0,0.0,,0.0,0.0,,1014.7,,5.0
2020-10-24 12:00:00,8.3,7.2,93.0,0.0,,0.0,0.0,,1014.8,,5.0
2020-10-24 13:00:00,8.3,6.8,90.0,0.0,,0.0,0.0,,1014.9,,5.0
2020-10-24 14:00:00,7.8,6.7,93.0,0.0,,0.0,0.0,,1015.1,,5.0
2020-10-24 15:00:00,8.9,7.8,93.0,0.0,,360.0,9.4,,1015.2,,5.0
2020-10-24 16:00:00,10.6,9.4,92.0,0.0,,300.0,7.6,,1015.9,,5.0
2020-10-24 17:00:00,12.2,10.6,90.0,0.0,,300.0,13.0,,1016.2,,2.0
2020-10-24 18:00:00,15.0,11.2,78.0,0.0,,310.0,11.2,,1016.2,,2.0
2020-10-24 19:00:00,16.1,11.1,72.0,0.0,,260.0,11.2,,1015.6,,2.0
2020-10-24 20:00:00,17.8,11.8,68.0,0.0,,250.0,14.8,,1014.8,,2.0
2020-10-24 21:00:00,17.2,11.0,67.0,0.0,,220.0,16.6,,1013.8,,2.0
2020-10-24 22:00:00,18.3,11.6,65.0,0.0,,250.0,16.6,,1013.2,,2.0
2020-10-24 23:00:00,19.4,10.7,57.0,0.0,,270.0,24.1,,1012.5,,2.0
2020-10-25 00:00:00,19.4,10.1,55.0,0.0,,290.0,20.5,,1012.1,,2.0
2020-10-25 01:00:00,17.8,9.9,60.0,0.0,,270.0,13.0,,1011.8,,2.0
2020-10-25 02:00:00,16.1,10.0,67.0,0.0,,260.0,14.8,,1011.8,,2.0
2020-10-25 03:00:00,14.4,10.0,75.0,0.0,,270.0,14.8,,1012.0,,2.0
2020-10-25 04:00:00,13.3,9.9,80.0,0.0,,270.0,9.4,,1012.1,,1.0
2020-10-25 05:00:00,12.2,9.4,83.0,0.0,,260.0,9.4,,1012.0,,1.0
2020-10-25 06:00:00,14.4,11.2,81.0,0.0,,240.0,7.6,,1012.6,,1.0
2020-10-25 07:00:00,13.9,11.1,83.0,0.0,,220.0,11.2,,1012.7,,1.0
2020-10-25 08:00:00,14.4,11.2,81.0,0.0,,210.0,14.8,,1012.7,,1.0
2020-10-25 09:00:00,14.4,10.6,78.0,0.0,,240.0,18.4,,1012.5,,1.0
2020-10-25 10:00:00,13.9,10.7,81.0,0.0,,240.0,20.5,,1012.7,,1.0
2020-10-25 11:00:00,13.9,10.7,81.0,0.0,,240.0,16.6,,1012.6,,1.0
2020-10-25 12:00:00,13.3,9.9,80.0,0.0,,280.0,13.0,,1012.4,,1.0
2020-10-25 13:00:00,13.3,9.4,77.0,0.0,,320.0,7.6,,1012.5,,1.0
2020-10-25 14:00:00,13.9,9.3,74.0,0.0,,330.0,11.2,,1012.6,,1.0
