time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 18:00:00,23.0,-8.0,12.0,0.0,,360.0,14.8,,1015.1,,2.0
2020-10-23 19:00:00,24.0,-8.3,11.0,0.0,,340.0,14.8,,1014.9,,2.0
2020-10-23 20:00:00,25.0,-7.5,11.0,0.0,,350.0,16.6,,1014.4,,2.0
2020-10-23 21:00:00,26.0,-8.0,10.0,0.0,,360.0,13.0,,1013.8,,2.0
2020-10-23 22:00:00,26.0,-6.8,11.0,0.0,,20.0,9.4,,1013.4,,2.0
2020-10-23 23:00:00,26.0,-6.8,11.0,0.0,,0.0,0.0,,1013.0,,2.0
2020-10-24 00:00:00,24.0,5.8,31.0,0.0,,200.0,7.6,,1012.8,,2.0
2020-10-24 01:00:00,23.0,7.1,36.0,0.0,,190.0,9.4,,1012.9,,2.0
2020-10-24 02:00:00,18.0,8.0,52.0,0.0,,190.0,7.6,,1013.0,,1.0
2020-10-24 03:00:00,16.0,9.0,63.0,0.0,,200.0,9.4,,1013.5,,1.0
2020-10-24 04:00:00,15.0,8.0,63.0,0.0,,200.0,5.4,,1013.8,,1.0
2020-10-24 05:00:00,13.0,7.0,67.0,0.0,,210.0,5.4,,1014.0,,1.0
2020-10-24 06:00:00,13.0,7.0,67.0,0.0,,200.0,7.6,,1014.3,,1.0
2020-10-24 07:00:00,10.0,6.0,76.0,0.0,,0.0,0.0,,1014.3,,1.0
2020-10-24 08:00:00,11.0,6.1,72.0,0.0,,0.0,0.0,,1014.1,,1.0
2020-10-24 09:00:00,8.0,4.0,76.0,0.0,,0.0,0.0,,1014.1,,1.0
2020-10-24 10:00:00,8.0,4.0,76.0,0.0,,0.0,0.0,,1014.3,,1.0
2020-10-24 11:00:00,8.0,4.0,76.0,0.0,,0.0,0.0,,1014.5,,1.0
2020-10-24 12:00:00,7.0,3.1,76.0,0.0,,290.0,5.4,,1014.6,,1.0
2020-10-24 13:00:00,8.0,5.1,82.0,0.0,,0.0,0.0,,1014.8,,1.0
2020-10-24 14:00:00,7.0,4.0,81.0,0.0,,0.0,0.0,,1014.8,,1.0
2020-10-24 15:00:00,8.0,4.0,76.0,0.0,,0.0,0.0,,1015.0,,1.0
2020-10-24 16:00:00,13.0,9.1,77.0,0.0,,0.0,0.0,,1015.8,,1.0
2020-10-24 17:00:00,14.0,9.0,72.0,0.0,,0.0,0.0,,1016.4,,2.0
2020-10-24 18:00:00,19.0,8.0,49.0,0.0,,0.0,0.0,,1016.1,,2.0
2020-10-24 19:00:00,21.0,7.9,43.0,0.0,,220.0,9.4,,1015.4,,2.0
2020-10-24 20:00:00,22.0,8.1,41.0,0.0,,210.0,9.4,,1014.3,,2.0
2020-10-24 21:00:00,24.0,8.0,36.0,0.0,,180.0,14.8,,1013.1,,2.0
2020-10-24 22:00:00,24.0,8.0,36.0,0.0,,180.0,11.2,,1012.4,,2.0
2020-10-24 23:00:00,23.0,7.1,36.0,0.0,,180.0,11.2,,1012.0,,2.0
2020-10-25 00:00:00,23.0,7.1,36.0,0.0,,180.0,9.4,,1011.7,,2.0
2020-10-25 01:00:00,19.0,8.9,52.0,0.0,,210.0,11.2,,1011.3,,2.0
2020-10-25 02:00:00,18.0,9.1,56.0,0.0,,210.0,9.4,,1011.6,,2.0
2020-10-25 03:00:00,16.0,8.0,59.0,0.0,,200.0,9.4,,1011.4,,2.0
2020-10-25 04:00:00,15.0,7.1,59.0,0.0,,200.0,7.6,,1011.8,,1.0
2020-10-25 05:00:00,14.0,7.1,63.0,0.0,,210.0,11.2,,1011.7,,1.0
2020-10-25 06:00:00,13.0,7.0,67.0,0.0,,190.0,5.4,,1012.4,,1.0
2020-10-25 07:00:00,14.0,7.1,63.0,0.0,,200.0,9.4,,1012.4,,1.0
2020-10-25 08:00:00,12.0,9.0,82.0,0.0,,210.0,11.2,,1012.2,,1.0
