time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-09 07:00:00,16.1,5.1,48.0,0.0,,170.0,7.6,,1019.8,,
2021-10-09 08:00:00,15.6,5.5,51.0,0.0,,0.0,0.0,,1020.2,,
2021-10-09 09:00:00,15.6,4.9,49.0,0.0,,170.0,16.6,,1020.5,,
2021-10-09 10:00:00,15.0,5.5,53.0,0.0,,190.0,9.4,,1021.3,,
2021-10-09 11:00:00,13.3,5.7,60.0,0.0,,190.0,9.4,,1021.5,,
2021-10-09 12:00:00,12.2,6.0,66.0,0.0,,0.0,0.0,,1022.1,,
2021-10-09 13:00:00,10.6,5.6,71.0,0.0,,0.0,0.0,,1022.8,,
2021-10-09 14:00:00,9.4,5.0,74.0,0.0,,0.0,0.0,,1022.9,,
2021-10-09 15:00:00,9.4,5.0,74.0,0.0,,310.0,5.4,,1023.5,,
2021-10-09 16:00:00,13.3,6.2,62.0,0.0,,320.0,7.6,,1023.8,,
2021-10-09 17:00:00,16.1,5.7,50.0,0.0,,350.0,11.2,,1023.9,,
2021-10-09 18:00:00,19.4,4.3,37.0,0.0,,340.0,16.6,,1023.4,,
2021-10-09 19:00:00,20.6,3.8,33.0,0.0,,350.0,18.4,,1023.0,,
2021-10-09 20:00:00,22.2,3.3,29.0,0.0,,350.0,14.8,,1022.2,,
2021-10-09 21:00:00,23.9,2.1,24.0,0.0,,360.0,11.2,,1021.2,,
2021-10-09 22:00:00,25.0,2.4,23.0,0.0,,340.0,14.8,,1020.4,,
2021-10-09 23:00:00,25.6,2.3,22.0,0.0,,10.0,11.2,,1019.7,,
2021-10-10 00:00:00,25.6,1.7,21.0,0.0,,10.0,7.6,,1019.3,,
2021-10-10 01:00:00,25.0,1.8,22.0,0.0,,0.0,0.0,,1018.7,,
2021-10-10 02:00:00,21.1,2.4,29.0,0.0,,0.0,0.0,,1018.7,,
2021-10-10 03:00:00,17.8,1.7,34.0,0.0,,240.0,7.6,,1018.8,,
2021-10-10 04:00:00,15.6,1.0,37.0,0.0,,280.0,5.4,,1019.2,,
