time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 18:00:00,30.6,-7.4,8.0,0.0,,70.0,33.5,,1015.2,,
2019-10-24 19:00:00,31.7,-8.3,7.0,0.0,,90.0,35.3,,1015.1,,
2019-10-24 20:00:00,31.1,-8.8,7.0,0.0,,80.0,35.3,,1014.7,,
2019-10-24 21:00:00,32.2,-9.9,6.0,0.0,,100.0,31.7,,1014.1,,
2019-10-24 22:00:00,32.8,-11.8,5.0,0.0,,70.0,25.9,,1013.6,,
2019-10-24 23:00:00,32.2,-12.2,5.0,0.0,,90.0,27.7,,1013.9,,
2019-10-25 00:00:00,30.6,-9.1,7.0,0.0,,60.0,5.4,,1014.0,,
2019-10-25 01:00:00,27.8,-9.5,8.0,,,80.0,29.5,,1014.1,,
2019-10-25 02:00:00,25.6,-9.6,9.0,0.0,,70.0,20.5,,1014.7,,
2019-10-25 03:00:00,25.0,-11.6,8.0,0.0,,60.0,31.7,,1015.0,,
2019-10-25 04:00:00,25.0,-11.6,8.0,0.0,,60.0,22.3,,1015.2,,
2019-10-25 05:00:00,24.4,-10.6,9.0,0.0,,70.0,29.5,,1015.4,,
2019-10-25 06:00:00,24.4,-12.0,8.0,0.0,,70.0,22.3,,1015.5,,
2019-10-25 07:00:00,23.9,-12.4,8.0,0.0,,80.0,29.5,,1015.4,,
2019-10-25 08:00:00,23.9,-12.4,8.0,,,90.0,29.5,,1015.6,,
2019-10-25 09:00:00,23.9,-12.4,8.0,0.0,,80.0,22.3,,1015.0,,
2019-10-25 10:00:00,24.4,-13.7,7.0,0.0,,80.0,27.7,,1014.1,,
2019-10-25 11:00:00,24.4,-13.7,7.0,0.0,,50.0,20.5,,1014.0,,
2019-10-25 12:00:00,23.9,-12.4,8.0,0.0,,60.0,25.9,,1014.3,,
2019-10-25 13:00:00,24.4,-12.0,8.0,0.0,,50.0,24.1,,1014.4,,
2019-10-25 14:00:00,23.9,-12.4,8.0,0.0,,60.0,27.7,,1015.1,,
2019-10-25 15:00:00,25.0,-11.6,8.0,0.0,,60.0,25.9,,1015.7,,
2019-10-25 16:00:00,26.7,-8.8,9.0,0.0,,80.0,20.5,,1016.2,,
2019-10-25 17:00:00,28.3,-9.1,8.0,0.0,,70.0,29.5,,1016.1,,
2019-10-25 18:00:00,29.4,-8.3,8.0,0.0,,70.0,29.5,,1015.5,,
2019-10-25 19:00:00,30.0,-7.9,8.0,0.0,,70.0,27.7,,1015.2,,
