time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 16:00:00,18.0,12.0,68.0,0.0,,140.0,7.6,,1015.7,,
2020-10-23 17:00:00,19.0,12.0,64.0,0.0,,0.0,0.0,,1015.4,,
2020-10-23 18:00:00,22.0,12.0,53.0,0.0,,180.0,7.6,,1014.8,,
2020-10-23 19:00:00,22.0,11.1,50.0,0.0,,330.0,9.4,,1014.5,,
2020-10-23 20:00:00,23.0,12.0,50.0,0.0,,270.0,13.0,,1014.0,,
2020-10-23 21:00:00,22.0,12.0,53.0,0.0,,270.0,13.0,,1013.4,,
2020-10-23 22:00:00,20.0,14.1,69.0,0.0,,290.0,18.4,,1013.1,,
2020-10-23 23:00:00,19.0,14.1,73.0,0.0,,280.0,20.5,,1013.6,,
2020-10-24 00:00:00,19.0,14.1,73.0,0.0,,260.0,14.8,,1013.9,,
2020-10-24 01:00:00,17.0,12.9,77.0,0.0,,270.0,11.2,,1014.2,,
2020-10-24 02:00:00,16.0,13.1,83.0,0.0,,290.0,9.4,,1014.5,,
2020-10-24 03:00:00,16.0,13.1,83.0,0.0,,290.0,9.4,,1015.0,,
2020-10-24 04:00:00,15.0,13.0,88.0,0.0,,0.0,0.0,,1015.3,,
2020-10-24 05:00:00,16.0,13.1,83.0,0.0,,0.0,0.0,,1015.5,,
2020-10-24 06:00:00,16.0,14.0,88.0,0.0,,0.0,0.0,,1015.6,,
2020-10-24 07:00:00,17.0,14.1,83.0,0.0,,0.0,0.0,,1015.5,,
2020-10-24 08:00:00,17.0,14.1,83.0,0.0,,0.0,0.0,,1015.3,,
2020-10-24 09:00:00,17.0,12.9,77.0,0.0,,0.0,0.0,,1015.0,,
2020-10-24 10:00:00,17.0,14.1,83.0,0.0,,0.0,0.0,,1015.1,,
2020-10-24 11:00:00,16.0,14.0,88.0,0.0,,70.0,11.2,,1014.7,,
2020-10-24 12:00:00,17.0,14.1,83.0,0.0,,0.0,0.0,,1015.1,,
2020-10-24 13:00:00,17.0,14.1,83.0,0.0,,0.0,0.0,,1015.5,,
2020-10-24 14:00:00,17.0,14.1,83.0,0.0,,0.0,0.0,,1015.7,,
2020-10-24 15:00:00,17.0,14.1,83.0,0.0,,20.0,7.6,,1016.0,,
2020-10-24 16:00:00,18.0,14.1,78.0,0.0,,80.0,7.6,,1016.2,,
2020-10-24 17:00:00,19.0,13.0,68.0,0.0,,0.0,11.2,,1016.3,,
2020-10-24 18:00:00,19.0,13.0,68.0,0.0,,0.0,0.0,,1015.9,,
2020-10-24 19:00:00,21.0,12.2,57.0,0.0,,220.0,5.4,,1015.4,,
