time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 02:00:00,13.0,10.0,82.0,,,320.0,11.2,,1018.2,,
2019-10-07 03:00:00,11.0,8.9,87.0,,,320.0,5.4,,1018.4,,
2019-10-07 04:00:00,12.0,10.1,88.0,,,160.0,7.6,,1018.5,,
2019-10-07 05:00:00,10.0,9.1,94.0,,,150.0,7.6,,1018.7,,
2019-10-07 06:00:00,10.0,7.9,87.0,,,160.0,13.0,,1018.1,,
2019-10-07 07:00:00,9.0,7.9,93.0,,,150.0,13.0,,1018.9,,
2019-10-07 08:00:00,9.0,7.9,93.0,,,150.0,16.6,,1018.7,,
2019-10-07 09:00:00,10.0,7.9,87.0,,,140.0,16.6,,1018.1,,
2019-10-07 10:00:00,10.0,7.9,87.0,,,130.0,13.0,,1017.8,,
2019-10-07 11:00:00,9.0,7.9,93.0,,,140.0,14.8,,1017.5,,
2019-10-07 12:00:00,9.0,7.9,93.0,,,130.0,18.4,,1016.8,,
2019-10-07 13:00:00,9.0,7.9,93.0,,,150.0,18.4,,1018.6,,
2019-10-07 14:00:00,9.0,7.0,87.0,,,140.0,18.4,,1018.7,,
2019-10-07 15:00:00,9.0,7.0,87.0,,,150.0,14.8,,1018.6,,
2019-10-07 16:00:00,12.0,8.1,77.0,,,140.0,11.2,,1018.4,,
2019-10-07 17:00:00,15.0,8.9,67.0,,,150.0,5.4,,1018.2,,
2019-10-07 18:00:00,18.0,10.1,60.0,,,350.0,7.6,,1017.7,,
2019-10-07 19:00:00,21.0,8.9,46.0,,,289.0,0.0,,1017.9,,
2019-10-07 20:00:00,22.0,11.1,50.0,,,310.0,13.0,,1017.5,,
2019-10-07 21:00:00,20.0,11.0,56.0,,,300.0,22.3,,1016.8,,
2019-10-07 22:00:00,19.0,12.0,64.0,,,300.0,24.1,,1016.4,,
2019-10-07 23:00:00,18.0,11.1,64.0,,,290.0,24.1,,1015.9,,
2019-10-08 00:00:00,17.0,9.9,63.0,,,290.0,20.5,,1016.2,,
2019-10-08 01:00:00,15.0,8.9,67.0,,,310.0,11.2,,1017.0,,
2019-10-08 02:00:00,12.0,10.1,88.0,,,300.0,16.6,,1017.0,,
2019-10-08 03:00:00,10.0,10.0,100.0,,,300.0,13.0,,1017.3,,
2019-10-08 04:00:00,10.0,9.1,94.0,,,328.0,0.0,,1017.4,,
2019-10-08 05:00:00,10.0,9.1,94.0,,,130.0,7.6,,1017.5,,
2019-10-08 06:00:00,9.0,9.0,100.0,,,110.0,7.6,,1017.0,,
2019-10-08 07:00:00,9.0,7.9,93.0,,,120.0,7.6,,1017.3,,
2019-10-08 08:00:00,9.0,7.9,93.0,,,130.0,11.2,,1017.1,,
2019-10-08 09:00:00,8.0,8.0,100.0,,,120.0,11.2,,1016.7,,
2019-10-08 10:00:00,8.0,8.0,100.0,,,130.0,13.0,,1016.6,,
2019-10-08 11:00:00,8.0,8.0,100.0,,,120.0,11.2,,1016.5,,
2019-10-08 12:00:00,9.0,9.0,100.0,,,140.0,7.6,,1016.0,,
2019-10-08 13:00:00,8.0,6.9,93.0,,,120.0,9.4,,1016.4,,
2019-10-08 14:00:00,8.0,6.9,93.0,,,150.0,5.4,,1016.4,,
2019-10-08 15:00:00,8.0,8.0,100.0,,,150.0,7.6,,1016.7,,
2019-10-08 16:00:00,10.0,9.1,94.0,,,120.0,5.4,,1017.0,,
2019-10-08 17:00:00,12.0,11.1,94.0,,,120.0,7.6,,1017.3,,
2019-10-08 18:00:00,15.0,12.0,82.0,,,310.0,5.4,,1017.4,,
2019-10-08 19:00:00,17.0,11.9,72.0,,,280.0,24.1,,1017.0,,
2019-10-08 20:00:00,20.0,11.0,56.0,,,320.0,29.5,,1016.8,,
2019-10-08 21:00:00,19.0,10.0,56.0,,,350.0,25.9,,1017.2,,
2019-10-08 22:00:00,19.0,11.1,60.0,,,350.0,22.3,,1017.2,,
2019-10-08 23:00:00,17.0,7.9,55.0,,,340.0,31.7,,1017.2,,
2019-10-09 00:00:00,16.0,5.0,48.0,,,330.0,20.5,,1017.8,,
2019-10-09 01:00:00,14.0,7.1,63.0,,,320.0,22.3,,1017.4,,
2019-10-09 02:00:00,12.0,8.1,77.0,,,330.0,22.3,,1017.9,,
2019-10-09 03:00:00,12.0,8.1,77.0,,,320.0,22.3,,1018.2,,
2019-10-09 04:00:00,10.0,7.9,87.0,,,300.0,16.6,,1018.8,,
2019-10-09 05:00:00,10.0,7.9,87.0,,,300.0,14.8,,1019.1,,
2019-10-09 06:00:00,10.0,7.1,82.0,,,320.0,18.4,,1018.6,,
2019-10-09 07:00:00,10.0,7.1,82.0,,,330.0,16.6,,1018.9,,
2019-10-09 08:00:00,9.0,7.0,87.0,,,320.0,20.5,,1018.8,,
2019-10-09 09:00:00,7.9,6.4,90.0,,,23.0,7.4,,1018.5,,
2019-10-09 10:00:00,7.0,5.6,91.0,,,27.0,7.4,,1018.5,,
2019-10-09 11:00:00,6.2,4.8,91.0,,,29.0,9.3,,1018.5,,
2019-10-09 12:00:00,5.0,3.3,89.0,,,50.0,7.6,,1018.4,,
2019-10-09 13:00:00,6.5,4.2,85.0,,,29.0,7.4,,1019.1,,
2019-10-09 14:00:00,7.3,4.8,84.0,,,11.0,9.3,,1019.4,,
2019-10-09 15:00:00,9.3,4.7,73.0,,,346.0,14.8,,1019.4,,
2019-10-09 16:00:00,10.7,5.0,68.0,,,339.0,18.5,,1019.5,,
2019-10-09 17:00:00,12.1,5.3,63.0,,,335.0,22.2,,1019.5,,
2019-10-09 18:00:00,13.9,2.2,45.0,,,330.0,25.9,,1019.8,,
2019-10-09 19:00:00,14.2,5.3,55.0,,,336.0,20.4,,1019.7,,
2019-10-09 20:00:00,15.0,3.2,45.0,,,330.0,24.1,,1019.4,,
2019-10-09 21:00:00,15.0,3.2,45.0,,,320.0,25.9,,1018.7,,
2019-10-09 22:00:00,15.0,1.8,41.0,,,320.0,22.3,,1018.3,,
2019-10-09 23:00:00,15.0,1.8,41.0,,,320.0,25.9,,1017.9,,
2019-10-10 00:00:00,14.0,1.9,44.0,,,300.0,27.7,,1018.5,,
2019-10-10 01:00:00,13.0,3.1,51.0,,,290.0,24.1,,1018.7,,
2019-10-10 02:00:00,10.0,5.0,71.0,,,270.0,18.4,,1018.6,,
2019-10-10 03:00:00,10.0,5.0,71.0,,,280.0,16.6,,1018.7,,
2019-10-10 04:00:00,9.0,5.0,76.0,,,270.0,11.2,,1018.5,,
2019-10-10 05:00:00,7.6,3.1,73.0,,,91.0,5.5,,1018.8,,
