time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-01-17 00:00:00,18.0,8.8,55.0,0.0,,213.0,1.1,,1019.7,,
2021-01-17 01:00:00,13.9,8.5,70.0,0.0,,282.0,5.4,,1019.6,,
2021-01-17 02:00:00,12.7,8.2,74.0,0.0,,321.0,6.1,,1020.0,,
2021-01-17 03:00:00,12.2,7.9,75.0,0.0,,22.0,5.0,,1020.1,,
2021-01-17 04:00:00,10.3,7.9,85.0,0.0,,39.0,5.8,,1020.3,,
2021-01-17 05:00:00,9.6,7.7,88.0,0.0,,49.0,6.8,,1020.5,,
2021-01-17 06:00:00,8.8,7.1,89.0,0.0,,53.0,7.6,,1020.5,,
2021-01-17 07:00:00,7.9,6.4,90.0,0.0,,57.0,7.2,,1020.6,,
2021-01-17 08:00:00,7.7,6.2,90.0,0.0,,66.0,4.3,,1020.6,,
2021-01-17 09:00:00,6.9,5.7,92.0,0.0,,81.0,4.3,,1020.0,,
2021-01-17 10:00:00,6.7,5.6,93.0,0.0,,70.0,5.0,,1020.3,,
2021-01-17 11:00:00,6.3,5.4,94.0,0.0,,71.0,6.5,,1020.0,,
2021-01-17 12:00:00,5.6,4.9,95.0,0.0,,71.0,6.5,,1019.8,,
2021-01-17 13:00:00,6.1,4.9,92.0,0.0,,51.0,2.9,,1019.9,,
2021-01-17 14:00:00,5.2,4.5,95.0,0.0,,29.0,4.7,,1019.7,,
2021-01-17 15:00:00,5.0,4.4,96.0,0.0,,51.0,5.4,,1020.1,,
2021-01-17 16:00:00,6.9,5.0,88.0,0.0,,52.0,4.0,,1020.7,,
2021-01-17 17:00:00,10.5,6.3,75.0,0.0,,0.0,1.4,,1021.3,,
2021-01-17 18:00:00,13.7,7.0,64.0,0.0,,307.0,1.1,,1021.5,,
2021-01-17 19:00:00,16.2,7.4,56.0,0.0,,307.0,2.5,,1021.2,,
2021-01-17 20:00:00,18.2,7.3,49.0,0.0,,305.0,2.5,,1019.8,,
2021-01-17 21:00:00,19.7,7.1,44.0,0.0,,288.0,3.2,,1018.6,,
2021-01-17 22:00:00,20.6,7.2,42.0,0.0,,305.0,5.4,,1017.8,,
2021-01-17 23:00:00,20.9,7.2,41.0,0.0,,321.0,4.3,,1017.1,,
2021-01-18 00:00:00,20.2,8.8,48.0,0.0,,331.0,3.2,,1016.7,,
2021-01-18 01:00:00,16.7,7.9,56.0,0.0,,339.0,7.6,,1016.5,,
2021-01-18 02:00:00,13.9,8.3,69.0,0.0,,340.0,8.3,,1016.2,,
2021-01-18 03:00:00,12.5,8.2,75.0,0.0,,335.0,8.3,,1015.9,,
2021-01-18 04:00:00,10.7,8.1,84.0,0.0,,345.0,10.1,,1016.1,,
2021-01-18 05:00:00,9.7,7.8,88.0,0.0,,12.0,9.7,,1016.5,,
2021-01-18 06:00:00,10.1,7.9,86.0,0.0,,53.0,7.6,,1016.3,,
2021-01-18 07:00:00,10.4,7.6,83.0,0.0,,124.0,3.2,,1016.2,,
2021-01-18 08:00:00,8.1,6.7,91.0,0.0,,126.0,4.3,,1015.3,,
2021-01-18 09:00:00,7.1,6.4,95.0,0.0,,77.0,5.0,,1014.5,,
2021-01-18 10:00:00,7.4,6.0,91.0,0.0,,72.0,5.4,,1014.1,,
2021-01-18 11:00:00,6.8,5.6,92.0,0.0,,64.0,5.0,,1014.0,,
2021-01-18 12:00:00,6.4,5.2,92.0,0.0,,67.0,8.3,,1013.4,,
2021-01-18 13:00:00,7.1,4.9,86.0,0.0,,67.0,5.4,,1013.0,,
2021-01-18 14:00:00,6.3,4.8,90.0,0.0,,326.0,6.8,,1012.9,,
2021-01-18 15:00:00,7.6,6.1,90.0,0.0,,314.0,8.3,,1013.0,,
2021-01-18 16:00:00,8.7,6.7,87.0,0.0,,312.0,11.5,,1013.4,,
2021-01-18 17:00:00,10.8,7.3,79.0,0.0,,308.0,7.9,,1013.8,,
2021-01-18 18:00:00,13.0,7.4,69.0,0.0,,295.0,6.1,,1014.5,,
2021-01-18 19:00:00,15.2,8.0,62.0,0.0,,278.0,6.5,,1014.0,,
2021-01-18 20:00:00,17.2,8.1,55.0,0.0,,308.0,10.4,,1013.6,,
2021-01-18 21:00:00,18.8,7.9,49.0,0.0,,313.0,8.3,,1012.6,,
2021-01-18 22:00:00,19.9,7.3,44.0,0.0,,310.0,9.0,,1012.0,,
