time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 21:00:00,22.0,11.1,50.0,0.0,,290.0,24.0,,1015.1,,1.0
2020-10-23 22:00:00,21.0,11.1,53.0,0.0,,300.0,24.0,,1014.8,,2.0
2020-10-23 23:00:00,20.0,11.0,56.0,0.0,,290.0,20.0,,1014.7,,2.0
2020-10-24 00:00:00,18.0,11.1,64.0,0.0,,310.0,22.0,,1014.5,,2.0
2020-10-24 01:00:00,17.0,11.1,68.0,0.0,,330.0,9.0,,1014.9,,2.0
2020-10-24 02:00:00,16.0,11.0,72.0,0.0,,320.0,9.0,,1015.3,,1.0
2020-10-24 03:00:00,16.0,11.0,72.0,0.0,,320.0,11.2,,1015.6,,1.0
2020-10-24 04:00:00,16.0,11.0,72.0,0.0,,340.0,7.6,,1015.7,,1.0
2020-10-24 05:00:00,15.0,10.0,72.0,0.0,,330.0,7.6,,1016.1,,1.0
2020-10-24 06:00:00,14.0,9.0,72.0,0.0,,310.0,9.4,,1016.3,,1.0
2020-10-24 07:00:00,13.0,9.1,77.0,0.0,,0.0,0.0,,1016.2,,1.0
2020-10-24 08:00:00,13.0,9.1,77.0,0.0,,60.0,5.4,,1016.0,,1.0
2020-10-24 09:00:00,13.0,9.1,77.0,0.0,,40.0,5.4,,1016.0,,1.0
2020-10-24 10:00:00,13.0,9.1,77.0,0.0,,0.0,0.0,,1016.2,,1.0
2020-10-24 11:00:00,14.0,10.0,77.0,0.0,,50.0,5.4,,1016.1,,1.0
2020-10-24 12:00:00,14.0,10.0,77.0,0.0,,60.0,5.4,,1016.1,,1.0
2020-10-24 13:00:00,15.0,11.0,77.0,0.0,,60.0,0.0,,1016.3,,1.0
2020-10-24 14:00:00,16.0,11.0,72.0,0.0,,140.0,7.0,,1016.2,,1.0
2020-10-24 15:00:00,16.0,12.0,77.0,0.0,,330.0,0.0,,1016.2,,5.0
2020-10-24 16:00:00,16.0,12.0,77.0,0.0,,230.0,0.0,,1016.7,,5.0
2020-10-24 17:00:00,17.0,12.1,73.0,0.0,,280.0,0.0,,1017.3,,1.0
2020-10-24 18:00:00,18.0,12.0,68.0,0.0,,310.0,9.0,,1017.0,,2.0
2020-10-24 19:00:00,20.0,12.0,60.0,0.0,,280.0,11.0,,1016.7,,2.0
2020-10-24 20:00:00,20.0,11.0,56.0,0.0,,300.0,6.0,,1015.8,,2.0
2020-10-24 21:00:00,22.0,11.1,50.0,0.0,,300.0,13.0,,1014.7,,2.0
2020-10-24 22:00:00,21.0,11.1,53.0,0.0,,310.0,22.0,,1013.9,,2.0
2020-10-24 23:00:00,19.0,12.0,64.0,0.0,,310.0,28.0,,1013.4,,2.0
2020-10-25 00:00:00,18.0,11.1,64.0,0.0,,310.0,20.0,,1013.6,,2.0
2020-10-25 01:00:00,17.0,11.1,68.0,0.0,,320.0,9.0,,1013.3,,2.0
2020-10-25 02:00:00,16.0,12.0,77.0,0.0,,330.0,9.0,,1013.2,,2.0
2020-10-25 03:00:00,16.0,12.0,77.0,0.0,,350.0,6.0,,1013.7,,2.0
2020-10-25 04:00:00,16.0,12.0,77.0,0.0,,260.0,18.4,,1013.4,,2.0
2020-10-25 05:00:00,17.0,12.1,73.0,0.0,,280.0,16.6,,1013.5,,3.0
2020-10-25 06:00:00,16.0,12.0,77.0,0.0,,270.0,16.6,,1013.9,,3.0
2020-10-25 07:00:00,16.0,11.0,72.0,0.0,,270.0,13.0,,1014.1,,2.0
2020-10-25 08:00:00,16.0,12.0,77.0,0.0,,270.0,13.0,,1013.9,,2.0
2020-10-25 09:00:00,16.0,12.0,77.0,0.0,,220.0,25.9,,1013.5,,2.0
2020-10-25 10:00:00,16.0,11.0,72.0,0.0,,210.0,14.8,,1013.3,,2.0
