time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-09 12:00:00,11.7,8.9,83.0,0.0,,60.0,7.6,,1017.5,,
2021-10-09 13:00:00,11.7,8.9,83.0,0.0,,50.0,7.6,,1017.9,,
2021-10-09 14:00:00,11.7,8.4,80.0,0.0,,0.0,0.0,,1018.2,,
2021-10-09 15:00:00,12.8,8.9,77.0,0.0,,50.0,13.0,,1018.7,,
2021-10-09 16:00:00,15.6,8.8,64.0,0.0,,50.0,11.2,,1018.6,,
2021-10-09 17:00:00,18.9,9.4,54.0,0.0,,0.0,0.0,,1018.7,,
2021-10-09 18:00:00,20.0,11.2,57.0,0.0,,230.0,9.4,,1018.6,,
2021-10-09 19:00:00,19.4,11.2,59.0,0.0,,250.0,13.0,,1018.6,,
2021-10-09 20:00:00,20.0,9.6,51.0,0.0,,250.0,14.8,,1018.0,,
2021-10-09 21:00:00,20.0,10.1,53.0,0.0,,270.0,16.6,,1017.3,,
2021-10-09 22:00:00,20.0,10.1,53.0,0.0,,250.0,16.6,,1016.7,,
2021-10-09 23:00:00,20.0,10.7,55.0,0.0,,270.0,16.6,,1016.5,,
2021-10-10 00:00:00,19.4,11.7,61.0,0.0,,260.0,18.4,,1015.8,,
2021-10-10 01:00:00,18.9,11.7,63.0,0.0,,260.0,13.0,,1015.9,,
2021-10-10 02:00:00,17.2,12.7,75.0,0.0,,290.0,7.6,,1016.0,,
2021-10-10 03:00:00,16.7,13.2,80.0,0.0,,290.0,9.4,,1016.1,,
2021-10-10 04:00:00,16.7,12.8,78.0,0.0,,340.0,5.4,,1016.6,,
2021-10-10 05:00:00,15.6,11.8,78.0,0.0,,0.0,0.0,,1016.8,,
2021-10-10 06:00:00,15.6,11.2,75.0,0.0,,0.0,0.0,,1016.9,,
2021-10-10 07:00:00,15.0,10.0,72.0,0.0,,40.0,9.4,,1017.0,,
2021-10-10 08:00:00,12.2,8.9,80.0,0.0,,0.0,0.0,,1017.1,,
2021-10-10 09:00:00,12.8,10.0,83.0,0.0,,110.0,6.0,,1017.0,,
2021-10-10 10:00:00,13.9,9.9,77.0,0.0,,110.0,5.4,,1016.7,,
2021-10-10 11:00:00,11.7,8.4,80.0,0.0,,60.0,9.4,,1016.2,,
2021-10-10 12:00:00,13.3,4.4,55.0,0.0,,60.0,13.0,,1016.0,,
2021-10-10 13:00:00,13.9,2.2,45.0,0.0,,40.0,11.2,,1016.4,,
2021-10-10 14:00:00,13.3,2.2,47.0,0.0,,30.0,13.0,,1016.4,,
2021-10-10 15:00:00,14.4,2.3,44.0,0.0,,50.0,9.4,,1016.8,,
2021-10-10 16:00:00,17.8,1.7,34.0,0.0,,46.0,7.6,,1017.2,,
2021-10-10 17:00:00,20.6,6.9,41.0,0.0,,0.0,0.0,,1017.2,,
2021-10-10 18:00:00,21.1,11.7,55.0,0.0,,230.0,7.6,,1017.1,,
2021-10-10 19:00:00,22.2,11.0,49.0,0.0,,240.0,9.4,,1016.5,,
2021-10-10 20:00:00,22.2,10.0,46.0,0.0,,240.0,7.6,,1015.8,,
2021-10-10 21:00:00,21.1,11.1,53.0,0.0,,240.0,13.0,,1015.1,,
2021-10-10 22:00:00,22.2,10.7,48.0,0.0,,240.0,11.2,,1014.3,,
2021-10-10 23:00:00,21.1,14.0,64.0,0.0,,240.0,22.3,,1013.7,,
2021-10-11 00:00:00,20.6,12.3,59.0,0.0,,290.0,16.6,,1013.1,,
2021-10-11 01:00:00,18.9,13.3,70.0,0.0,,250.0,14.8,,1012.9,,
2021-10-11 02:00:00,16.7,14.0,84.0,0.0,,280.0,9.4,,1012.4,,
2021-10-11 03:00:00,16.7,14.0,84.0,0.0,,300.0,5.4,,1012.5,,
2021-10-11 04:00:00,16.7,14.0,84.0,0.0,,0.0,0.0,,1012.3,,
2021-10-11 05:00:00,15.6,13.3,86.0,0.0,,0.0,0.0,,1012.2,,
2021-10-11 06:00:00,15.0,12.9,87.0,0.0,,90.0,5.4,,1011.5,,
2021-10-11 07:00:00,14.4,11.2,81.0,0.0,,60.0,5.4,,1011.4,,
2021-10-11 08:00:00,13.3,9.0,75.0,0.0,,360.0,7.6,,1011.1,,
2021-10-11 09:00:00,12.2,8.3,77.0,0.0,,0.0,0.0,,1010.8,,
2021-10-11 10:00:00,12.2,6.7,69.0,0.0,,100.0,5.4,,1010.1,,
2021-10-11 11:00:00,11.7,6.6,71.0,0.0,,80.0,7.6,,1009.6,,
2021-10-11 12:00:00,10.6,6.2,74.0,0.0,,70.0,7.6,,1009.4,,
2021-10-11 13:00:00,10.6,6.2,74.0,0.0,,70.0,7.6,,1009.4,,
2021-10-11 14:00:00,10.6,4.9,68.0,0.0,,50.0,7.6,,1009.0,,
2021-10-11 15:00:00,11.7,5.1,64.0,0.0,,70.0,9.4,,1008.5,,
2021-10-11 16:00:00,15.0,7.8,62.0,0.0,,70.0,9.4,,1008.5,,
2021-10-11 17:00:00,17.8,11.8,68.0,0.0,,160.0,5.4,,1008.3,,
2021-10-11 18:00:00,18.9,11.7,63.0,0.0,,250.0,5.4,,1007.7,,
2021-10-11 19:00:00,19.4,12.2,63.0,0.0,,250.0,20.5,,1007.5,,
2021-10-11 20:00:00,20.0,10.7,55.0,0.0,,260.0,16.6,,1006.3,,5.0
2021-10-11 21:00:00,21.7,9.9,47.0,0.0,,290.0,37.1,,1004.7,,
2021-10-11 22:00:00,21.1,10.6,51.0,0.0,,260.0,31.7,,1003.7,,
2021-10-11 23:00:00,21.7,6.8,38.0,0.0,,270.0,38.9,,1003.8,,5.0
2021-10-12 00:00:00,19.4,6.8,44.0,0.0,,290.0,50.0,,1004.1,,
2021-10-12 01:00:00,18.3,6.2,45.0,0.0,,300.0,38.9,,1004.9,,
2021-10-12 02:00:00,17.2,6.1,48.0,0.0,,310.0,31.7,,1005.7,,
2021-10-12 03:00:00,16.7,6.8,52.0,0.0,,300.0,31.7,,1007.0,,5.0
2021-10-12 04:00:00,16.1,6.2,52.0,0.0,,290.0,22.3,,1007.4,,
2021-10-12 05:00:00,15.6,6.6,55.0,0.0,,310.0,22.3,,1008.3,,
2021-10-12 06:00:00,15.6,6.1,53.0,0.0,,310.0,25.9,,1009.1,,
2021-10-12 07:00:00,15.6,5.5,51.0,0.0,,310.0,22.3,,1009.2,,
2021-10-12 08:00:00,15.0,4.4,49.0,0.0,,300.0,20.5,,1009.3,,
2021-10-12 09:00:00,13.9,5.0,55.0,0.0,,280.0,11.2,,1009.6,,
2021-10-12 10:00:00,14.4,4.9,53.0,0.0,,290.0,22.3,,1009.9,,
2021-10-12 11:00:00,13.9,3.4,49.0,0.0,,320.0,16.6,,1009.9,,
2021-10-12 12:00:00,14.4,1.0,40.0,0.0,,320.0,18.4,,1010.2,,
2021-10-12 13:00:00,13.9,1.8,44.0,0.0,,310.0,14.8,,1010.5,,
