time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-01-17 09:00:00,12.8,5.0,59.0,0.0,,0.0,0.0,,1016.9,,5.0
2021-01-17 10:00:00,11.1,4.3,63.0,0.0,,160.0,5.4,,1016.9,,
2021-01-17 11:00:00,11.1,3.9,61.0,0.0,,120.0,7.6,,1016.4,,
2021-01-17 12:00:00,10.6,3.8,63.0,0.0,,140.0,7.6,,1016.4,,5.0
2021-01-17 13:00:00,9.4,3.4,66.0,0.0,,0.0,0.0,,1016.5,,
2021-01-17 14:00:00,9.4,3.4,66.0,0.0,,140.0,5.4,,1017.0,,
2021-01-17 15:00:00,9.4,3.4,66.0,0.0,,190.0,5.4,,1017.4,,
2021-01-17 16:00:00,10.6,3.8,63.0,0.0,,150.0,5.4,,1017.4,,
2021-01-17 17:00:00,15.6,4.0,46.0,0.0,,0.0,0.0,,1017.7,,5.0
2021-01-17 18:00:00,18.9,5.0,40.0,0.0,,0.0,0.0,,1018.2,,5.0
2021-01-17 19:00:00,22.2,5.6,34.0,0.0,,0.0,0.0,,1017.8,,5.0
2021-01-17 20:00:00,25.0,4.2,26.0,0.0,,0.0,0.0,,1016.5,,5.0
2021-01-17 21:00:00,28.3,3.2,20.0,0.0,,360.0,5.4,,1015.4,,
2021-01-17 22:00:00,26.0,6.1,28.0,0.0,,290.0,14.8,,1014.7,,
2021-01-17 23:00:00,26.1,5.6,27.0,0.0,,290.0,20.5,,1014.7,,
2021-01-18 00:00:00,23.3,4.3,29.0,0.0,,300.0,13.0,,1014.6,,5.0
2021-01-18 01:00:00,20.6,4.6,35.0,0.0,,270.0,9.4,,1014.8,,5.0
2021-01-18 02:00:00,16.7,5.6,48.0,0.0,,0.0,0.0,,1015.0,,5.0
2021-01-18 03:00:00,15.0,5.5,53.0,0.0,,190.0,5.4,,1014.9,,5.0
2021-01-18 04:00:00,12.2,5.6,64.0,0.0,,100.0,11.2,,1014.9,,
2021-01-18 05:00:00,12.8,4.5,57.0,0.0,,0.0,0.0,,1015.0,,5.0
2021-01-18 06:00:00,10.6,3.4,61.0,0.0,,130.0,7.6,,1015.1,,
2021-01-18 07:00:00,11.1,3.4,59.0,0.0,,0.0,0.0,,1014.6,,
2021-01-18 08:00:00,10.0,3.3,63.0,0.0,,120.0,5.4,,1013.8,,
2021-01-18 09:00:00,10.0,3.3,63.0,0.0,,140.0,5.4,,1012.7,,
