time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-13 02:00:00,10.1,-9.1,25.0,0.0,,290.0,24.1,,1015.0,,
2021-10-13 03:00:00,9.3,-9.3,26.0,0.0,,300.0,22.3,,1015.0,,
2021-10-13 04:00:00,9.1,-9.4,26.0,0.0,,300.0,13.0,,1015.0,,
2021-10-13 05:00:00,8.7,-9.3,27.0,0.0,,280.0,16.6,,1015.0,,
2021-10-13 06:00:00,8.2,-9.7,27.0,0.0,,290.0,18.4,,1016.0,,
2021-10-13 07:00:00,7.7,-9.7,28.0,0.0,,300.0,16.6,,1016.0,,
2021-10-13 08:00:00,7.6,-9.8,28.0,0.0,,310.0,14.8,,1016.0,,
2021-10-13 09:00:00,6.6,-9.4,31.0,0.0,,314.0,7.6,,1016.0,,
2021-10-13 10:00:00,6.3,-9.6,31.0,0.0,,0.0,0.0,,1016.0,,
2021-10-13 11:00:00,6.2,-10.1,30.0,0.0,,0.0,0.0,,1016.0,,
2021-10-13 12:00:00,6.1,-10.2,30.0,0.0,,10.0,11.2,,1016.0,,5.0
2021-10-13 13:00:00,6.1,-10.6,29.0,0.0,,10.0,5.4,,1016.0,,5.0
2021-10-13 14:00:00,6.3,-10.5,29.0,0.0,,0.0,0.0,,1017.0,,5.0
2021-10-13 15:00:00,8.7,-10.8,24.0,0.0,,0.0,0.0,,1017.0,,5.0
2021-10-13 16:00:00,12.1,-10.9,19.0,0.0,,0.0,0.0,,1017.0,,
2021-10-13 17:00:00,13.7,-10.9,17.0,0.0,,0.0,0.0,,1017.0,,
2021-10-13 18:00:00,14.9,-10.7,16.0,0.0,,180.0,5.4,,1017.0,,
2021-10-13 19:00:00,16.0,-10.7,15.0,0.0,,0.0,0.0,,1016.0,,
2021-10-13 20:00:00,16.0,-10.7,15.0,0.0,,0.0,0.0,,1015.0,,
2021-10-13 21:00:00,18.0,-10.9,13.0,0.0,,170.0,11.2,,1014.0,,
2021-10-13 22:00:00,18.0,-10.9,13.0,0.0,,110.0,9.4,,1014.0,,
2021-10-13 23:00:00,20.0,-10.3,12.0,0.0,,300.0,25.9,,1013.0,,
2021-10-14 00:00:00,18.0,-9.1,15.0,0.0,,270.0,31.7,,1013.0,,
2021-10-14 01:00:00,17.0,-9.0,16.0,0.0,,290.0,29.5,,1013.0,,
2021-10-14 02:00:00,16.0,-9.1,17.0,0.0,,310.0,27.7,,1014.0,,
2021-10-14 03:00:00,15.0,-14.2,12.0,0.0,,300.0,37.1,,1014.0,,
2021-10-14 04:00:00,14.0,-13.1,14.0,0.0,,270.0,18.4,,1015.0,,
2021-10-14 05:00:00,14.0,-12.3,15.0,0.0,,0.0,0.0,,1015.0,,
2021-10-14 06:00:00,15.0,-9.9,17.0,0.0,,270.0,11.2,,1016.0,,
2021-10-14 07:00:00,14.0,-10.0,18.0,0.0,,320.0,7.6,,1016.0,,
2021-10-14 08:00:00,12.0,-9.7,21.0,0.0,,290.0,7.6,,1016.0,,
2021-10-14 09:00:00,11.0,-9.9,22.0,0.0,,280.0,16.6,,1016.0,,
2021-10-14 10:00:00,12.0,-9.7,21.0,0.0,,0.0,0.0,,1016.0,,
2021-10-14 11:00:00,12.0,-9.7,21.0,0.0,,0.0,0.0,,1016.0,,
2021-10-14 12:00:00,11.0,-7.8,26.0,0.0,,0.0,0.0,,1016.0,,
2021-10-14 13:00:00,11.0,-7.8,26.0,0.0,,240.0,5.4,,1017.0,,
2021-10-14 14:00:00,9.0,-8.1,29.0,0.0,,0.0,0.0,,1018.0,,
2021-10-14 15:00:00,11.0,-7.8,26.0,0.0,,10.0,13.0,,1018.0,,
2021-10-14 16:00:00,13.0,-8.2,22.0,0.0,,50.0,11.2,,1020.0,,
2021-10-14 17:00:00,14.0,-6.8,23.0,0.0,,60.0,7.6,,1020.0,,
2021-10-14 18:00:00,16.0,-7.0,20.0,0.0,,60.0,9.4,,1020.0,,
2021-10-14 19:00:00,19.0,-9.1,14.0,0.0,,50.0,25.9,,1020.0,,
2021-10-14 20:00:00,20.0,-9.3,13.0,0.0,,60.0,24.1,,1019.0,,
2021-10-14 21:00:00,19.3,-7.2,16.0,0.0,,71.0,13.3,,1019.0,,
2021-10-14 22:00:00,20.0,-7.4,15.0,0.0,,71.0,12.2,,1019.0,,
2021-10-14 23:00:00,22.0,-7.7,13.0,0.0,,100.0,16.6,,1019.0,,
2021-10-15 00:00:00,22.0,-7.7,13.0,0.0,,80.0,16.6,,1019.0,,
2021-10-15 01:00:00,21.0,-7.5,14.0,0.0,,50.0,9.4,,1019.0,,
2021-10-15 02:00:00,17.0,-9.0,16.0,0.0,,110.0,9.4,,1020.0,,
2021-10-15 03:00:00,15.0,-9.2,18.0,0.0,,360.0,11.2,,1020.0,,
2021-10-15 04:00:00,14.0,-9.3,19.0,0.0,,340.0,14.8,,1021.0,,
2021-10-15 05:00:00,14.0,-9.3,19.0,0.0,,10.0,14.8,,1021.0,,
2021-10-15 06:00:00,12.0,-9.1,22.0,0.0,,340.0,13.0,,1022.0,,
2021-10-15 07:00:00,11.0,-8.8,24.0,0.0,,330.0,14.8,,1022.0,,
2021-10-15 08:00:00,11.0,-7.8,26.0,0.0,,330.0,14.8,,1022.0,,
2021-10-15 09:00:00,11.0,-7.8,26.0,0.0,,340.0,9.4,,1022.0,,
2021-10-15 10:00:00,10.0,-8.2,27.0,0.0,,360.0,14.8,,1022.0,,
2021-10-15 11:00:00,11.0,-7.8,26.0,0.0,,60.0,5.4,,1023.0,,
2021-10-15 12:00:00,11.0,-8.8,24.0,0.0,,10.0,18.4,,1023.0,,
2021-10-15 13:00:00,10.0,-9.2,25.0,0.0,,20.0,11.2,,1024.0,,
2021-10-15 14:00:00,10.0,-9.2,25.0,0.0,,10.0,14.8,,1024.0,,
