time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2018-10-12 21:00:00,28.0,7.8,28.0,0.0,,340.0,5.4,,1009.1,,
2018-10-12 22:00:00,29.0,5.1,22.0,0.0,,270.0,20.5,,1008.2,,
2018-10-12 23:00:00,27.0,4.1,23.0,0.0,,280.0,22.3,,1007.9,,
2018-10-13 00:00:00,27.8,4.1,22.0,0.0,,290.0,16.6,,1007.8,,
2018-10-13 01:00:00,23.0,3.0,27.0,0.0,,260.0,14.8,,1007.8,,
2018-10-13 02:00:00,18.0,5.9,45.0,0.0,,180.0,5.4,,1008.1,,
2018-10-13 03:00:00,16.0,7.0,55.0,0.0,,140.0,7.6,,1008.6,,
2018-10-13 04:00:00,14.0,9.0,72.0,0.0,,310.0,7.6,,1008.8,,
2018-10-13 05:00:00,13.0,10.0,82.0,0.0,,190.0,0.0,,1009.2,,
2018-10-13 06:00:00,11.0,8.9,87.0,0.0,,,0.0,,1009.2,,
2018-10-13 07:00:00,12.0,9.0,82.0,0.0,,,0.0,,1009.4,,
2018-10-13 08:00:00,10.0,7.9,87.0,0.0,,250.0,0.0,,1009.4,,
2018-10-13 09:00:00,8.0,6.9,93.0,0.0,,,0.0,,1009.2,,
2018-10-13 10:00:00,9.0,7.9,93.0,0.0,,,0.0,,1009.1,,
2018-10-13 11:00:00,7.0,7.0,100.0,0.0,,,0.0,,1008.6,,
2018-10-13 12:00:00,6.0,6.0,100.0,0.0,,280.0,0.0,,1008.5,,
2018-10-13 13:00:00,6.0,6.0,100.0,0.0,,,0.0,,1008.8,,
2018-10-13 14:00:00,6.0,6.0,100.0,0.0,,,0.0,,1009.1,,
2018-10-13 15:00:00,7.0,7.0,100.0,0.0,,,0.0,,1009.3,,
2018-10-13 16:00:00,11.0,8.9,87.0,0.0,,,0.0,,1009.8,,
2018-10-13 17:00:00,16.0,9.0,63.0,0.0,,,0.0,,1009.9,,
2018-10-13 18:00:00,20.0,7.0,43.0,0.0,,170.0,0.0,,1010.0,,
2018-10-13 19:00:00,22.0,7.0,38.0,0.0,,200.0,0.0,,1009.7,,
2018-10-13 20:00:00,25.0,8.9,36.0,0.0,,180.0,0.0,,1009.2,,
2018-10-13 21:00:00,25.0,11.9,44.0,0.0,,300.0,14.8,,1008.7,,
2018-10-13 22:00:00,24.0,11.0,44.0,0.0,,310.0,14.8,,1008.5,,
2018-10-13 23:00:00,22.0,12.0,53.0,0.0,,310.0,13.0,,1008.6,,
2018-10-14 00:00:00,20.0,12.0,60.0,0.0,,300.0,16.6,,1008.7,,
2018-10-14 01:00:00,17.0,12.9,77.0,0.0,,290.0,16.6,,1008.7,,
2018-10-14 02:00:00,14.0,13.0,94.0,0.0,,300.0,9.4,,1009.1,,
2018-10-14 03:00:00,12.0,12.0,100.0,0.0,,150.0,5.4,,1009.5,,
2018-10-14 04:00:00,12.0,12.0,100.0,0.0,,140.0,7.6,,1009.8,,
2018-10-14 05:00:00,12.0,12.0,100.0,0.0,,140.0,7.6,,1010.0,,
2018-10-14 06:00:00,12.0,12.0,100.0,0.0,,160.0,5.4,,1010.2,,
2018-10-14 07:00:00,12.0,12.0,100.0,0.0,,,9.4,,1010.6,,
2018-10-14 08:00:00,12.0,12.0,100.0,0.0,,290.0,9.4,,1010.9,,
2018-10-14 09:00:00,12.0,12.0,100.0,0.0,,300.0,7.6,,1011.1,,
2018-10-14 10:00:00,12.0,12.0,100.0,0.0,,,0.0,,1011.1,,
2018-10-14 11:00:00,12.0,12.0,100.0,0.0,,,0.0,,1011.1,,
2018-10-14 12:00:00,12.0,12.0,100.0,0.0,,330.0,11.2,,1011.4,,
2018-10-14 13:00:00,11.0,11.0,100.0,0.0,,310.0,5.4,,1011.9,,
2018-10-14 14:00:00,11.0,11.0,100.0,0.0,,,0.0,,1012.3,,
2018-10-14 15:00:00,11.0,11.0,100.0,0.0,,260.0,0.0,,1013.0,,
2018-10-14 16:00:00,11.0,11.0,100.0,0.0,,300.0,7.6,,1013.9,,
2018-10-14 17:00:00,12.0,11.1,94.0,0.0,,160.0,0.0,,1014.4,,
2018-10-14 18:00:00,15.0,11.0,77.0,0.0,,,7.6,,1014.6,,
2018-10-14 19:00:00,17.0,11.1,68.0,0.0,,250.0,11.2,,1014.2,,
2018-10-14 20:00:00,21.0,8.9,46.0,0.0,,200.0,7.6,,1013.9,,
2018-10-14 21:00:00,23.0,10.1,44.0,0.0,,,7.6,,1013.3,,
2018-10-14 22:00:00,23.0,12.0,50.0,0.0,,270.0,14.8,,1012.8,,
2018-10-14 23:00:00,23.0,11.1,47.0,0.0,,260.0,11.2,,1012.7,,
2018-10-15 00:00:00,22.0,11.1,50.0,0.0,,270.0,13.0,,1012.9,,
2018-10-15 01:00:00,19.0,11.1,60.0,0.0,,280.0,11.2,,1012.9,,
2018-10-15 02:00:00,15.0,11.0,77.0,0.0,,200.0,7.6,,1013.3,,
2018-10-15 03:00:00,13.0,11.1,88.0,0.0,,40.0,5.4,,1014.1,,
2018-10-15 04:00:00,12.0,9.0,82.0,0.0,,10.0,0.0,,1014.3,,
2018-10-15 05:00:00,18.0,-6.0,19.0,0.0,,20.0,0.0,,1014.5,,
2018-10-15 06:00:00,15.0,-2.9,29.0,0.0,,80.0,13.0,,1014.7,,
2018-10-15 07:00:00,20.0,-8.3,14.0,0.0,,,9.4,,1015.3,,
2018-10-15 08:00:00,20.0,-10.3,12.0,0.0,,40.0,13.0,,1015.7,,
2018-10-15 09:00:00,20.0,-11.4,11.0,0.0,,,9.4,,1016.7,,
2018-10-15 10:00:00,17.0,-9.9,15.0,0.0,,230.0,7.6,,1016.5,,
2018-10-15 11:00:00,17.0,-9.9,15.0,0.0,,170.0,9.4,,1016.9,,
2018-10-15 12:00:00,12.0,-6.0,28.0,0.0,,,0.0,,1017.3,,
2018-10-15 13:00:00,14.0,-6.8,23.0,0.0,,280.0,11.2,,1017.4,,
2018-10-15 14:00:00,10.0,-5.2,34.0,0.0,,290.0,0.0,,1018.2,,
2018-10-15 15:00:00,9.0,-3.9,40.0,0.0,,,0.0,,1018.8,,
2018-10-15 16:00:00,15.0,-2.0,31.0,0.0,,310.0,0.0,,1019.6,,
2018-10-15 17:00:00,20.0,-3.0,21.0,0.0,,230.0,7.6,,1019.7,,
2018-10-15 18:00:00,23.0,-4.2,16.0,0.0,,,0.0,,1019.6,,
2018-10-15 19:00:00,25.0,-6.4,12.0,0.0,,170.0,13.0,,1019.2,,
2018-10-15 20:00:00,27.0,-6.0,11.0,0.0,,160.0,16.6,,1018.9,,
2018-10-15 21:00:00,27.8,-5.4,11.0,0.0,,,5.4,,1018.2,,
2018-10-15 22:00:00,28.0,-7.8,9.0,0.0,,250.0,9.4,,1017.7,,
2018-10-15 23:00:00,28.0,-7.8,9.0,0.0,,150.0,9.4,,1017.5,,
2018-10-16 00:00:00,23.0,-1.2,20.0,0.0,,320.0,9.4,,1017.2,,
2018-10-16 01:00:00,21.0,-2.8,20.0,0.0,,200.0,0.0,,1017.6,,
2018-10-16 02:00:00,17.0,-2.1,27.0,0.0,,320.0,5.4,,1017.8,,
2018-10-16 03:00:00,15.0,-1.2,33.0,0.0,,150.0,0.0,,1018.2,,
2018-10-16 04:00:00,11.0,0.1,47.0,0.0,,,0.0,,1018.4,,
2018-10-16 05:00:00,10.0,1.1,54.0,0.0,,340.0,7.6,,1018.4,,
2018-10-16 06:00:00,10.0,1.1,54.0,0.0,,290.0,0.0,,1018.6,,
2018-10-16 07:00:00,9.0,2.1,62.0,0.0,,320.0,0.0,,1018.4,,
2018-10-16 08:00:00,9.0,0.9,57.0,0.0,,290.0,0.0,,1018.3,,
2018-10-16 09:00:00,8.0,0.9,61.0,0.0,,90.0,0.0,,1018.1,,
2018-10-16 10:00:00,5.0,0.0,70.0,0.0,,,0.0,,1018.0,,
2018-10-16 11:00:00,5.0,0.0,70.0,0.0,,,0.0,,1018.0,,
2018-10-16 12:00:00,5.0,0.9,75.0,0.0,,,0.0,,1018.2,,
2018-10-16 13:00:00,4.0,1.0,81.0,0.0,,,0.0,,1018.3,,
2018-10-16 14:00:00,3.0,0.1,81.0,0.0,,150.0,0.0,,1018.3,,
2018-10-16 15:00:00,4.0,1.0,81.0,0.0,,,0.0,,1018.5,,
2018-10-16 16:00:00,10.0,3.1,62.0,0.0,,,0.0,,1018.9,,
2018-10-16 17:00:00,15.0,3.2,45.0,0.0,,,0.0,,1018.9,,
2018-10-16 18:00:00,18.0,-0.8,28.0,0.0,,,0.0,,1018.4,,
2018-10-16 19:00:00,22.0,-4.2,17.0,0.0,,,0.0,,1017.8,,
2018-10-16 20:00:00,26.0,-1.8,16.0,0.0,,200.0,0.0,,1017.3,,
2018-10-16 21:00:00,28.0,-1.0,15.0,0.0,,260.0,18.4,,1016.1,,
2018-10-16 22:00:00,26.0,3.3,23.0,0.0,,290.0,16.6,,1015.3,,
2018-10-16 23:00:00,25.0,4.2,26.0,0.0,,320.0,11.2,,1015.1,,
2018-10-17 00:00:00,22.0,2.1,27.0,0.0,,310.0,11.2,,1015.1,,
2018-10-17 01:00:00,18.0,7.1,49.0,0.0,,140.0,5.4,,1015.3,,
2018-10-17 02:00:00,14.0,8.0,67.0,0.0,,150.0,5.4,,1015.7,,
2018-10-17 03:00:00,12.0,9.0,82.0,0.0,,150.0,5.4,,1016.2,,
2018-10-17 04:00:00,11.0,11.0,100.0,0.0,,330.0,7.6,,1016.2,,
2018-10-17 05:00:00,10.0,10.0,100.0,0.0,,340.0,5.4,,1016.7,,
2018-10-17 06:00:00,11.0,11.0,100.0,0.0,,,0.0,,1016.7,,
2018-10-17 07:00:00,12.0,12.0,100.0,0.0,,320.0,5.4,,1016.9,,
2018-10-17 08:00:00,12.0,12.0,100.0,0.0,,340.0,7.6,,1016.7,,
