time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 18:00:00,23.3,1.0,23.0,0.0,,330.0,24.1,,1018.8,,
2019-10-24 19:00:00,27.1,-0.1,17.0,0.0,,330.0,18.4,,1018.5,,
2019-10-24 20:00:00,29.4,-1.9,13.0,0.0,,320.0,24.1,,1017.8,,
2019-10-24 21:00:00,31.0,-0.6,13.0,0.0,,310.0,25.9,,1017.1,,5.0
2019-10-24 22:00:00,29.9,-2.6,12.0,0.0,,320.0,29.5,,1016.8,,
2019-10-24 23:00:00,28.9,-1.3,14.0,0.0,,330.0,27.7,,1016.8,,0.0
2019-10-25 00:00:00,27.8,2.1,19.0,0.0,,320.0,16.6,,1016.5,,
2019-10-25 01:00:00,24.5,2.6,24.0,,,360.0,7.6,,1016.5,,
2019-10-25 02:00:00,21.1,1.4,27.0,0.0,,340.0,0.0,,1016.5,,
2019-10-25 03:00:00,19.2,0.7,29.0,0.0,,110.0,5.4,,1017.2,,
2019-10-25 04:00:00,15.9,-0.4,33.0,0.0,,90.0,7.6,,1017.2,,
2019-10-25 05:00:00,16.4,-0.3,32.0,0.0,,40.0,0.0,,1017.9,,
2019-10-25 06:00:00,14.0,0.3,39.0,0.0,,50.0,0.0,,1018.2,,
2019-10-25 07:00:00,15.0,0.0,36.0,,,120.0,5.4,,1018.5,,
2019-10-25 08:00:00,14.9,0.0,36.0,,,110.0,7.6,,1018.5,,
2019-10-25 09:00:00,11.3,1.2,50.0,0.0,,30.0,0.0,,1018.8,,
2019-10-25 10:00:00,9.9,-0.3,49.0,0.0,,40.0,0.0,,1019.2,,5.0
2019-10-25 11:00:00,11.3,0.1,46.0,0.0,,120.0,0.0,,1018.9,,5.0
2019-10-25 12:00:00,10.1,-0.4,48.0,0.0,,120.0,5.4,,1018.9,,
2019-10-25 13:00:00,8.8,-1.6,48.0,0.0,,320.0,0.0,,1019.2,,
2019-10-25 14:00:00,8.9,1.1,58.0,0.0,,30.0,0.0,,1019.6,,
2019-10-25 15:00:00,10.1,-1.3,45.0,0.0,,40.0,0.0,,1019.6,,
2019-10-25 16:00:00,16.1,1.0,36.0,0.0,,350.0,5.4,,1020.2,,
2019-10-25 17:00:00,22.6,-0.2,22.0,0.0,,310.0,0.0,,1020.2,,
2019-10-25 18:00:00,25.8,-0.3,18.0,0.0,,310.0,7.6,,1019.5,,
2019-10-25 19:00:00,26.0,2.6,22.0,0.0,,280.0,13.0,,1019.2,,
2019-10-25 20:00:00,27.6,1.9,19.0,0.0,,270.0,9.4,,1018.2,,5.0
