time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 02:00:00,21.1,7.7,42.0,0.0,,190.0,7.6,,1013.7,,
2019-10-07 03:00:00,20.6,6.5,40.0,0.0,,320.0,5.4,,1014.2,,
2019-10-07 04:00:00,16.1,5.1,48.0,0.0,,,0.0,,1014.4,,
2019-10-07 05:00:00,15.6,4.0,46.0,0.0,,,0.0,,1014.6,,
2019-10-07 06:00:00,15.0,4.9,51.0,0.0,,40.0,9.4,,1014.7,,
2019-10-07 07:00:00,11.1,3.9,61.0,0.0,,,0.0,,1014.4,,
2019-10-07 08:00:00,10.6,3.8,63.0,0.0,,,0.0,,1014.5,,
2019-10-07 09:00:00,11.1,4.3,63.0,0.0,,,0.0,,1014.6,,
2019-10-07 10:00:00,10.0,4.4,68.0,0.0,,,0.0,,1014.4,,
2019-10-07 11:00:00,10.0,3.9,66.0,0.0,,,0.0,,1014.0,,
2019-10-07 12:00:00,10.0,3.9,66.0,0.0,,,0.0,,1014.0,,
2019-10-07 13:00:00,12.8,5.0,59.0,0.0,,30.0,5.4,,1014.1,,
2019-10-07 14:00:00,11.1,4.3,63.0,0.0,,,0.0,,1014.7,,
2019-10-07 15:00:00,11.1,5.0,66.0,0.0,,,0.0,,1014.7,,
2019-10-07 16:00:00,17.8,5.7,45.0,0.0,,,0.0,,1015.1,,
2019-10-07 17:00:00,21.1,6.2,38.0,0.0,,300.0,5.4,,1015.1,,
2019-10-07 18:00:00,25.0,4.2,26.0,0.0,,,5.4,,1014.8,,
2019-10-07 19:00:00,26.1,4.5,25.0,0.0,,230.0,9.4,,1014.3,,
2019-10-07 20:00:00,27.2,6.0,26.0,0.0,,250.0,11.2,,1013.6,,
2019-10-07 21:00:00,28.9,7.5,26.0,0.0,,230.0,13.0,,1012.6,,
2019-10-07 22:00:00,28.9,8.0,27.0,0.0,,240.0,14.8,,1011.8,,
2019-10-07 23:00:00,30.0,6.0,22.0,0.0,,230.0,14.8,,1011.6,,
2019-10-08 00:00:00,29.4,4.8,21.0,0.0,,230.0,13.0,,1011.0,,
2019-10-08 01:00:00,26.7,8.2,31.0,0.0,,200.0,14.8,,1010.6,,
2019-10-08 02:00:00,21.7,9.9,47.0,0.0,,150.0,7.6,,1011.0,,
2019-10-08 03:00:00,19.4,9.0,51.0,0.0,,140.0,7.6,,1011.1,,
2019-10-08 04:00:00,17.2,7.3,52.0,0.0,,150.0,9.4,,1011.5,,
2019-10-08 05:00:00,16.7,7.9,56.0,0.0,,150.0,7.6,,1011.4,,
2019-10-08 06:00:00,16.1,7.3,56.0,0.0,,160.0,5.4,,1011.4,,
2019-10-08 07:00:00,14.4,7.2,62.0,0.0,,130.0,5.4,,1011.4,,
2019-10-08 08:00:00,12.0,9.0,82.0,0.0,,340.0,0.0,,1011.4,,
2019-10-08 09:00:00,10.0,7.9,87.0,0.0,,,0.0,,1011.6,,
2019-10-08 10:00:00,9.0,5.9,81.0,0.0,,,0.0,,1011.2,,
2019-10-08 11:00:00,9.0,7.0,87.0,0.0,,20.0,0.0,,1010.6,,
2019-10-08 12:00:00,9.0,7.0,87.0,0.0,,10.0,0.0,,1010.6,,
2019-10-08 13:00:00,8.0,8.0,100.0,0.0,,20.0,0.0,,1010.6,,
2019-10-08 14:00:00,7.0,7.0,100.0,0.0,,10.0,0.0,,1010.8,,
2019-10-08 15:00:00,9.0,7.9,93.0,0.0,,330.0,7.6,,1010.9,,
2019-10-08 16:00:00,14.0,9.0,72.0,0.0,,360.0,0.0,,1011.3,,
2019-10-08 17:00:00,18.0,8.0,52.0,0.0,,,0.0,,1011.4,,
2019-10-08 18:00:00,21.0,7.9,43.0,0.0,,,0.0,,1011.2,,
2019-10-08 19:00:00,25.0,7.2,32.0,0.0,,320.0,5.4,,1011.1,,
2019-10-08 20:00:00,28.0,6.1,25.0,0.0,,180.0,0.0,,1010.3,,
2019-10-08 21:00:00,27.0,8.9,32.0,0.0,,260.0,18.4,,1009.7,,
2019-10-08 22:00:00,27.0,8.0,30.0,0.0,,300.0,13.0,,1009.1,,
2019-10-08 23:00:00,25.0,8.9,36.0,0.0,,300.0,13.0,,1008.9,,
2019-10-09 00:00:00,23.0,10.1,44.0,0.0,,280.0,11.2,,1008.3,,
2019-10-09 01:00:00,21.0,11.9,56.0,0.0,,190.0,9.4,,1008.0,,
2019-10-09 02:00:00,18.0,12.0,68.0,0.0,,300.0,5.4,,1008.2,,
2019-10-09 03:00:00,16.0,12.0,77.0,0.0,,10.0,0.0,,1008.6,,
2019-10-09 04:00:00,15.0,12.0,82.0,0.0,,200.0,0.0,,1008.9,,
2019-10-09 05:00:00,15.0,11.0,77.0,0.0,,320.0,5.4,,1009.1,,
2019-10-09 06:00:00,16.0,10.1,68.0,0.0,,300.0,9.4,,1009.4,,
2019-10-09 07:00:00,14.0,9.0,72.0,0.0,,320.0,7.6,,1009.2,,
2019-10-09 08:00:00,12.0,9.0,82.0,0.0,,280.0,9.4,,1009.0,,
2019-10-09 09:00:00,12.0,8.1,77.0,0.0,,300.0,11.2,,1009.3,,
2019-10-09 10:00:00,10.0,7.1,82.0,0.0,,300.0,5.4,,1009.7,,
2019-10-09 11:00:00,10.0,7.1,82.0,0.0,,300.0,7.6,,1009.8,,
2019-10-09 12:00:00,9.0,5.9,81.0,0.0,,280.0,14.8,,1010.2,,
2019-10-09 13:00:00,9.0,5.9,81.0,0.0,,250.0,9.4,,1010.6,,
2019-10-09 14:00:00,6.0,5.0,93.0,0.0,,130.0,0.0,,1011.1,,
2019-10-09 15:00:00,7.0,5.0,87.0,0.0,,10.0,0.0,,1011.7,,
2019-10-09 16:00:00,13.0,5.9,62.0,0.0,,320.0,0.0,,1012.5,,
2019-10-09 17:00:00,16.0,4.1,45.0,0.0,,290.0,9.4,,1013.1,,
2019-10-09 18:00:00,18.0,3.1,37.0,0.0,,10.0,9.4,,1012.8,,
2019-10-09 19:00:00,20.0,2.8,32.0,0.0,,190.0,7.6,,1012.3,,
2019-10-09 20:00:00,23.0,0.7,23.0,0.0,,250.0,11.2,,1011.8,,
2019-10-09 21:00:00,24.0,1.0,22.0,0.0,,270.0,11.2,,1011.0,,
2019-10-09 22:00:00,24.0,2.8,25.0,0.0,,260.0,16.6,,1010.5,,
2019-10-09 23:00:00,24.0,2.8,25.0,0.0,,270.0,18.4,,1010.2,,
2019-10-10 00:00:00,22.0,4.1,31.0,0.0,,260.0,16.6,,1010.0,,
2019-10-10 01:00:00,20.0,4.1,35.0,0.0,,280.0,11.2,,1010.2,,
2019-10-10 02:00:00,16.0,4.1,45.0,0.0,,20.0,0.0,,1010.6,,
2019-10-10 03:00:00,12.0,4.0,58.0,0.0,,330.0,0.0,,1010.8,,
2019-10-10 04:00:00,11.0,4.0,62.0,0.0,,350.0,0.0,,1011.4,,
2019-10-10 05:00:00,10.0,3.9,66.0,0.0,,360.0,0.0,,1011.2,,
2019-10-10 06:00:00,7.0,1.9,70.0,0.0,,340.0,0.0,,1012.4,,
2019-10-10 07:00:00,8.0,2.0,66.0,0.0,,20.0,0.0,,1012.6,,
2019-10-10 08:00:00,8.0,-2.1,49.0,0.0,,350.0,0.0,,1012.6,,
2019-10-10 09:00:00,9.0,-3.9,40.0,0.0,,190.0,5.4,,1012.7,,
2019-10-10 10:00:00,15.0,-11.5,15.0,0.0,,340.0,11.2,,1012.9,,
2019-10-10 11:00:00,16.1,-11.4,14.0,0.0,,360.0,25.9,,1012.6,,
2019-10-10 12:00:00,13.3,-12.8,15.0,0.0,,10.0,7.6,,1013.2,,
2019-10-10 13:00:00,15.0,-13.2,13.0,0.0,,20.0,18.4,,1013.4,,
2019-10-10 14:00:00,14.4,-13.7,13.0,0.0,,40.0,29.5,,1013.6,,
2019-10-10 15:00:00,15.0,-13.2,13.0,0.0,,20.0,20.5,,1014.0,,
2019-10-10 16:00:00,17.8,-12.0,12.0,0.0,,10.0,11.2,,1014.9,,
2019-10-10 17:00:00,20.6,-13.4,9.0,0.0,,10.0,24.1,,1014.9,,
2019-10-10 18:00:00,22.8,-14.9,7.0,0.0,,20.0,27.7,,1014.9,,
2019-10-10 19:00:00,25.0,-13.2,7.0,0.0,,20.0,0.0,,1014.8,,
2019-10-10 20:00:00,26.0,-10.8,8.0,0.0,,350.0,0.0,,1014.5,,
2019-10-10 21:00:00,26.0,-12.5,7.0,0.0,,50.0,11.2,,1013.8,,
2019-10-10 22:00:00,27.0,-11.8,7.0,0.0,,50.0,18.4,,1013.4,,
2019-10-10 23:00:00,27.0,-13.7,6.0,0.0,,50.0,14.8,,1013.1,,
2019-10-11 00:00:00,23.0,-8.0,12.0,0.0,,260.0,18.4,,1012.8,,
