time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-08-15 20:00:00,28.0,15.0,45.0,0.0,,300.0,11.2,,1014.0,,5.0
2021-08-15 21:00:00,28.0,15.0,45.0,0.0,,280.0,20.5,,1013.0,,5.0
2021-08-15 22:00:00,26.0,15.1,51.0,0.0,,300.0,13.0,,1013.0,,5.0
2021-08-15 23:00:00,25.0,14.2,51.0,0.0,,280.0,14.8,,1012.0,,5.0
2021-08-16 00:00:00,24.0,14.1,54.0,0.0,,270.0,18.4,,1012.0,,5.0
2021-08-16 01:00:00,22.0,14.1,61.0,0.0,,290.0,14.8,,1011.0,,5.0
2021-08-16 02:00:00,20.0,13.9,68.0,0.0,,300.0,13.0,,1011.0,,5.0
2021-08-16 03:00:00,18.0,14.1,78.0,0.0,,320.0,5.4,,1011.0,,5.0
2021-08-16 04:00:00,16.0,12.9,82.0,0.0,,330.0,7.6,,1012.0,,5.0
2021-08-16 05:00:00,16.0,12.9,82.0,0.0,,330.0,7.6,,1012.0,,5.0
2021-08-16 06:00:00,15.0,13.0,88.0,0.0,,330.0,9.4,,1012.0,,5.0
2021-08-16 07:00:00,15.0,13.0,88.0,0.0,,340.0,7.6,,1012.0,,5.0
2021-08-16 08:00:00,14.0,13.0,94.0,0.0,,330.0,5.4,,1011.0,,5.0
2021-08-16 09:00:00,14.0,13.0,94.0,0.0,,0.0,0.0,,1011.0,,5.0
2021-08-16 10:00:00,13.0,12.1,94.0,0.0,,0.0,0.0,,1011.0,,5.0
2021-08-16 11:00:00,13.0,12.1,94.0,0.0,,0.0,0.0,,1011.0,,5.0
2021-08-16 12:00:00,13.0,12.1,94.0,0.0,,0.0,0.0,,1011.0,,5.0
2021-08-16 13:00:00,12.0,12.0,100.0,0.0,,0.0,0.0,,1011.0,,5.0
2021-08-16 14:00:00,13.0,12.1,94.0,0.0,,0.0,0.0,,1011.0,,5.0
2021-08-16 15:00:00,14.0,13.0,94.0,0.0,,272.0,5.8,,1011.0,,5.0
2021-08-16 16:00:00,17.0,12.9,77.0,0.0,,0.0,0.0,,1011.0,,5.0
2021-08-16 17:00:00,20.0,13.0,64.0,0.0,,0.0,0.0,,1010.0,,
2021-08-16 18:00:00,24.0,14.1,54.0,0.0,,0.0,0.0,,1010.0,,
2021-08-16 19:00:00,29.0,12.8,37.0,0.0,,0.0,0.0,,1009.0,,
2021-08-16 20:00:00,31.0,14.2,36.0,0.0,,320.0,9.4,,1008.0,,5.0
2021-08-16 21:00:00,31.0,10.9,29.0,0.0,,290.0,13.0,,1008.0,,5.0
2021-08-16 22:00:00,30.0,11.0,31.0,0.0,,240.0,14.8,,1007.0,,5.0
2021-08-16 23:00:00,30.0,11.0,31.0,0.0,,270.0,16.6,,1007.0,,
2021-08-17 00:00:00,29.0,10.2,31.0,0.0,,270.0,22.3,,1006.0,,
2021-08-17 01:00:00,27.0,11.1,37.0,0.0,,260.0,18.4,,1006.0,,
2021-08-17 02:00:00,24.0,11.0,44.0,0.0,,260.0,18.4,,1007.0,,
2021-08-17 03:00:00,19.0,12.0,64.0,0.0,,290.0,18.4,,1008.0,,
2021-08-17 04:00:00,17.0,11.9,72.0,0.0,,310.0,11.2,,1008.0,,
2021-08-17 05:00:00,16.0,12.0,77.0,0.0,,269.0,5.4,,1008.0,,
2021-08-17 06:00:00,15.0,12.0,82.0,0.0,,0.0,0.0,,1008.0,,
2021-08-17 07:00:00,15.0,12.0,82.0,0.0,,340.0,9.4,,1008.0,,
2021-08-17 08:00:00,15.0,12.0,82.0,0.0,,330.0,7.6,,1008.0,,
2021-08-17 09:00:00,14.0,12.0,88.0,0.0,,0.0,0.0,,1008.0,,
2021-08-17 10:00:00,13.0,11.1,88.0,0.0,,0.0,0.0,,1008.0,,
2021-08-17 11:00:00,13.0,11.1,88.0,0.0,,0.0,0.0,,1008.0,,
2021-08-17 12:00:00,13.0,11.1,88.0,0.0,,0.0,0.0,,1008.0,,
2021-08-17 13:00:00,13.0,11.1,88.0,0.0,,0.0,0.0,,1009.0,,
2021-08-17 14:00:00,13.0,11.1,88.0,0.0,,0.0,0.0,,1009.0,,
2021-08-17 15:00:00,14.0,12.0,88.0,0.0,,0.0,0.0,,1009.0,,
2021-08-17 16:00:00,16.0,12.0,77.0,0.0,,140.0,7.6,,1010.0,,
2021-08-17 17:00:00,18.0,12.0,68.0,0.0,,140.0,7.6,,1010.0,,
2021-08-17 18:00:00,21.0,12.9,60.0,0.0,,170.0,9.4,,1009.0,,
2021-08-17 19:00:00,24.0,12.9,50.0,0.0,,170.0,11.2,,1008.0,,
2021-08-17 20:00:00,26.0,13.2,45.0,0.0,,170.0,11.2,,1008.0,,
2021-08-17 21:00:00,26.0,14.1,48.0,0.0,,250.0,7.6,,1007.0,,
2021-08-17 22:00:00,29.0,11.1,33.0,0.0,,250.0,16.6,,1007.0,,
2021-08-17 23:00:00,26.0,10.2,37.0,0.0,,270.0,18.4,,1006.0,,
2021-08-18 00:00:00,25.0,10.1,39.0,0.0,,250.0,13.0,,1005.0,,
2021-08-18 01:00:00,24.0,9.9,41.0,0.0,,230.0,9.4,,1005.0,,
2021-08-18 02:00:00,23.0,10.1,44.0,0.0,,220.0,13.0,,1006.0,,
2021-08-18 03:00:00,20.0,10.1,53.0,0.0,,210.0,9.4,,1006.0,,
2021-08-18 04:00:00,18.0,12.0,68.0,0.0,,0.0,0.0,,1007.0,,
2021-08-18 05:00:00,16.0,12.0,77.0,0.0,,140.0,7.6,,1008.0,,
2021-08-18 06:00:00,16.0,12.0,77.0,0.0,,140.0,13.0,,1008.0,,
2021-08-18 07:00:00,15.0,12.0,82.0,0.0,,0.0,0.0,,1008.0,,
2021-08-18 08:00:00,13.0,11.1,88.0,0.0,,0.0,0.0,,1008.0,,
2021-08-18 09:00:00,13.0,10.0,82.0,0.0,,0.0,0.0,,1009.0,,
2021-08-18 10:00:00,12.0,9.0,82.0,0.0,,0.0,0.0,,1009.0,,
2021-08-18 11:00:00,12.0,10.1,88.0,0.0,,0.0,0.0,,1009.0,,5.0
2021-08-18 12:00:00,11.0,10.1,94.0,0.0,,0.0,0.0,,1010.0,,5.0
2021-08-18 13:00:00,11.0,9.1,88.0,0.0,,0.0,0.0,,1010.0,,5.0
