time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-08 00:00:00,30.0,12.9,35.0,0.0,,240.0,20.5,,1011.1,,
2019-10-08 01:00:00,28.3,5.2,23.0,0.0,,260.0,22.3,,1011.0,,
2019-10-08 02:00:00,22.8,4.8,31.0,0.0,,270.0,13.0,,1011.5,,
2019-10-08 03:00:00,21.1,1.9,28.0,0.0,,270.0,11.2,,1011.8,,
2019-10-08 04:00:00,21.1,2.8,30.0,0.0,,,0.0,,1012.2,,
2019-10-08 05:00:00,18.9,4.3,38.0,0.0,,,0.0,,1012.4,,
2019-10-08 06:00:00,19.4,5.1,39.0,0.0,,40.0,0.0,,1012.4,,
2019-10-08 07:00:00,15.0,4.4,49.0,0.0,,270.0,5.4,,1012.4,,
2019-10-08 08:00:00,16.1,5.7,50.0,0.0,,60.0,0.0,,1011.9,,
2019-10-08 09:00:00,13.3,6.2,62.0,0.0,,50.0,0.0,,1011.9,,
2019-10-08 10:00:00,13.3,6.2,62.0,0.0,,160.0,0.0,,1011.5,,
2019-10-08 11:00:00,10.6,6.7,77.0,0.0,,40.0,0.0,,1011.1,,
2019-10-08 12:00:00,11.7,7.2,74.0,0.0,,40.0,0.0,,1011.1,,
2019-10-08 13:00:00,11.7,6.2,69.0,0.0,,280.0,5.4,,1011.4,,
2019-10-08 14:00:00,10.0,5.6,74.0,0.0,,,0.0,,1011.8,,
2019-10-08 15:00:00,13.9,7.9,67.0,0.0,,40.0,0.0,,1012.1,,
2019-10-08 16:00:00,18.3,7.1,48.0,0.0,,20.0,0.0,,1012.5,,
2019-10-08 17:00:00,22.2,7.2,38.0,0.0,,,0.0,,1012.6,,
2019-10-08 18:00:00,25.0,5.7,29.0,0.0,,,0.0,,1012.2,,
2019-10-08 19:00:00,27.8,3.5,21.0,0.0,,,0.0,,1011.7,,
2019-10-08 20:00:00,30.0,3.9,19.0,0.0,,240.0,7.6,,1010.9,,
2019-10-08 21:00:00,30.6,4.4,19.0,0.0,,240.0,14.8,,1010.0,,
2019-10-08 22:00:00,31.1,6.2,21.0,0.0,,260.0,24.1,,1009.5,,
2019-10-08 23:00:00,30.6,5.1,20.0,0.0,,240.0,20.5,,1009.4,,
2019-10-09 00:00:00,29.4,4.1,20.0,0.0,,230.0,20.5,,1009.1,,
2019-10-09 01:00:00,26.1,5.6,27.0,0.0,,240.0,18.4,,1009.4,,
2019-10-09 02:00:00,22.2,8.0,40.0,0.0,,290.0,9.4,,1010.1,,
2019-10-09 03:00:00,20.6,9.5,49.0,0.0,,310.0,14.8,,1010.4,,
2019-10-09 04:00:00,19.4,7.8,47.0,0.0,,310.0,11.2,,1010.6,,
2019-10-09 05:00:00,17.2,8.3,56.0,0.0,,250.0,0.0,,1011.0,,
2019-10-09 06:00:00,17.2,11.7,70.0,0.0,,230.0,0.0,,1011.4,,
2019-10-09 07:00:00,15.6,12.7,83.0,0.0,,,0.0,,1011.2,,
2019-10-09 08:00:00,14.4,11.7,84.0,0.0,,,0.0,,1010.9,,
2019-10-09 09:00:00,14.4,11.7,84.0,0.0,,100.0,5.4,,1011.0,,
2019-10-09 10:00:00,12.8,11.0,89.0,0.0,,,0.0,,1010.8,,
2019-10-09 11:00:00,12.8,11.0,89.0,0.0,,40.0,5.4,,1010.9,,
2019-10-09 12:00:00,11.7,10.6,93.0,0.0,,,0.0,,1011.0,,
2019-10-09 13:00:00,11.7,11.1,96.0,0.0,,,0.0,,1011.1,,
2019-10-09 14:00:00,13.3,12.8,97.0,0.0,,,0.0,,1011.4,,
2019-10-09 15:00:00,13.3,12.8,97.0,0.0,,,0.0,,1011.8,,
