time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-06 01:00:00,34.0,11.8,26.0,,,0.0,0.0,,,,
2020-09-06 02:00:00,32.0,13.2,32.0,,,0.0,0.0,,,,
2020-09-06 03:00:00,29.0,14.0,40.0,,,0.0,0.0,,,,
2020-09-06 04:00:00,27.0,13.0,42.0,,,0.0,0.0,,,,
2020-09-06 05:00:00,25.0,12.9,47.0,,,0.0,0.0,,,,
2020-09-06 06:00:00,24.0,9.9,41.0,,,0.0,0.0,,,,
2020-09-06 07:00:00,23.0,9.0,41.0,,,0.0,0.0,,,,
2020-09-06 08:00:00,22.0,8.1,41.0,,,0.0,0.0,,,,
2020-09-06 09:00:00,22.0,7.0,38.0,,,0.0,0.0,,,,
2020-09-06 10:00:00,23.0,7.1,36.0,,,40.0,9.4,,,,
2020-09-06 11:00:00,23.0,7.1,36.0,,,0.0,0.0,,,,
2020-09-06 12:00:00,22.0,8.1,41.0,,,0.0,0.0,,,,
2020-09-06 13:00:00,20.0,8.0,46.0,,,0.0,0.0,,,,
2020-09-06 14:00:00,21.0,7.9,43.0,,,0.0,0.0,,,,
2020-09-06 15:00:00,21.0,7.9,43.0,,,0.0,0.0,,,,
2020-09-06 16:00:00,23.0,10.1,44.0,,,0.0,0.0,,,,
2020-09-06 17:00:00,28.0,13.1,40.0,,,0.0,0.0,,,,
2020-09-06 18:00:00,30.0,14.9,40.0,,,0.0,0.0,,,,
2020-09-06 19:00:00,36.0,5.3,15.0,,,0.0,0.0,,,,
2020-09-06 20:00:00,40.0,2.6,10.0,,,0.0,0.0,,,,
2020-09-06 21:00:00,41.0,3.4,10.0,,,0.0,0.0,,,,
2020-09-06 22:00:00,42.0,4.1,10.0,,,200.0,9.4,,,,
2020-09-06 23:00:00,42.0,4.1,10.0,,,220.0,9.4,,,,
2020-09-07 00:00:00,41.0,4.7,11.0,,,240.0,7.6,,,,
2020-09-07 01:00:00,40.0,6.4,13.0,,,,5.4,,,,
2020-09-07 02:00:00,37.0,7.9,17.0,,,0.0,0.0,,,,
2020-09-07 03:00:00,31.0,11.9,31.0,,,0.0,0.0,,,,
2020-09-07 04:00:00,28.0,11.1,35.0,,,0.0,0.0,,,,
2020-09-07 05:00:00,26.0,8.9,34.0,,,0.0,0.0,,,,
2020-09-07 06:00:00,25.0,10.1,39.0,,,0.0,0.0,,,,
2020-09-07 07:00:00,28.0,7.3,27.0,,,0.0,0.0,,,,
2020-09-07 08:00:00,30.0,5.3,21.0,,,0.0,0.0,,,,
2020-09-07 09:00:00,31.0,3.9,18.0,,,,5.4,,,,
2020-09-07 10:00:00,30.0,3.1,18.0,,,,7.6,,,,
2020-09-07 11:00:00,28.0,4.3,22.0,,,,5.4,,,,
2020-09-07 12:00:00,26.0,3.9,24.0,,,,5.4,,,,
2020-09-07 13:00:00,23.0,5.9,33.0,,,0.0,0.0,,,,
2020-09-07 14:00:00,21.0,6.1,38.0,,,0.0,0.0,,,,
2020-09-07 15:00:00,22.0,7.0,38.0,,,0.0,0.0,,,,
2020-09-07 16:00:00,27.0,9.8,34.0,,,0.0,0.0,,,,
2020-09-07 17:00:00,33.0,7.1,20.0,,,0.0,0.0,,,,
2020-09-07 18:00:00,36.0,4.3,14.0,,,0.0,0.0,,,,
2020-09-07 19:00:00,38.0,2.4,11.0,,,,5.4,,,,
2020-09-07 20:00:00,38.0,2.4,11.0,,,,9.4,,,,
2020-09-07 21:00:00,39.0,4.4,12.0,,,0.0,0.0,,,,
2020-09-07 22:00:00,40.0,5.2,12.0,,,220.0,11.2,,,,
2020-09-07 23:00:00,39.0,5.6,13.0,,,,9.4,,,,
2020-09-08 00:00:00,39.0,4.4,12.0,,,,7.6,,,,
2020-09-08 01:00:00,38.0,4.8,13.0,,,0.0,0.0,,,,
2020-09-08 02:00:00,34.0,7.1,19.0,,,0.0,0.0,,,,
2020-09-08 03:00:00,29.0,11.1,33.0,,,0.0,0.0,,,,
2020-09-08 04:00:00,25.0,8.9,36.0,,,,,,,,
2020-09-08 05:00:00,25.0,8.9,36.0,,,0.0,0.0,,,,
2020-09-08 06:00:00,23.0,9.0,41.0,,,0.0,0.0,,,,
