time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-25 01:00:00,25.0,-0.2,19.0,,,310.0,0.0,,,,
2019-10-25 02:00:00,18.0,3.8,39.0,,,,0.0,,,,
2019-10-25 03:00:00,15.0,3.2,45.0,,,,0.0,,,,
2019-10-25 04:00:00,14.0,1.9,44.0,,,110.0,0.0,,,,
2019-10-25 05:00:00,13.0,1.9,47.0,,,140.0,5.4,,,,
2019-10-25 06:00:00,12.0,1.0,47.0,,,120.0,0.0,,,,
2019-10-25 07:00:00,12.0,1.0,47.0,,,200.0,0.0,,,,
2019-10-25 08:00:00,11.0,1.0,50.0,,,160.0,0.0,,,,
2019-10-25 09:00:00,11.0,1.0,50.0,,,120.0,0.0,,,,
2019-10-25 10:00:00,11.0,0.1,47.0,,,150.0,0.0,,,,
2019-10-25 11:00:00,10.0,0.0,50.0,,,140.0,0.0,,,,
2019-10-25 12:00:00,10.0,0.0,50.0,,,130.0,0.0,,,,
2019-10-25 13:00:00,10.0,0.0,50.0,,,,0.0,,,,
2019-10-25 14:00:00,10.0,0.0,50.0,,,,0.0,,,,
2019-10-25 15:00:00,10.0,0.0,50.0,,,,0.0,,,,
2019-10-25 16:00:00,15.0,3.2,45.0,,,,0.0,,,,
2019-10-25 17:00:00,23.0,4.0,29.0,,,,0.0,,,,
2019-10-25 18:00:00,27.0,-1.8,15.0,,,,0.0,,,,
2019-10-25 19:00:00,29.0,-1.2,14.0,,,330.0,0.0,,,,
2019-10-25 20:00:00,30.0,-3.7,11.0,,,230.0,7.6,,,,
2019-10-25 21:00:00,30.0,-2.5,12.0,,,210.0,11.2,,,,
2019-10-25 22:00:00,30.0,-2.5,12.0,,,230.0,7.6,,,,
2019-10-25 23:00:00,30.0,-2.5,12.0,,,210.0,7.6,,,,
2019-10-26 00:00:00,28.0,-2.0,14.0,,,210.0,7.6,,,,
2019-10-26 01:00:00,25.0,-1.0,18.0,,,320.0,0.0,,,,
2019-10-26 02:00:00,18.0,1.9,34.0,,,,0.0,,,,
2019-10-26 03:00:00,15.0,1.1,39.0,,,,0.0,,,,
2019-10-26 04:00:00,14.0,0.9,41.0,,,110.0,0.0,,,,
2019-10-26 05:00:00,13.0,1.0,44.0,,,130.0,0.0,,,,
2019-10-26 06:00:00,12.0,1.0,47.0,,,130.0,0.0,,,,
2019-10-26 07:00:00,12.0,1.0,47.0,,,,0.0,,,,
2019-10-26 08:00:00,11.0,1.0,50.0,,,,0.0,,,,
2019-10-26 09:00:00,11.0,0.1,47.0,,,,0.0,,,,
2019-10-26 10:00:00,11.0,0.1,47.0,,,,0.0,,,,
2019-10-26 11:00:00,10.0,1.1,54.0,,,180.0,0.0,,,,
2019-10-26 12:00:00,10.0,1.1,54.0,,,130.0,0.0,,,,
2019-10-26 13:00:00,9.0,0.9,57.0,,,,0.0,,,,
2019-10-26 14:00:00,9.0,-0.1,53.0,,,180.0,0.0,,,,
2019-10-26 15:00:00,9.0,0.9,57.0,,,,0.0,,,,
2019-10-26 16:00:00,14.0,2.9,47.0,,,160.0,0.0,,,,
2019-10-26 17:00:00,21.0,3.2,31.0,,,,0.0,,,,
2019-10-26 18:00:00,24.0,-1.1,19.0,,,,0.0,,,,
2019-10-26 19:00:00,26.0,-0.9,17.0,,,360.0,0.0,,,,
2019-10-26 20:00:00,27.0,-1.8,15.0,,,340.0,7.6,,,,
2019-10-26 21:00:00,27.0,-1.8,15.0,,,340.0,0.0,,,,
2019-10-26 22:00:00,28.0,-1.0,15.0,,,320.0,9.4,,,,
2019-10-26 23:00:00,27.0,-1.0,16.0,,,210.0,7.6,,,,
2019-10-27 00:00:00,26.0,-0.2,18.0,,,350.0,0.0,,,,
2019-10-27 01:00:00,22.0,-0.1,23.0,,,330.0,0.0,,,,
2019-10-27 02:00:00,16.0,2.0,39.0,,,330.0,0.0,,,,
