time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 17:00:00,20.0,8.0,46.0,,,0.0,0.0,,,,
2020-10-23 18:00:00,23.0,7.1,36.0,,,150.0,7.6,,,,
2020-10-23 19:00:00,24.0,5.8,31.0,,,180.0,9.4,,,,
2020-10-23 20:00:00,24.0,5.8,31.0,,,,9.4,,,,
2020-10-23 21:00:00,24.0,3.8,27.0,,,180.0,7.6,,,,
2020-10-23 22:00:00,24.0,3.8,27.0,,,180.0,7.6,,,,
2020-10-23 23:00:00,24.0,2.2,24.0,,,240.0,11.2,,,,
2020-10-24 00:00:00,23.0,1.9,25.0,,,180.0,5.4,,,,
2020-10-24 01:00:00,22.0,1.1,25.0,,,0.0,0.0,,,,
2020-10-24 02:00:00,17.0,2.2,37.0,,,0.0,0.0,,,,
2020-10-24 03:00:00,13.0,1.9,47.0,,,0.0,0.0,,,,
2020-10-24 04:00:00,12.0,1.0,47.0,,,0.0,0.0,,,,
2020-10-24 05:00:00,11.0,1.0,50.0,,,0.0,0.0,,,,
2020-10-24 06:00:00,10.0,1.1,54.0,,,0.0,0.0,,,,
2020-10-24 07:00:00,10.0,2.1,58.0,,,0.0,0.0,,,,
2020-10-24 08:00:00,9.0,2.1,62.0,,,0.0,0.0,,,,
2020-10-24 09:00:00,9.0,2.1,62.0,,,0.0,0.0,,,,
2020-10-24 10:00:00,9.0,3.0,66.0,,,0.0,0.0,,,,
2020-10-24 11:00:00,8.0,3.1,71.0,,,0.0,0.0,,,,
2020-10-24 12:00:00,8.0,3.1,71.0,,,0.0,0.0,,,,
2020-10-24 13:00:00,9.0,4.0,71.0,,,0.0,0.0,,,,
2020-10-24 14:00:00,8.0,4.9,81.0,,,0.0,0.0,,,,
2020-10-24 15:00:00,8.0,4.0,76.0,,,0.0,0.0,,,,
2020-10-24 16:00:00,11.0,5.9,71.0,,,0.0,0.0,,,,
2020-10-24 17:00:00,17.0,5.9,48.0,,,0.0,0.0,,,,
2020-10-24 18:00:00,20.0,6.0,40.0,,,0.0,0.0,,,,
2020-10-24 19:00:00,20.0,6.0,40.0,,,,7.6,,,,
2020-10-24 20:00:00,22.0,5.0,33.0,,,,11.2,,,,
2020-10-24 21:00:00,24.0,4.9,29.0,,,200.0,9.4,,,,
2020-10-24 22:00:00,23.0,4.0,29.0,,,0.0,0.0,,,,
2020-10-24 23:00:00,23.0,5.0,31.0,,,0.0,0.0,,,,
2020-10-25 00:00:00,22.0,7.0,38.0,,,210.0,11.2,,,,
2020-10-25 01:00:00,20.0,7.0,43.0,,,250.0,7.6,,,,
2020-10-25 02:00:00,16.0,7.0,55.0,,,0.0,0.0,,,,
2020-10-25 03:00:00,13.0,7.0,67.0,,,0.0,0.0,,,,
2020-10-25 04:00:00,12.0,7.1,72.0,,,0.0,0.0,,,,
2020-10-25 05:00:00,11.0,6.9,76.0,,,0.0,0.0,,,,
2020-10-25 06:00:00,9.0,6.1,82.0,,,0.0,0.0,,,,
2020-10-25 07:00:00,9.0,6.1,82.0,,,0.0,0.0,,,,
2020-10-25 08:00:00,9.0,7.0,87.0,,,0.0,0.0,,,,
2020-10-25 09:00:00,8.0,6.0,87.0,,,0.0,0.0,,,,
2020-10-25 10:00:00,7.0,5.9,93.0,,,0.0,0.0,,,,
2020-10-25 11:00:00,7.0,5.9,93.0,,,0.0,0.0,,,,
2020-10-25 12:00:00,7.0,5.9,93.0,,,0.0,0.0,,,,
2020-10-25 13:00:00,7.0,5.9,93.0,,,0.0,0.0,,,,
2020-10-25 14:00:00,6.0,6.0,100.0,,,0.0,0.0,,,,
2020-10-25 15:00:00,6.0,6.0,100.0,,,0.0,0.0,,,,
2020-10-25 16:00:00,10.0,7.9,87.0,,,0.0,0.0,,,,
2020-10-25 17:00:00,14.0,6.1,59.0,,,,5.4,,,,
2020-10-25 18:00:00,15.0,7.1,59.0,,,260.0,7.6,,,,
2020-10-25 19:00:00,17.0,7.9,55.0,,,,9.4,,,,
2020-10-25 20:00:00,18.0,8.0,52.0,,,210.0,9.4,,,,
2020-10-25 21:00:00,18.0,8.0,52.0,,,220.0,9.4,,,,
2020-10-25 22:00:00,19.0,8.0,49.0,,,260.0,13.0,,,,
2020-10-25 23:00:00,18.0,8.0,52.0,,,,11.2,,,,
2020-10-26 00:00:00,,,,,,,,,,,
2020-10-26 01:00:00,,,,,,,,,,,
2020-10-26 02:00:00,,,,,,,,,,,
2020-10-26 03:00:00,,,,,,,,,,,
2020-10-26 04:00:00,,,,,,,,,,,
2020-10-26 05:00:00,,,,,,,,,,,
2020-10-26 06:00:00,,,,,,,,,,,
2020-10-26 07:00:00,,,,,,,,,,,
2020-10-26 08:00:00,,,,,,,,,,,
2020-10-26 09:00:00,,,,,,,,,,,
2020-10-26 10:00:00,,,,,,,,,,,
2020-10-26 11:00:00,,,,,,,,,,,
2020-10-26 12:00:00,,,,,,,,,,,
2020-10-26 13:00:00,,,,,,,,,,,
2020-10-26 14:00:00,,,,,,,,,,,
2020-10-26 15:00:00,,,,,,,,,,,
2020-10-26 16:00:00,,,,,,,,,,,
2020-10-26 17:00:00,,,,,,,,,,,
2020-10-26 18:00:00,,,,,,,,,,,
2020-10-26 19:00:00,,,,,,,,,,,
2020-10-26 20:00:00,,,,,,,,,,,
