time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-25 14:00:00,9.4,6.1,80.0,0.0,,,0.0,,1019.3,,
2019-10-25 15:00:00,10.0,7.2,83.0,0.0,,,0.0,,1019.6,,
2019-10-25 16:00:00,16.7,7.9,56.0,0.0,,,0.0,,1020.3,,
2019-10-25 17:00:00,22.2,6.0,35.0,0.0,,,0.0,,1020.4,,
2019-10-25 18:00:00,23.9,8.3,37.0,0.0,,210.0,5.4,,1020.0,,
2019-10-25 19:00:00,26.1,9.0,34.0,0.0,,250.0,9.4,,1019.6,,
2019-10-25 20:00:00,27.8,7.6,28.0,0.0,,,0.0,,1018.6,,
2019-10-25 21:00:00,29.4,6.7,24.0,0.0,,290.0,9.4,,1017.6,,
2019-10-25 22:00:00,30.0,4.6,20.0,0.0,,280.0,11.2,,1016.9,,
2019-10-25 23:00:00,30.0,4.6,20.0,0.0,,290.0,9.4,,1016.4,,
2019-10-26 00:00:00,29.4,1.8,17.0,0.0,,310.0,9.4,,1016.0,,
2019-10-26 01:00:00,26.1,7.7,31.0,,,280.0,5.4,,1015.4,,
2019-10-26 02:00:00,,,,,,,,,,,
2019-10-26 03:00:00,17.8,9.4,58.0,,,,0.0,,1015.5,,
2019-10-26 04:00:00,16.1,8.3,60.0,,,,0.0,,1015.4,,
2019-10-26 05:00:00,15.0,7.3,60.0,0.0,,,0.0,,1015.4,,
2019-10-26 06:00:00,14.4,6.0,57.0,,,,0.0,,1015.4,,
2019-10-26 07:00:00,11.1,7.2,77.0,,,,0.0,,1015.1,,
2019-10-26 08:00:00,11.7,5.6,66.0,,,,0.0,,1014.7,,
2019-10-26 09:00:00,12.2,6.0,66.0,0.0,,,0.0,,1014.5,,
2019-10-26 10:00:00,12.2,3.9,57.0,0.0,,50.0,5.4,,1014.1,,
2019-10-26 11:00:00,10.0,3.3,63.0,0.0,,,0.0,,1013.4,,
2019-10-26 12:00:00,9.4,4.0,69.0,0.0,,120.0,7.6,,1012.8,,
2019-10-26 13:00:00,10.0,3.9,66.0,0.0,,90.0,5.4,,1012.7,,
2019-10-26 14:00:00,9.4,4.0,69.0,0.0,,80.0,5.4,,1012.3,,
2019-10-26 15:00:00,11.7,4.4,61.0,0.0,,100.0,5.4,,1012.6,,
2019-10-26 16:00:00,16.7,5.6,48.0,,,110.0,9.4,,1012.9,,
2019-10-26 17:00:00,20.6,6.5,40.0,,,110.0,7.6,,1013.0,,
2019-10-26 18:00:00,22.8,6.5,35.0,0.0,,140.0,7.6,,1012.0,,
2019-10-26 19:00:00,24.4,7.1,33.0,0.0,,170.0,5.4,,1011.3,,
2019-10-26 20:00:00,26.1,6.2,28.0,0.0,,250.0,13.0,,1010.2,,
2019-10-26 21:00:00,26.7,6.2,27.0,0.0,,270.0,9.4,,1009.4,,
2019-10-26 22:00:00,28.3,5.8,24.0,0.0,,300.0,13.0,,1008.4,,
2019-10-26 23:00:00,27.8,4.1,22.0,0.0,,,0.0,,1007.7,,
2019-10-27 00:00:00,27.8,6.0,25.0,0.0,,280.0,11.2,,1007.1,,
2019-10-27 01:00:00,25.0,8.5,35.0,0.0,,,0.0,,1006.6,,
2019-10-27 02:00:00,19.4,9.3,52.0,0.0,,210.0,5.4,,1006.4,,
2019-10-27 03:00:00,16.1,10.0,67.0,0.0,,,0.0,,1006.4,,
2019-10-27 04:00:00,15.0,8.2,64.0,0.0,,,0.0,,1006.3,,
2019-10-27 05:00:00,13.3,8.4,72.0,,,,0.0,,1006.5,,
2019-10-27 06:00:00,13.3,7.7,69.0,0.0,,,0.0,,1006.3,,
2019-10-27 07:00:00,12.2,7.7,74.0,,,20.0,5.4,,1006.3,,
2019-10-27 08:00:00,10.6,7.1,79.0,0.0,,,0.0,,1005.8,,
2019-10-27 09:00:00,10.0,6.7,80.0,0.0,,10.0,5.4,,1005.5,,
2019-10-27 10:00:00,8.9,6.2,83.0,0.0,,310.0,7.6,,1005.7,,
2019-10-27 11:00:00,12.2,6.0,66.0,0.0,,310.0,14.8,,1005.7,,
2019-10-27 12:00:00,11.7,2.2,52.0,0.0,,300.0,14.8,,1006.2,,
2019-10-27 13:00:00,11.7,-1.8,39.0,0.0,,290.0,14.8,,1006.5,,
2019-10-27 14:00:00,10.6,-2.1,41.0,0.0,,290.0,16.6,,1007.0,,
2019-10-27 15:00:00,11.1,-3.4,36.0,0.0,,290.0,18.4,,1007.3,,
2019-10-27 16:00:00,12.8,-4.4,30.0,0.0,,300.0,22.3,,1008.3,,
2019-10-27 17:00:00,14.4,-4.4,27.0,0.0,,300.0,25.9,,1008.9,,
2019-10-27 18:00:00,15.6,-4.9,24.0,0.0,,320.0,24.1,,1009.1,,
2019-10-27 19:00:00,17.2,-4.1,23.0,0.0,,300.0,24.1,,1009.4,,
2019-10-27 20:00:00,17.8,-3.6,23.0,0.0,,270.0,14.8,,1009.0,,
2019-10-27 21:00:00,19.4,-4.2,20.0,0.0,,290.0,14.8,,1008.5,,
2019-10-27 22:00:00,20.6,-5.3,17.0,0.0,,300.0,25.9,,1008.6,,
2019-10-27 23:00:00,21.1,-4.2,18.0,0.0,,50.0,16.6,,1009.2,,
2019-10-28 00:00:00,20.6,-3.2,20.0,,,80.0,9.4,,1009.9,,
2019-10-28 01:00:00,16.7,0.8,34.0,0.0,,210.0,11.2,,1009.9,,
2019-10-28 02:00:00,13.3,0.6,42.0,0.0,,,0.0,,1010.6,,
2019-10-28 03:00:00,10.6,1.1,52.0,0.0,,110.0,11.2,,1011.4,,
2019-10-28 04:00:00,8.3,1.7,63.0,0.0,,260.0,14.8,,1012.0,,
2019-10-28 05:00:00,9.4,0.6,54.0,,,10.0,5.4,,1012.8,,
2019-10-28 06:00:00,8.3,0.0,56.0,,,40.0,7.6,,1013.5,,
2019-10-28 07:00:00,5.6,1.1,73.0,,,,7.6,,1014.8,,
2019-10-28 08:00:00,5.0,1.7,79.0,,,260.0,16.6,,1015.6,,
2019-10-28 09:00:00,6.7,0.6,65.0,0.0,,360.0,7.6,,1016.2,,
2019-10-28 10:00:00,5.0,0.6,73.0,0.0,,350.0,7.6,,1017.0,,
2019-10-28 11:00:00,2.2,-1.1,79.0,0.0,,240.0,5.4,,1017.4,,
2019-10-28 12:00:00,2.8,0.0,82.0,0.0,,,0.0,,1017.5,,
2019-10-28 13:00:00,2.8,-0.7,78.0,0.0,,,0.0,,1018.1,,
2019-10-28 14:00:00,2.2,-1.1,79.0,0.0,,,0.0,,1018.4,,
2019-10-28 15:00:00,4.4,-0.6,70.0,0.0,,80.0,9.4,,1018.7,,
2019-10-28 16:00:00,7.8,0.0,58.0,0.0,,,0.0,,1019.3,,
2019-10-28 17:00:00,12.2,-2.1,37.0,0.0,,,0.0,,1019.5,,
2019-10-28 18:00:00,15.0,-1.6,32.0,0.0,,,0.0,,1019.3,,
2019-10-28 19:00:00,16.7,-1.9,28.0,0.0,,,0.0,,1018.8,,
2019-10-28 20:00:00,18.3,-2.1,25.0,0.0,,,5.4,,1018.2,,
2019-10-28 21:00:00,19.4,-2.9,22.0,0.0,,,0.0,,1017.1,,
2019-10-28 22:00:00,20.6,-2.5,21.0,0.0,,240.0,7.6,,1016.4,,
2019-10-28 23:00:00,21.7,-2.3,20.0,0.0,,,0.0,,1015.9,,
2019-10-29 00:00:00,21.1,-2.7,20.0,0.0,,,5.4,,1015.6,,
2019-10-29 01:00:00,18.3,0.4,30.0,0.0,,210.0,7.6,,1015.4,,
2019-10-29 02:00:00,12.8,4.0,55.0,0.0,,260.0,7.6,,1015.3,,
