time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 20:00:00,20.6,-9.8,12.0,0.0,,90.0,14.8,,1019.9,,
2019-10-24 21:00:00,21.1,-8.4,13.0,0.0,,,7.6,,1019.3,,
2019-10-24 22:00:00,21.1,-10.5,11.0,0.0,,,9.4,,1018.6,,
2019-10-24 23:00:00,17.0,-9.9,15.0,0.0,,40.0,9.4,,1018.6,,
2019-10-25 00:00:00,16.0,-10.7,15.0,0.0,,40.0,11.2,,1019.1,,
2019-10-25 01:00:00,18.3,-10.6,13.0,,,70.0,11.2,,1019.7,,
2019-10-25 02:00:00,9.0,-12.2,21.0,,,340.0,7.6,,1020.0,,
2019-10-25 03:00:00,5.0,-8.2,38.0,,,,0.0,,1020.8,,
2019-10-25 04:00:00,3.0,-9.0,41.0,,,60.0,0.0,,1020.7,,
2019-10-25 05:00:00,0.0,-10.0,47.0,,,,0.0,,1020.2,,
2019-10-25 06:00:00,-4.4,-12.5,12.0,,,40.0,7.6,,1019.4,,
2019-10-25 07:00:00,0.0,-10.0,47.0,0.0,,60.0,0.0,,1019.6,,
2019-10-25 08:00:00,-1.0,-10.1,50.0,,,50.0,0.0,,1019.6,,
2019-10-25 09:00:00,-2.0,-9.0,59.0,0.0,,50.0,0.0,,1018.8,,
2019-10-25 10:00:00,-2.0,-9.0,59.0,0.0,,60.0,0.0,,1019.1,,
2019-10-25 11:00:00,-2.0,-9.0,59.0,0.0,,,0.0,,1018.8,,
2019-10-25 12:00:00,-4.0,-10.0,63.0,0.0,,,0.0,,1019.0,,
2019-10-25 13:00:00,-5.0,-10.0,68.0,0.0,,,0.0,,1019.2,,
2019-10-25 14:00:00,15.6,-9.4,17.0,0.0,,120.0,5.4,,1020.0,,
2019-10-25 15:00:00,15.6,-8.0,19.0,0.0,,,0.0,,1020.5,,
2019-10-25 16:00:00,17.2,-4.7,22.0,0.0,,,0.0,,1020.6,,
2019-10-25 17:00:00,18.3,-6.5,18.0,0.0,,,5.4,,1020.3,,
2019-10-25 18:00:00,20.0,-6.6,16.0,0.0,,200.0,9.4,,1019.2,,
2019-10-25 19:00:00,20.6,-3.8,19.0,0.0,,,5.4,,1019.2,,
2019-10-25 20:00:00,21.1,-4.2,18.0,0.0,,,9.4,,1018.2,,
2019-10-25 21:00:00,21.1,-4.2,18.0,0.0,,,9.4,,1017.3,,
2019-10-25 22:00:00,21.7,-2.9,19.0,0.0,,,9.4,,1017.2,,
2019-10-25 23:00:00,21.1,-2.7,20.0,0.0,,280.0,11.2,,1017.0,,
2019-10-26 00:00:00,20.0,-3.7,20.0,0.0,,280.0,11.2,,1016.9,,
2019-10-26 01:00:00,18.3,-2.1,25.0,,,260.0,5.4,,1016.8,,
2019-10-26 02:00:00,11.0,-3.1,37.0,,,150.0,9.4,,1017.4,,
2019-10-26 03:00:00,7.0,-3.0,49.0,,,,0.0,,1017.6,,
2019-10-26 04:00:00,5.0,-3.1,56.0,,,50.0,0.0,,1016.7,,
2019-10-26 05:00:00,3.0,-4.9,56.0,,,,0.0,,1016.2,,
2019-10-26 06:00:00,-4.4,-3.4,28.0,0.0,,80.0,5.4,,1015.6,,
2019-10-26 07:00:00,0.0,-5.0,69.0,0.0,,80.0,0.0,,1014.7,,
2019-10-26 08:00:00,0.0,-5.0,69.0,0.0,,,0.0,,1014.5,,
2019-10-26 09:00:00,-1.0,-6.0,69.0,0.0,,,0.0,,1013.9,,
2019-10-26 10:00:00,-2.0,-6.0,74.0,0.0,,,0.0,,1013.6,,
2019-10-26 11:00:00,-3.0,-6.0,80.0,0.0,,,0.0,,1013.0,,
2019-10-26 12:00:00,-5.0,-7.0,86.0,0.0,,,0.0,,1012.1,,
2019-10-26 13:00:00,-6.0,-8.0,86.0,0.0,,200.0,5.4,,1012.7,,
2019-10-26 14:00:00,13.9,-8.1,21.0,0.0,,,0.0,,1013.1,,
2019-10-26 15:00:00,15.0,-7.8,20.0,0.0,,50.0,7.6,,1012.8,,
2019-10-26 16:00:00,16.1,-4.0,25.0,0.0,,,0.0,,1012.0,,
2019-10-26 17:00:00,6.0,-5.1,20.0,0.0,,,0.0,,1011.6,,
2019-10-26 18:00:00,18.3,-3.8,22.0,0.0,,280.0,7.6,,1011.3,,
2019-10-26 19:00:00,18.3,-2.6,24.0,0.0,,,5.4,,1010.4,,
2019-10-26 20:00:00,19.4,-2.3,23.0,0.0,,,11.2,,1009.3,,
2019-10-26 21:00:00,18.9,-2.1,24.0,0.0,,240.0,13.0,,1009.1,,
2019-10-26 22:00:00,18.3,-1.5,26.0,0.0,,230.0,11.2,,1008.5,,
2019-10-26 23:00:00,17.8,-2.0,26.0,0.0,,,9.4,,1008.2,,
2019-10-27 00:00:00,17.2,-1.0,29.0,0.0,,,7.6,,1007.8,,
2019-10-27 01:00:00,15.6,-0.6,33.0,0.0,,230.0,5.4,,1007.7,,
2019-10-27 02:00:00,12.0,-5.1,30.0,0.0,,350.0,5.4,,1007.5,,
2019-10-27 03:00:00,9.0,-3.9,40.0,0.0,,360.0,9.4,,1007.4,,
2019-10-27 04:00:00,2.0,-7.1,51.0,0.0,,200.0,7.6,,1006.3,,
2019-10-27 05:00:00,4.0,-6.9,45.0,,,170.0,0.0,,1005.8,,
2019-10-27 06:00:00,11.7,-1.8,39.0,,,200.0,5.4,,1005.4,,
2019-10-27 07:00:00,2.0,-13.0,32.0,,,350.0,13.0,,1005.0,,
2019-10-27 08:00:00,0.0,-11.1,43.0,0.0,,330.0,11.2,,1006.4,,
2019-10-27 09:00:00,-1.0,-10.1,50.0,0.0,,340.0,13.0,,1007.2,,
2019-10-27 10:00:00,-1.0,-8.0,59.0,,,30.0,16.6,,1007.2,,
2019-10-27 11:00:00,-1.0,-8.0,59.0,0.0,,10.0,14.8,,1007.2,,
2019-10-27 12:00:00,-2.0,-9.0,59.0,0.0,,40.0,9.4,,1007.4,,
2019-10-27 13:00:00,-5.0,-10.0,68.0,0.0,,70.0,0.0,,1007.9,,
2019-10-27 14:00:00,-6.0,-11.0,68.0,0.0,,60.0,0.0,,1008.5,,
2019-10-27 15:00:00,-8.0,-12.0,73.0,0.0,,70.0,9.4,,1009.7,,
2019-10-27 16:00:00,-2.0,-11.0,50.0,0.0,,20.0,24.1,,1007.8,,
2019-10-27 17:00:00,-1.0,-10.9,47.0,0.0,,20.0,24.1,,1009.2,,
2019-10-27 18:00:00,2.8,-12.3,32.0,0.0,,70.0,33.5,,1010.2,,
2019-10-27 19:00:00,1.0,-11.1,40.0,0.0,,20.0,27.7,,1011.7,,
2019-10-27 20:00:00,4.4,-11.7,30.0,0.0,,70.0,29.5,,1012.5,,
2019-10-27 21:00:00,5.0,-11.6,29.0,0.0,,60.0,27.7,,1013.8,,
2019-10-27 22:00:00,6.1,-13.5,23.0,0.0,,70.0,22.3,,1012.9,,
2019-10-27 23:00:00,6.7,-14.1,21.0,0.0,,50.0,18.4,,1013.9,,
2019-10-28 00:00:00,5.6,-13.4,24.0,0.0,,60.0,18.4,,1014.4,,
2019-10-28 01:00:00,4.4,-13.0,27.0,0.0,,60.0,14.8,,1015.4,,
2019-10-28 02:00:00,0.0,-16.8,27.0,,,290.0,7.6,,1016.6,,
2019-10-28 03:00:00,-1.0,-18.1,26.0,0.0,,10.0,14.8,,1016.3,,
2019-10-28 04:00:00,-2.0,-16.9,31.0,,,260.0,5.4,,1015.1,,
2019-10-28 05:00:00,-5.0,-17.1,38.0,0.0,,100.0,5.4,,1015.4,,
2019-10-28 06:00:00,-8.9,-19.9,17.0,,,80.0,16.6,,1016.4,,
2019-10-28 07:00:00,-6.0,-16.0,45.0,,,270.0,5.4,,1016.2,,
2019-10-28 08:00:00,-6.0,-16.9,42.0,,,60.0,0.0,,1016.2,,
2019-10-28 09:00:00,-10.0,-18.0,52.0,0.0,,,0.0,,1016.4,,
2019-10-28 10:00:00,-8.0,-18.1,44.0,0.0,,,0.0,,1016.6,,
2019-10-28 11:00:00,-11.0,-18.1,56.0,0.0,,210.0,5.4,,1015.8,,
2019-10-28 12:00:00,-10.0,-16.9,57.0,0.0,,130.0,7.6,,1016.4,,
2019-10-28 13:00:00,-10.0,-15.9,62.0,0.0,,50.0,0.0,,1016.5,,
2019-10-28 14:00:00,-10.0,-16.9,57.0,0.0,,40.0,0.0,,1017.0,,
2019-10-28 15:00:00,-12.0,-17.1,66.0,0.0,,,0.0,,1017.0,,
2019-10-28 16:00:00,-6.0,-16.0,45.0,0.0,,180.0,0.0,,1017.7,,
2019-10-28 17:00:00,-2.0,-16.2,33.0,0.0,,210.0,0.0,,1018.1,,
2019-10-28 18:00:00,1.0,-15.1,29.0,0.0,,170.0,0.0,,1018.0,,
2019-10-28 19:00:00,9.4,-16.0,15.0,0.0,,,9.4,,1017.7,,
2019-10-28 20:00:00,9.0,-6.0,34.0,0.0,,250.0,0.0,,1017.5,,
2019-10-28 21:00:00,13.0,-15.8,12.0,0.0,,60.0,7.6,,1016.3,,
2019-10-28 22:00:00,13.0,-15.8,12.0,0.0,,230.0,11.2,,1016.0,,
2019-10-28 23:00:00,11.1,-11.7,19.0,0.0,,,7.6,,1015.5,,
2019-10-29 00:00:00,12.0,-13.9,15.0,0.0,,270.0,22.3,,1015.8,,
2019-10-29 01:00:00,8.3,-9.6,27.0,0.0,,250.0,7.6,,1015.7,,
2019-10-29 02:00:00,6.0,-12.1,26.0,0.0,,260.0,5.4,,1015.5,,
2019-10-29 03:00:00,1.0,-12.1,37.0,0.0,,120.0,11.2,,1015.3,,
2019-10-29 04:00:00,0.0,-12.0,40.0,0.0,,140.0,9.4,,1015.5,,
2019-10-29 05:00:00,-2.0,-12.1,46.0,0.0,,170.0,7.6,,1015.7,,
2019-10-29 06:00:00,-5.6,-11.1,29.0,0.0,,,0.0,,1015.0,,
2019-10-29 07:00:00,-3.0,-13.0,46.0,,,140.0,5.4,,1014.9,,
2019-10-29 08:00:00,-3.0,-14.1,42.0,,,140.0,0.0,,1014.3,,
2019-10-29 09:00:00,-3.0,-13.0,46.0,,,,0.0,,1013.7,,
2019-10-29 10:00:00,-4.0,-12.9,50.0,,,,0.0,,1013.4,,
2019-10-29 11:00:00,-5.0,-13.1,53.0,,,,0.0,,1013.0,,
2019-10-29 12:00:00,-7.0,-14.1,57.0,,,70.0,0.0,,1013.0,,
2019-10-29 13:00:00,-7.0,-13.1,62.0,,,70.0,0.0,,1013.3,,
2019-10-29 14:00:00,-7.0,-13.1,62.0,,,70.0,0.0,,1013.7,,
2019-10-29 15:00:00,-9.0,-14.0,67.0,,,30.0,0.0,,1014.1,,
2019-10-29 16:00:00,-3.0,-12.0,50.0,,,40.0,0.0,,1014.1,,
2019-10-29 17:00:00,1.0,-13.1,34.0,,,,0.0,,1014.1,,
2019-10-29 18:00:00,8.3,-11.7,23.0,,,,9.4,,1013.7,,
2019-10-29 19:00:00,8.9,-14.9,17.0,,,40.0,13.0,,1014.0,,
2019-10-29 20:00:00,4.0,-15.8,22.0,,,360.0,18.4,,1013.1,,
