time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 23:00:00,31.7,1.9,15.0,0.0,,260.0,5.4,,1012.0,,
2019-10-08 00:00:00,31.1,1.4,15.0,0.0,,280.0,5.4,,1011.5,,
2019-10-08 01:00:00,30.0,5.3,21.0,0.0,,80.0,13.0,,1011.1,,
2019-10-08 02:00:00,25.0,5.7,29.0,0.0,,270.0,13.0,,1011.4,,
2019-10-08 03:00:00,23.9,5.7,31.0,0.0,,300.0,11.2,,1011.8,,
2019-10-08 04:00:00,21.7,5.2,34.0,0.0,,320.0,0.0,,1012.2,,
2019-10-08 05:00:00,18.9,5.7,42.0,0.0,,,0.0,,1012.4,,
2019-10-08 06:00:00,17.8,5.7,45.0,0.0,,,0.0,,1012.6,,
2019-10-08 07:00:00,15.6,4.9,49.0,0.0,,80.0,5.4,,1012.5,,
2019-10-08 08:00:00,14.4,4.4,51.0,0.0,,150.0,0.0,,1012.3,,
2019-10-08 09:00:00,13.9,4.5,53.0,0.0,,160.0,0.0,,1012.3,,
2019-10-08 10:00:00,12.8,4.5,57.0,0.0,,80.0,5.4,,1012.2,,
2019-10-08 11:00:00,11.1,3.9,61.0,0.0,,90.0,7.6,,1011.5,,
2019-10-08 12:00:00,11.7,4.0,59.0,0.0,,170.0,0.0,,1011.5,,
2019-10-08 13:00:00,11.7,4.0,59.0,0.0,,40.0,0.0,,1011.4,,
2019-10-08 14:00:00,11.1,3.9,61.0,0.0,,180.0,0.0,,1011.6,,
2019-10-08 15:00:00,11.7,4.9,63.0,0.0,,50.0,0.0,,1011.7,,
2019-10-08 16:00:00,15.6,5.5,51.0,0.0,,,0.0,,1012.2,,
2019-10-08 17:00:00,19.4,4.3,37.0,0.0,,200.0,0.0,,1011.9,,
2019-10-08 18:00:00,23.3,3.2,27.0,0.0,,250.0,0.0,,1011.7,,
2019-10-08 19:00:00,26.7,3.2,22.0,0.0,,210.0,9.4,,1011.3,,
2019-10-08 20:00:00,30.0,3.9,19.0,0.0,,270.0,9.4,,1010.5,,
2019-10-08 21:00:00,31.7,2.8,16.0,0.0,,290.0,13.0,,1009.8,,
2019-10-08 22:00:00,32.2,2.3,15.0,0.0,,290.0,20.5,,1009.5,,
2019-10-08 23:00:00,29.4,2.6,18.0,0.0,,280.0,22.3,,1009.7,,
2019-10-09 00:00:00,29.4,0.1,15.0,0.0,,290.0,13.0,,1009.2,,
2019-10-09 01:00:00,26.7,1.9,20.0,0.0,,290.0,18.4,,1008.9,,
2019-10-09 02:00:00,22.8,3.8,29.0,0.0,,310.0,13.0,,1009.0,,
2019-10-09 03:00:00,21.1,2.4,29.0,0.0,,300.0,5.4,,1009.1,,
2019-10-09 04:00:00,17.8,4.0,40.0,0.0,,280.0,7.6,,1009.6,,
2019-10-09 05:00:00,17.2,5.5,46.0,0.0,,320.0,5.4,,1009.9,,
2019-10-09 06:00:00,17.2,7.8,54.0,0.0,,300.0,11.2,,1010.1,,
2019-10-09 07:00:00,15.6,9.5,67.0,0.0,,300.0,7.6,,1010.3,,
2019-10-09 08:00:00,14.4,9.4,72.0,0.0,,300.0,7.6,,1010.0,,
2019-10-09 09:00:00,13.3,9.4,77.0,0.0,,280.0,9.4,,1010.0,,
2019-10-09 10:00:00,13.3,10.7,84.0,0.0,,310.0,11.2,,1010.5,,
2019-10-09 11:00:00,12.8,8.9,77.0,0.0,,300.0,9.4,,1010.6,,
2019-10-09 12:00:00,11.7,7.8,77.0,0.0,,280.0,5.4,,1011.2,,
2019-10-09 13:00:00,10.6,7.1,79.0,0.0,,50.0,5.4,,1011.5,,
2019-10-09 14:00:00,8.3,5.6,83.0,0.0,,30.0,5.4,,1011.8,,
2019-10-09 15:00:00,9.4,6.7,83.0,0.0,,130.0,0.0,,1012.4,,
2019-10-09 16:00:00,12.2,8.3,77.0,0.0,,330.0,0.0,,1013.2,,
2019-10-09 17:00:00,15.0,7.3,60.0,0.0,,,0.0,,1013.3,,
2019-10-09 18:00:00,20.6,-1.3,23.0,0.0,,80.0,22.3,,1013.0,,
2019-10-09 19:00:00,21.1,-3.4,19.0,0.0,,290.0,11.2,,1012.6,,
2019-10-09 20:00:00,23.3,-3.9,16.0,0.0,,60.0,16.6,,1012.0,,
2019-10-09 21:00:00,23.9,-1.1,19.0,0.0,,250.0,14.8,,1011.5,,
2019-10-09 22:00:00,24.4,-3.1,16.0,0.0,,220.0,14.8,,1010.6,,
2019-10-09 23:00:00,25.0,-7.5,11.0,0.0,,20.0,22.3,,1010.4,,
2019-10-10 00:00:00,23.3,-8.8,11.0,0.0,,40.0,18.4,,1010.4,,
2019-10-10 01:00:00,22.2,-6.6,14.0,0.0,,30.0,13.0,,1010.7,,
2019-10-10 02:00:00,19.4,-7.9,15.0,0.0,,50.0,9.4,,1011.2,,
2019-10-10 03:00:00,16.1,-6.9,20.0,0.0,,90.0,11.2,,1011.7,,
2019-10-10 04:00:00,15.6,-7.3,20.0,0.0,,290.0,0.0,,1011.9,,
2019-10-10 05:00:00,17.8,-8.4,16.0,0.0,,350.0,7.6,,1012.3,,
2019-10-10 06:00:00,18.3,-8.0,16.0,0.0,,,0.0,,1012.7,,
2019-10-10 07:00:00,18.9,-12.3,11.0,0.0,,350.0,13.0,,1012.9,,
2019-10-10 08:00:00,18.3,-12.7,11.0,0.0,,20.0,16.6,,1012.9,,
2019-10-10 09:00:00,17.8,-13.1,11.0,0.0,,,0.0,,1013.3,,
2019-10-10 10:00:00,17.2,-12.5,12.0,0.0,,320.0,14.8,,1013.3,,
2019-10-10 11:00:00,16.1,-12.4,13.0,0.0,,340.0,5.4,,1013.5,,
2019-10-10 12:00:00,15.0,-13.2,13.0,0.0,,270.0,5.4,,1014.1,,
2019-10-10 13:00:00,13.3,-12.0,16.0,0.0,,140.0,7.6,,1014.5,,
2019-10-10 14:00:00,14.4,-11.9,15.0,0.0,,170.0,14.8,,1015.0,,
2019-10-10 15:00:00,13.9,-10.8,17.0,0.0,,220.0,0.0,,1015.5,,
2019-10-10 16:00:00,16.7,-12.9,12.0,0.0,,40.0,5.4,,1015.9,,
2019-10-10 17:00:00,18.3,-12.7,11.0,0.0,,50.0,18.4,,1016.2,,
2019-10-10 18:00:00,19.4,-10.8,12.0,0.0,,60.0,25.9,,1016.2,,
2019-10-10 19:00:00,20.6,-10.9,11.0,0.0,,50.0,22.3,,1015.7,,
2019-10-10 20:00:00,22.2,-9.7,11.0,0.0,,40.0,14.8,,1015.4,,
2019-10-10 21:00:00,23.3,-7.7,12.0,0.0,,60.0,22.3,,1014.5,,
2019-10-10 22:00:00,23.9,-7.3,12.0,0.0,,60.0,22.3,,1014.2,,
