time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 22:00:00,30.6,-3.2,11.0,0.0,,70.0,22.3,,1016.1,,1.0
2019-10-24 23:00:00,30.0,-3.7,11.0,0.0,,60.0,18.4,,1016.3,,1.0
2019-10-25 00:00:00,29.4,-4.1,11.0,0.0,,70.0,14.8,,1016.2,,2.0
2019-10-25 01:00:00,27.2,-3.6,13.0,,,80.0,16.6,,1016.3,,1.0
2019-10-25 02:00:00,23.9,-1.9,18.0,,,100.0,11.2,,1016.7,,1.0
2019-10-25 03:00:00,21.7,-1.6,21.0,,,130.0,5.4,,1017.5,,1.0
2019-10-25 04:00:00,20.0,-1.8,23.0,,,70.0,7.6,,1017.8,,1.0
2019-10-25 05:00:00,18.3,-1.5,26.0,,,70.0,5.4,,1018.3,,1.0
2019-10-25 06:00:00,18.3,-1.5,26.0,,,130.0,0.0,,1018.9,,1.0
2019-10-25 07:00:00,15.6,-1.5,31.0,,,70.0,5.4,,1019.1,,1.0
2019-10-25 08:00:00,14.4,-1.7,33.0,,,90.0,5.4,,1018.9,,1.0
2019-10-25 09:00:00,13.9,-1.7,34.0,0.0,,90.0,5.4,,1018.9,,1.0
2019-10-25 10:00:00,12.8,-1.5,37.0,0.0,,120.0,0.0,,1018.8,,1.0
2019-10-25 11:00:00,12.2,-1.0,40.0,0.0,,90.0,5.4,,1018.6,,1.0
2019-10-25 12:00:00,12.2,-1.0,40.0,0.0,,340.0,0.0,,1018.8,,1.0
2019-10-25 13:00:00,11.7,-1.8,39.0,0.0,,330.0,0.0,,1018.9,,1.0
2019-10-25 14:00:00,11.1,-0.7,44.0,0.0,,50.0,0.0,,1019.3,,1.0
2019-10-25 15:00:00,11.7,-0.5,43.0,0.0,,134.0,0.0,,1019.5,,0.0
2019-10-25 16:00:00,15.0,1.1,39.0,0.0,,142.0,0.0,,1020.0,,0.0
2019-10-25 17:00:00,20.0,-0.6,25.0,0.0,,240.0,0.0,,1019.9,,0.0
2019-10-25 18:00:00,24.4,1.3,22.0,0.0,,320.0,5.4,,1019.6,,0.0
2019-10-25 19:00:00,27.8,-4.2,12.0,0.0,,270.0,7.6,,1018.9,,0.0
